,Other,Lambda,A
0.025,0.8519642622070831,0.0,0.0
0.05,0.8531664227663276,0.0,0.0
0.25,0.8565989085892017,0.0,0.0
0.5,0.8584854521505383,0.0011139811579048715,0.0
0.75,0.860536017599428,0.001312868727292679,0.0
0.95,0.8631598279116086,0.0015098812500384524,0.0
0.975,0.8633185440830913,0.0015888367847174255,0.0
