,B.1.1.348,B.1.177,B.1.177.72,B.1.177.17,B.1.187,B.1.1.217,B.1.177.75,B.1.177.77,B.1.478,B.1.543,W.2,B.1.97,B.1.177.32,D.2,AA.8,B.1.1.437,AA.7,B.1.444,B.1.531,B.1.273,B.1.177.33,B.1.177.43,B.1.23,B.58,B.1.564.1,B.1.603,B.1.1.361,B.1.524,B.1.243.2,B.1.106,B.1.1.109,B.1.70,B.1.474,B.1.127,B.1.1.312,AH.1,B.1.423,B.1.254,B.1.188,B.1.177.4,B.1.1.388,B.1.411,B.1.93,C.2.1,B.1.421,B.1.404,B.1.1.251
0.025,0.8005676004414514,0.06884731853542232,0.0024209886613684203,0.0018602633398105966,0.001664803274020556,0.0010404630893018428,0.0011386648284390088,0.0011189428939614543,0.001105420773190956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8015088884347298,0.06909035975442471,0.0024832678875155037,0.0019333299816994508,0.00171433590294955,0.0010719381198353378,0.001207310396800884,0.0011277417887567706,0.0011283692557808912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8029923797662031,0.07028818547286675,0.002695255524177518,0.002136852003460885,0.0020594677127350703,0.0012055033607553552,0.0013278855223218455,0.0012254994041391918,0.001200153769164301,0.0,0.0,0.0,0.0010150082824515283,0.0010957442960477456,0.001048692332283897,0.0010306288622564089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8039906878064212,0.07090573254346004,0.0028903343773829457,0.0022899741545381663,0.0022651244847955287,0.0012749324477777436,0.0013886941454038736,0.0012814577761379802,0.0012734456253797406,0.0010133619365511584,0.0011221174965334,0.0,0.0010659627442558737,0.0012621594547723648,0.0012961790261312783,0.0010888161656661785,0.0,0.0,0.001019918655889541,0.0,0.0010363973622523424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8051451933280025,0.07158987509731497,0.003053747501087592,0.0023843755189174864,0.0023860933884529262,0.001348945606285918,0.0014469797655561865,0.0013345188296779308,0.0013296043536404057,0.0011368070336978612,0.0012561150541458514,0.0012189109473201565,0.0011161393480302402,0.0013857595671629076,0.0014912090718883126,0.0011279278737839073,0.0,0.0002503544519366835,0.0010693349877506698,0.0010265073880177007,0.0011450328428937284,0.0011035328237366188,0.0010095829929498666,0.0,0.0,0.0,0.0010048135921235965,0.0010151092581978341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.8066437185268232,0.07261044333462298,0.0032970867734751228,0.00259285197905731,0.0025410775254021776,0.0014078520857924539,0.0015120387361487397,0.0014308650358189103,0.0013926763520475092,0.0012957161056551222,0.0013553837566719132,0.0013571181652453138,0.001194257440828551,0.0015963547932878596,0.0016852411043555625,0.0011915152786232395,0.0010385216523111887,0.0010742646753033862,0.0011560836342348075,0.0011021508361083107,0.00132432498720777,0.0014899354374512768,0.0011242218337389298,0.0011216737403111925,0.0010696626590596292,0.001025152837538426,0.0011315212203520904,0.0010862562018375272,0.0010270900601642005,0.0010144927550332081,0.0010438295041307502,0.0010034162516804885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0529658902530705e-05,0.0,0.0,0.0,0.0,0.0
0.975,0.8070155055080072,0.07292949944873363,0.0033240195599741093,0.0026738517187687846,0.002604645684077639,0.0014282617747241367,0.0015697012334407426,0.001471125637132532,0.0014228014112917576,0.0013512072905631156,0.0014170886699970365,0.0013637855820783245,0.0011965561965667066,0.0016235646188774192,0.0016992636536354248,0.001201590095466736,0.0010693077357204132,0.0010941374077345141,0.0011735601305904334,0.001132052621153197,0.0013768550734866462,0.001550527584571697,0.001203725564699304,0.001152492103375138,0.0011113792728811803,0.00104720825049318,0.0011538839837520938,0.001108173043897471,0.0010492730886701325,0.001038136719649052,0.001094981113173922,0.0010735760727037004,0.0005482105631280456,0.0,0.0,0.0,0.0,0.0005501406559579272,0.0,0.0,0.0,0.0010253358211764576,0.0,0.0,0.0,0.0,0.0
