,N.4,B.1.177,B.1.478,B.1.177.72,B.1.177.2,B.1.177.17,B.1.187,B.1.177.77,B.1.177.75,B.1.70,N.7,B.1.543,B.1.177.32,AA.8,B.1.177.33,B.58,B.1.177.5,B.1.181,B.1.137,B.1.214,W.2,B.1.97,B.1.1.86,B.1.277
0.025,0.8558587307441526,0.0273346335768529,0.010595644453507014,0.00379718444958452,0.0,0.00109525689101612,0.0011097233788791622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8567512331313165,0.02855668294863026,0.010725495923458003,0.0038713313979615973,0.0,0.0012205308340208145,0.0011589330987524641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8594668076305888,0.03313974248133174,0.011196825419400298,0.004387529701144081,0.0013556744084138506,0.001421399435581102,0.0014714447023950101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8622148605974684,0.03527002663769049,0.011526810286531136,0.0047073847193733875,0.0016236719482147768,0.001656734397161829,0.0017747559764844188,0.0010636821987188424,0.0011013735704528136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8650329923415576,0.03654461249063013,0.011837305143964107,0.005069063089940127,0.0017647483499771705,0.0018741236003295787,0.0021129554660472096,0.0011430926836157357,0.001243636146148862,0.0,0.0,0.0,0.0010130811076474267,0.0,0.001013325665861383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.8692613880917558,0.03831493785026088,0.012402359279033319,0.005689898218911189,0.0019876692265482767,0.002113451122278628,0.0025673214064034053,0.0013310042439770426,0.0014342233789187693,0.0013594682782331342,0.0011159686295684108,0.001179476596589959,0.0011013640744348587,0.0011078664903135778,0.0011645776814366321,0.0011430765283054036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.8706932702635616,0.038493295093443625,0.012744903483424991,0.005945047226015343,0.002126521626938972,0.00220718157728947,0.0028603144243127703,0.0014173256856792047,0.0014793875562898065,0.0013755964591722813,0.0011846173623979105,0.0012291380935689146,0.0011239080211483863,0.0011627906723404588,0.001195866991551554,0.0011835858946280654,0.0005336450497625321,0.0010586517479726698,0.0005275096646240367,0.0,0.0,0.0,0.0,0.0
