,Omicron,Other,Gamma,BA.5* [Omicron (BA.5.X)],BA.2* [Omicron (BA.2.X)],Delta,A
0.025,0.9052385604452636,0.005197835598099092,0.0,0.0,0.0,0.0,0.0
0.05,0.9057092515180574,0.005679731264343417,0.0,0.0,0.0,0.0,0.0
0.25,0.9066542376700605,0.007908595961177252,0.0007601976747888386,0.0011073652752551487,0.0015174901400988637,0.0,0.0
0.5,0.9076534568650194,0.009180505751054276,0.0011980888279892223,0.001201085315576388,0.001904245854841613,0.0,0.0
0.75,0.9085074496322043,0.010089012357667725,0.001399386146245686,0.0021834322431126558,0.0025912815363488147,0.0,0.0
0.95,0.9103073692165234,0.011852340104386929,0.001544905953696532,0.002535828601003027,0.003179062674327177,0.001057798243056819,0.0
0.975,0.9104675977718352,0.013109954233158572,0.0015751890612881792,0.00258027121057224,0.003257133640817942,0.0011571905442556605,0.0
