	freyja/V350082740_L14_19-19_variants.tsv
summarized	[('Other', 0.8561307681252153), ('Lambda', 0.0010544399997214282)]
lineages	C.26 B.1.1.1 B.1.177 C.13 B.1.195 B.1.8 B.1.177.17 B.1.274 B.1.177.2 B.1.187 B.1.177.72 B.1.70 B.1.177.75 B.1.393 B.1.67 B.1.76 AA.8 B.1.478 B.1.1.98 B.1.177.77 B.1.1.361 B.58 B.1.201 B.1.1.255 D.2 B.1.524 B.1.1.86 B.1.97 C.37 B.1.1.109 B.1.128 B.1.483 B.1.335 B.1.1.437 B.1.1.388 B.1.234 B.1.444
abundances	0.51381032 0.20895150 0.08239571 0.00284429 0.00281140 0.00279112 0.00251036 0.00242675 0.00233819 0.00217156 0.00206214 0.00178126 0.00177926 0.00165912 0.00162048 0.00143799 0.00141710 0.00140428 0.00130056 0.00128458 0.00119558 0.00117810 0.00115551 0.00114994 0.00113259 0.00112108 0.00111271 0.00109649 0.00105444 0.00104166 0.00103991 0.00103935 0.00102160 0.00101840 0.00101260 0.00100886 0.00100843
resid	11.216357547489064
coverage	100.0
