,Omicron,Lambda,Other
0.025,0.8686204336605305,0.0743535986199448,0.0
0.05,0.869331060600458,0.074394972261859,0.0
0.25,0.8710116903043278,0.07522944687679439,0.0
0.5,0.8717753531786425,0.07565409936572826,0.001079184309326609
0.75,0.8725085689089849,0.0761183763627794,0.001141552127332206
0.95,0.8746177077197119,0.07667031843807981,0.0014230796280296726
0.975,0.8750311666937383,0.07672220346500516,0.002147396320975324
