,Other,Gamma,BA.2* [Omicron (BA.2.X)],Omicron,Lambda,BA.5* [Omicron (BA.5.X)],Theta,Delta
0.025,0.2999190577127384,0.2886581015490717,0.11230465986635028,0.10238256729634296,0.03754543530431993,0.0,0.0,0.0
0.05,0.3025162848154906,0.28933100729985595,0.11447891296192239,0.10508543273040599,0.03790861510726386,0.0,0.0,0.0
0.25,0.30865588769132496,0.29064276996253546,0.11878293676809641,0.10831888139143962,0.039521636638185476,0.0,0.0,0.0
0.5,0.31127802251621195,0.29160155272390287,0.1228763163063189,0.1106381189049152,0.04024973340856401,0.0,0.0,0.0
0.75,0.3161796245891077,0.2925774663196246,0.1264209301476846,0.11255288922623755,0.04163361020107278,0.0011122029549799036,0.0,0.0
0.95,0.32041048340668493,0.29377150989550915,0.13088703789268946,0.11677075636821442,0.04305676358520083,0.0015244743557142242,0.0,0.0011128134815536347
0.975,0.32136549877235066,0.2941380408147453,0.13205383199236226,0.11762924614544139,0.043456093212106896,0.0015719158787981763,0.0010023939816783615,0.0011725092631990751
