,BA.2* [Omicron (BA.2.X)],Omicron
0.025,0.9409426803334641,0.0025248456606193465
0.05,0.9416555300202932,0.002611660908528341
0.25,0.9435432567011777,0.0028348152770360027
0.5,0.9448786728557191,0.004092465450311986
0.75,0.9462978779748795,0.004807153903500273
0.95,0.9480759450692576,0.00563385815144218
0.975,0.94855750455758,0.005729288734662055
