,Other,A
0.025,0.8631351632867257,0.0
0.05,0.8638518079737892,0.0
0.25,0.8658742165154064,0.0
0.5,0.867505761592724,0.0
0.75,0.8691744355801337,0.001042322070914145
0.95,0.8723325176093538,0.0011310702910642576
0.975,0.8733188655389789,0.0011439854464421356
