,XAE,B.1.1.529,AP.1,XZ,B.1.128
0.025,0.9089619971346792,0.0011868211850235082,0.0,0.0,0.0
0.05,0.909368282959932,0.0012424137998942408,0.0,0.0,0.0
0.25,0.911111755279466,0.0015485511671486463,0.0,0.0,0.0
0.5,0.9128548722816681,0.04901456199358105,0.0,0.0,0.0
0.75,0.9614035754566697,0.052016352098403794,0.0010066905706884752,0.0,0.0
0.95,0.9636574236232601,0.0540735899849402,0.0010899238472985118,0.0011357529421203909,0.0
0.975,0.9640472741445856,0.05503878344762788,0.0011159494650128323,0.0011717702633714487,0.000535210546883125
