,Lambda,Other
0.025,0.9605945699384865,0.0
0.05,0.961679027552874,0.0
0.25,0.9635384061140708,0.001455251007119678
0.5,0.9651104580965639,0.0037382968297812983
0.75,0.9665522536683688,0.005179396531112007
0.95,0.9696078921369529,0.007241435623798477
0.975,0.9702642519884133,0.00804538922613238
