,Other,A
0.025,0.9043126478462817,0.0
0.05,0.9046296959844761,0.0
0.25,0.9064790870600609,0.0
0.5,0.907470267074946,0.0
0.75,0.9086665250301103,0.0
0.95,0.9105046693330227,0.0
0.975,0.9106002465018589,0.001001156948040317
