,C.14,miscBA2BA1PostSpike,BA.3,B.1.1.368,B.1.177,B.1.1.372,BA.2.23,D.2,B.1.617.2,XZ,C.37,B.1.1.416,B.1.1.12,B.1.1.92,B.1.182,B.1.177.75,B.1.1.95,B.1.545,C.26,B.1.1.169,B.1.1.315,B.1.1.175,B.1.1.98,B.1.277,N.4,B.1.1.359,XAA,B.1.1.361,B.1.1.203,B.1.1.37,C.12,B.1.1.109,B.1.177.65,B.1.1.381,B.1.177.57,B.1.1.185,B.1.105,B.1.1.288,B.1.201,B.1.1.107,B.1.1.485,B.1.1.218,Q.4,B.1.1.178,B.1.1.16,B.1.530,B.1.1.500,B.1.177.43,B.1.1.294,B.1.177.7,B.1.1.309,B.1.1.225,B.1.456,B.1.1.192,R.1,B.1.1.39,B.1.1.83,B.1.1.244,B.1.177.77,BA.2.23.1,B.1.1.15,B.1.1.118,B.1.177.63,B.1.177.10,B.1.1.26,B.1.274,XQ,B.5,B.1.1.190,B.1.473,B.1.177.87,B.1.532,B.1.1.115,B.1.142,B.1.1.255,B.1.1.236,B.1.177.54,B.1.1.378,B.1.1.154,B.1.1.325,BA.1.20,B.1.177.53,B.1.1.406,B.1.1.529,B.1.1.117,B.1.439,B.1.104,B.1.180,B.1.1.58,B.1.1.132,B.1.177.17,miscBA1BA2Pre4321,B.1.187,B.1.222,B.20,B.1.1.63,B.1.459,B.1.70,B.1.214,B.1.1.383,BF.4,AY.67,B.1.1.217,B.1.177.74,B.1.1.231,B.1.466,B.1.1.448,B.1.478,B.1.304,N.7,B.1.1.426,B.1.334,B.1.487,BA.5.1.6,B.1.177.86,B.4.6,B.1.1.301,B.1.1.408,BA.2.60,AH.1,AY.11,B.1.177.60,B.1.1.463,C.32,C.13,B.1.1.59,BA.2.2,BA.1.3,B.1.1.438,B.1.1.256,B.1.177.19,B.1.1.525,B.1.384,B.1.1.8,B.1.1.93,B.1.1,B.1.1.317,B.1.1.241,BG.1,B.1.1.305,B.1.1.249,B.1.195,B.27,B.1.1.413,B.1.1.204,B.1.639,B.1.311,B.1.1.524,B.1.1.349,B.1.1.285,B.1.390,B.1.1.302,B.1.531,B.11,B.1.252,B.1.1.296,B.1.1.355,B.1.23,BA.1.16.2,B.1.1.447,B.1.1.134,B.1.541,B.1.1.320,B.1.1.506,B.1.1.129,miscBA1BA2Pre10k,B.1.1.145,B.1.1.144,B.1.1.316,B.1.276,XH,B.1.1.385,AV.1,P.1.9,BA.1,B.1.177.83,XV,B.1.188,B.1.1.290,B.1.1.396,U.3,B.1.1.437,miscBA1BA2Post8393,Q.8,B.4.7,B.1.1.138,B.1.248,B.1.177.39,Q.6,B.1.610,XE,B.1.1.70,B.4.5,B.1.1.374,B.6.6,B.1.36.38,B.1.330,B.1.379,B.1.438.1,B.1.629,B.1.391,B.1.426,Q.1,B.1.321,B.1.601,B.1.177.85,M.3,AY.73,B.1.594,B.1.525,B.1.177.33,XF,B.1.438.3,AA.5,B.1.231,B.1,B.1.210,B.1.145,B.1.577,B.1.1.284,BA.5.2.1,B.1.441
0.025,0.13503254964958583,0.07209333627685639,0.010188246973419865,0.0,0.0,0.0,0.03025036523051638,0.0,0.007563277322370033,0.0,0.003943631334849267,0.0,0.0,0.0,0.0,0.0012814748201424836,0.0,0.0,0.004997005084942028,0.0,0.0015592048854231402,0.0,0.0035309465456523498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010344647623165245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005113024754898644,0.0,0.0,0.0020553131779935604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014187473547014574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.13768358962266927,0.07622697330230165,0.01944075922895257,0.0,0.0,0.0,0.03362960029889431,0.0,0.009093926810883458,0.0,0.005133695324509049,0.0,0.0,0.0,0.0,0.0028198516581968156,0.0017757009345790067,0.0,0.006611903546323146,0.0,0.0016990988092866945,0.0,0.0036427107563539556,0.0,0.0009861907123946906,0.0,0.0,0.0,0.0,0.0,0.0,0.0010606168540009632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010770059235470585,0.0,0.0,0.002154360886785084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014510642046009837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.1444663662975042,0.09213519480413408,0.048794449594128445,0.08160802887865645,0.003677657919451657,0.0,0.03805946218423248,0.02361936498801874,0.013789099714037068,0.0025410680040773305,0.007505118198446309,0.0,0.0,0.0,0.0008582859170070012,0.005410606529070421,0.004226099677848578,0.0031987001619836423,0.01276003870264952,0.0,0.002425418389258805,0.0056241862762331975,0.004916253213667371,0.0,0.002589512176498652,0.003755878460985911,0.0,0.0013279110556588755,0.0,0.0,0.0,0.002143915603169508,0.0,0.0,0.0011138504535637736,0.0,0.0,0.0,0.0010050281648652866,0.0,0.0,0.0,0.0,0.0021271051073819725,0.0,0.0,0.0025646728475288635,0.0014701018866003284,0.0,0.0,0.0,0.0007583417197753548,0.0,0.0013486195020857308,0.0,0.0,0.002143630094214988,0.0,0.0012208292504353104,0.0,0.0,0.0016044933527692151,0.0,0.0,0.0,0.002975114418141022,0.0,0.0010657989495652478,0.0,0.0011541918315119248,0.0,0.0,0.0,0.0,0.0,0.0,0.0010170421583286788,0.0,0.001168913572944961,0.0016006471501214584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001823995627876949,0.0,0.001700694979170682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012251538969624638,0.0014438921036032202,0.0,0.0,0.0,0.0,0.0012454051109738584,0.0,0.0,0.0,0.0,0.0010688057013058892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.1527153675258332,0.1054830820368367,0.070783605544563,0.08883390066736828,0.029406488395445365,0.01652519946127252,0.042367388373248396,0.03374019731816165,0.01698845688008893,0.0076153651941961685,0.012280998002291658,0.003430541825559472,0.005154639175243672,0.005221967713782492,0.002773930430936755,0.0074041080636595286,0.006282784512551907,0.0054204124794618395,0.01712348849677676,0.0033958304482453227,0.002790719407686457,0.006174082525467333,0.0062208816080716565,0.004831368879633543,0.0036896950001121913,0.006719866780451762,0.0016849307285869842,0.0018563704303975592,0.001960904932693155,0.0033898694577984174,0.001776249365713591,0.0026846846844570784,0.0035026377125961716,0.0032679738597294976,0.0025002529894021493,0.002995730635966444,0.0011376564274661696,0.0,0.0010643962557733487,0.0012322863571736058,0.0014280921719053753,0.0013284741746036387,0.0,0.0026802791234604288,0.002490694788603407,0.0,0.0028430557687324923,0.0017240644360713379,0.0,0.0022222222222270833,0.0014230115682906418,0.001476559802678018,0.0,0.002063985686269841,0.0,0.0016382733997146587,0.004201680671001881,0.0015133163024208716,0.00183599150082276,0.001701411348561166,0.0,0.002407407407407219,0.0011968401561232881,0.0,0.0,0.0045977038486496235,0.0,0.0012367273112288697,0.0011476134465411825,0.0019217854128642641,0.0,0.0013559321993819257,0.0,0.0,0.0,0.0,0.0010856120124999565,0.0,0.0018793465846188777,0.0026239920517693825,0.0,0.0,0.0,0.0013519870761992264,0.008889064458664884,0.0020200016702243534,0.0,0.0,0.0018885758035446121,0.0029851012062070124,0.0033557046979864787,0.0,0.0,0.0,0.0,0.0026917949892271914,0.0,0.0033670129105094694,0.0026061057611527247,0.0,0.0,0.0,0.0018028074686348124,0.0,0.0016666712962025887,0.0,0.0,0.0017353582419734161,0.0017304346233002015,0.0016327063725141621,0.0,0.0,0.0,0.0,0.001423110157535688,0.0,0.0,0.0,0.0,0.0016155257500495605,0.0,0.05249883815171008,0.004890004782397315,0.0033277962250120962,0.002455311662861914,0.0021574998137980257,0.001303783179747545,0.0,0.002132234936795493,0.0,0.0,0.0,0.0,0.0,0.0018287150064827508,0.0,0.002867236276389749,0.0,0.0,0.004918508636292722,0.0,0.003241499600089286,0.0,0.0,0.0,0.0018227277853218337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012112875301509454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.16145962301927835,0.11411489457913641,0.09892771513432255,0.09382736220430811,0.07674266475359397,0.07839876104881296,0.046504333119657876,0.044377488764770955,0.020185761195663385,0.015736233803950766,0.016834284570579006,0.006808525457904058,0.010243734799521982,0.009900990097963708,0.006108716861280974,0.009157532238294016,0.008998909376816067,0.007579351387998342,0.0215495296059243,0.006478053937139725,0.0035655922649540897,0.007174173355620113,0.00765210352188508,0.005479576124730254,0.00581687403416235,0.00837696445176676,0.002346631218958079,0.0025105290495632776,0.004387538647766541,0.003784387151948468,0.0019399137722439222,0.0032630566000259814,0.006728472297927372,0.005356073979528123,0.0032485458975328313,0.0036003688115063483,0.002214847590588576,0.0016427113036475967,0.0029419406799482627,0.0018346109451916602,0.002168057732349268,0.001988082087975853,0.0,0.0033130897263281773,0.004908536585377463,0.0,0.0032049887558882836,0.0019652629026341434,0.002752426638059825,0.004410159447827971,0.002207911891718327,0.002191786312373929,0.0,0.0033568322865249523,0.0,0.00228964162615392,0.006305838124696431,0.0022540861889967143,0.0025567659493823157,0.0025575503372798924,0.001270455232602155,0.004689333919177349,0.001777631979078151,0.0,0.00038197097020248696,0.007366726976949308,0.0019930976596573722,0.001433010783059849,0.0014653090283307385,0.0042873792806676055,0.0011287526777279155,0.0022372309766998584,0.001561216744490261,0.0012410973773671892,0.0,0.0014190398379083935,0.0011798401260362011,0.0,0.00229709136254898,0.0033316585730583438,0.002176720188317176,0.0,0.0010685179332904275,0.03609751875071522,0.015619224519117809,0.008950942924561667,0.0,0.007408645273365396,0.003710613597826961,0.005917159764027057,0.00657894736828743,0.0015074813911669803,0.0011298219112999342,0.006546697617825911,0.0,0.003686645376114729,0.0013964078301575834,0.0037595591142772196,0.0030513392478876845,0.001587472668335,0.0016485020403976419,0.0017148580336605772,0.0021299545647082787,0.0014294909322706004,0.003175985939812468,0.0,0.0,0.0027848012358245465,0.0021206282153020477,0.0020653626154180805,0.001270244904798378,0.0016430579765361487,0.0,0.0,0.0015368782692136821,0.0,0.001172110517471076,0.0,0.00027631942499873566,0.0020972996657977194,0.0015184459098229529,0.06860715466869186,0.009501349236948,0.006498794362694056,0.0034995706042710516,0.0042714029685974285,0.0015102410867450717,0.0,0.002211184694247667,0.0012288612034535922,0.0013855257987505374,0.001169933027562684,0.0010229277687306153,0.0,0.0023930659238819685,0.011441139755221054,0.009097817074797735,0.0,0.0017667844521296117,0.009356763615026529,0.003321089683482796,0.006183505474814586,0.0,0.0,0.0020030180987827533,0.0032680001179049355,0.0,0.0,0.0,0.001420532597010411,0.0,0.0011908309214511475,0.0,0.0035971222723000626,0.0,0.0015619250871130154,0.0013228104554295341,0.0,0.0,0.0010355581428315103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013124974953831444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.17140608978670038,0.12532028228019676,0.11729135430140789,0.09912456950158523,0.09307917831115395,0.13246800833464129,0.05210305801678627,0.054772673870678565,0.02993168426963718,0.02350892795610843,0.01932870104281605,0.010681917099778974,0.01605145252200106,0.014944410600041215,0.008838383825146328,0.011125562365751369,0.012477926912987568,0.010591733842449417,0.030622728542744664,0.009976913114296175,0.0047033383278616,0.008084855302759772,0.009928574292669756,0.010419393542491365,0.009060379871988638,0.011342403711612851,0.004234781198642429,0.003602978664634051,0.007769468980908556,0.0074948927383305195,0.003899016202228564,0.004040008580012618,0.010642097264140211,0.010099492886206162,0.004880214316983944,0.007171046669633994,0.003407555736584453,0.00356005376078469,0.004198051282386341,0.003002148501059002,0.00296757950968452,0.0033444804565613915,0.00268637995146638,0.004755643664751005,0.005871282683703851,0.0018623710994614315,0.0037698887266461,0.0024329079448930546,0.005065651461126766,0.006802721086231845,0.0037752146761522967,0.0035922124167870645,0.0013850427801216751,0.004640027899334856,0.0,0.003269037415511675,0.010219087635051718,0.0028031517425565885,0.0032754589469047336,0.0043573143162809235,0.001902237493979523,0.006827694811466365,0.002210600678227684,0.001696424842215949,0.001642171160599264,0.010570289368847028,0.003844139733163898,0.001653495484381512,0.0020111480118656343,0.006231514934377029,0.002017524144290642,0.0033979588752991266,0.00436072879327626,0.001940830628246478,0.0013834972062738565,0.0020644804382288283,0.0012991261642831492,0.0012894994154842945,0.0031507343286151157,0.004765527553505833,0.00434734372632017,0.0015848279346329188,0.0014016356046889756,0.0822122904135636,0.026376146776814186,0.018598461118782647,0.012111846120950445,0.018692749794024858,0.00587432911549417,0.008841068537599415,0.009874999999777203,0.007631456024407036,0.003745669684177887,0.013654214777608926,0.006761939237404449,0.005663128317328924,0.006498313505985679,0.00690570644003218,0.0037988155104875876,0.0023499965753559482,0.0026133543253692975,0.0025816775766698678,0.0037832533007456973,0.002087644823197269,0.0052742740718635765,0.0016997086538785699,0.0011869956189538434,0.004253643822103307,0.0026217592392519785,0.003330112150424605,0.0015733669060122215,0.002007507124733231,0.0014672482446011542,0.0016361155009349518,0.001734475577808422,0.001686913243780555,0.0016164236539187265,0.0011212337762266042,0.0014076397640851205,0.0028386253024401515,0.0021410416140131114,0.08096143168282245,0.015227272727272657,0.010049013952427976,0.009212550723432904,0.006715205441866716,0.0028826778678581735,0.0024728020936786205,0.0044836595172264284,0.002014887451058953,0.0021581355103141233,0.0021768471684920454,0.0010837808750639181,0.0014518381073131978,0.0035744551445289433,0.08210588613860718,0.014827248244086986,0.0013146233878944373,0.0035054315647293855,0.01311691112363146,0.006844158549337676,0.008949432576760525,0.0038350067592917134,0.0019423164427081947,0.004503806350193763,0.006245194339469485,0.0017218421442379023,0.0,0.001817028106223654,0.0028015509812883968,0.0015929655824340303,0.001773015461970011,0.001190006574455041,0.007020023553458613,0.0014950996896394928,0.0019281662127450918,0.003265577101225781,0.0018610934859912321,0.0011551913263932781,0.0014670582497846364,0.0014749330877776704,0.00207891309114462,0.00131952330831028,0.0010279049749617655,0.0014751260314095323,0.0012270759775929773,0.001572573691312696,0.001670656029449075,0.0,0.00626533028384212,0.0029544823559705725,0.0014078308603774567,0.001408247112004529,0.001259708277532501,0.0013965929968007234,0.0024324962529614076,0.0,0.0012262053330890604,0.001116672614176977,5.340929310571282e-05,0.0012270139777107768,0.001280473466249032,0.0,0.001208125876602601,5.8173356591064274e-05,0.001376866249675543,5.0537387210947375e-05,0.0,0.0,0.0,0.001916077192608121,0.0,0.0,0.0,0.0010540229878864638,0.0014816613180354235,0.0,0.0014552928438203176,0.0,0.0,0.0014368849604795156,0.0,0.0,0.0,0.0,0.0,0.0011582457193088714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.17241663521970457,0.130263966086596,0.12444033944251437,0.1004805429046213,0.09580535141842422,0.16098612833673817,0.05568691198878509,0.05891880522898257,0.034256978179740036,0.02389233115280922,0.019707658868262125,0.011805662233106688,0.017425847457567836,0.016579670329669987,0.01049929201308332,0.013089959125328895,0.012820366758296236,0.011831924012395842,0.03179391066488333,0.010344827584702797,0.005763679512486035,0.008324800407517088,0.01053582358076632,0.01073297676106992,0.009140147257771779,0.011946446501445962,0.004291562310841389,0.003980274071614964,0.009180665284604409,0.010072728293210903,0.004060357664952225,0.004685672248200067,0.011912587412531025,0.011326030770508646,0.005359557807388663,0.00890051180774383,0.0035803998573575645,0.00475976104856211,0.005111196414647716,0.0030910429541733627,0.003735208093451628,0.0034632448911975536,0.0028542168015892595,0.0048971827834874285,0.007969841269932826,0.0021128416507570774,0.0038865648705431076,0.0025269298507362703,0.00815184488638645,0.008442980503452253,0.0042480524369427316,0.0036118916189654565,0.0017839447606494577,0.0054399524101981685,0.0,0.003968023253910901,0.010898820401479914,0.0029980024598569247,0.0040192070969966,0.004514099850879836,0.0024152371560312367,0.007010601487152333,0.0022853155751638332,0.002058517678508664,0.0023096852734584136,0.011744806739930148,0.004911591348998474,0.0016712641038324851,0.002059008093135128,0.007091740723368506,0.0020294780036431855,0.003941205797452587,0.005388155064041519,0.002525767030202857,0.002304150022301748,0.0021384436984042783,0.0013619288018403709,0.001303295892368139,0.0034206906545807595,0.005357102335903272,0.006296970828134345,0.0016045225972040349,0.0014343991603648378,0.08672383728998302,0.03391018304119631,0.019402386124389027,0.014605748046378417,0.020202020180398152,0.006870728596871902,0.009511784511735942,0.010261542957190914,0.00941056206538876,0.0046390677607477775,0.015057337898557456,0.008445600738318636,0.0063176324277015574,0.007286713269593587,0.0072339507176263475,0.003947629800432811,0.0025961099956824762,0.0026572187557713624,0.0028219382617610048,0.003976807450081087,0.0024560965267091356,0.005338570112343512,0.0021688856906273437,0.0013543953468441233,0.004783797285644426,0.002681521048887887,0.0034734010059136707,0.001867673713947565,0.0020937021551673883,0.0020198347709359803,0.001745076688744525,0.0017437506513094663,0.0017752306181439003,0.0018198073333429272,0.0011266258863958732,0.001654844039906825,0.003025922829813168,0.0023405615094990177,0.08186624717153793,0.018833951926218232,0.011972191794234704,0.0095557584032697,0.007486799443926181,0.004097331659509808,0.0026765036790782934,0.00601728936729728,0.0027576052712356774,0.0028030351884166145,0.0022152688213799366,0.0011172001654023928,0.0014664635686496975,0.003771629607157515,0.09470507181095798,0.016999711078408523,0.002040695310015652,0.004782831739377813,0.014466072399911909,0.007055317770850762,0.009390429073864722,0.004656986038274079,0.002341216977235529,0.005909398695906349,0.00838969403171275,0.0019768977045729933,0.0,0.0019120780071720416,0.0032315953791029325,0.001601615887824526,0.002374649016926168,0.0014176419594134962,0.007842821657731458,0.0018038697073329707,0.001992443105623469,0.003504156482705952,0.0020961291463452414,0.0011843613743248427,0.0015810816007648585,0.0015034015399161987,0.0024774883423403925,0.001360954741164407,0.0012172600774605418,0.0016382626716060363,0.0035354001660900997,0.0019832951499880666,0.001903583746406203,0.000528169011197035,0.008893442537119815,0.003271447545610917,0.0015831486987370096,0.00185510611748665,0.0013410781419949853,0.0027483606721596665,0.0028088729200398165,0.002359733843151667,0.00136128177324806,0.0011272546406894354,0.0012014340452387697,0.0014876000463866783,0.0017105374696627035,0.0012474441610158123,0.0012518778952723376,0.0011756357021244564,0.001413478210906247,0.001668173523975256,0.0006403887556125382,0.0,0.0,0.001955711514943081,0.0,0.0010130029258198186,0.0,0.0010893175895785425,0.0015733330018432563,0.0013018405612987688,0.0030148747803488587,0.000608342989380796,0.0006858262572638336,0.0015268375973475823,0.001360742647416745,0.0,0.0008940267223035826,0.0,0.0,0.0011793254902034485,0.0008306961982007704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
