,Omicron,BA.5* [Omicron (BA.5.X)],Other,BA.2* [Omicron (BA.2.X)]
0.025,0.9598875713403318,0.0,0.0,0.0
0.05,0.9602051370050225,0.0,0.0,0.0
0.25,0.9611758889476432,0.0,0.0,0.0
0.5,0.9619166450031189,0.0,0.0,0.0
0.75,0.9627656469526652,0.0,0.0,0.0
0.95,0.9634177974025864,0.0,0.0010266015108341576,0.0011971262577512415
0.975,0.9635041136012671,0.0,0.0010411174100039488,0.0012194667691421738
