,C.37,BA.2.2.1,W.2,BA.2.9.1,AP.1,B.1.177.87,B.1.203,BG.1,B.1.474,P.1.7.1,B.1.531,AM.3,A.3,B.1.97,BA.3,B.1.640.2,B.1.629,B.1.1.338,B.1.1.373,XY,V.1,B.1.444,B.1.1.519,BA.2.60,B.1.524,P.1.14,B.1.1.396,B.1.348,B.1.603,B.1.1.176,XL,B.1.243.2,B.1.127,B.1.177.39,B.1.421,N.7,AA.8,B.1.1.224,A.2.5.3,B.1.177.43,B.1.177.25,B.1.1.437,B.1.631,B.1.188,P.1.9,B.1.423,BA.2.33,P.6,B.1.1.251,C.36.1,C.37.1,P.3
0.025,0.9034578149453572,0.0005250276331116198,0.0,0.0011726442052492165,0.0,0.0,0.0,0.00047725678016636674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.903656154919478,0.0011077001826992317,0.0010539037507523463,0.0011966079804306294,0.0010490261671429314,0.0,0.0,0.0010250630886740777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9049486187565645,0.0014945728487342157,0.001288151053730592,0.0013445224405873781,0.001152343544611205,0.0,0.0010197807940544989,0.0011273001593503692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9058841094562164,0.001613630257749286,0.0014019994052601892,0.0014525349451084682,0.0012157387898531135,0.0010623389565478382,0.0010764045932403358,0.0012094427226829964,0.000500500500860834,0.0,0.0,0.0010746146237630523,0.0,0.0,0.0010658742490653593,0.0,0.0,0.0,0.0,0.0005044302133691246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9067230945176288,0.001711307916301817,0.001591082896957378,0.0015514188290158644,0.0013086816797270506,0.0011435847791521766,0.0011362829635285158,0.0012686829156973302,0.0010923430047257107,0.0010828900829188113,0.0,0.0011378964611153952,0.0010173561747477675,0.0,0.001206292045351566,0.0,0.0010247583682759277,0.0,0.0,0.001140861295699732,0.0,0.0011008578570104388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.9079412601459267,0.0017969522174629974,0.0017986673579474782,0.0016890640349414583,0.0013747651130888408,0.0012609795026804172,0.0012389219447293937,0.0014083191292099681,0.001201465787836661,0.001190408748404491,0.001052439537906391,0.0012053288733548857,0.0012091210269455019,0.0013585018224667627,0.0013627222123010893,0.001049448329489362,0.0011186815752527958,5.0102136130602066e-05,0.0010873874434886145,0.0013191101658166582,0.0010050586360199803,0.001260490708489281,0.0,0.0010173758641504366,0.0010748258429633191,0.0010891328173939505,0.0010681288881815413,0.001006657809243349,0.0,0.0010218890096269858,5.1080531524292555e-05,0.0010298482450926537,0.0010261813504266362,0.0,0.0010415396851295102,0.0011162042801451198,0.001116198197268429,0.0,0.0,0.0012040454385669815,0.0,0.001086841975394385,5.031998090406712e-05,0.0010011996675467955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.9081527884998429,0.001834271698979947,0.00189625610786901,0.001705653193070751,0.0014128428172685973,0.0012908735267146629,0.0012521659251025666,0.0014271569699656574,0.0012299381860442697,0.001225624669135758,0.001086785586728274,0.0012328044542760522,0.0012624261368453231,0.0014231514845064986,0.0013996701611292764,0.0010607163198488637,0.0011478698512896604,0.001067201074272965,0.001123151294476521,0.0013648226922949667,0.0010664714133744144,0.0012765281451410464,0.0005252626313258717,0.0010420463079806345,0.0011336035058513406,0.0011354057003563729,0.001105444868093725,0.001059322056667053,0.0010312869364780721,0.0010353521690894094,0.0010704033251879117,0.0010635652526580104,0.0010698764871091536,0.0010399918896748766,0.0010887197666905064,0.0011521096624600754,0.001376140413237194,0.0,0.0,0.0013804344212687116,0.0005446374720606295,0.0011350510898363833,0.0010107933641820778,0.0010127165549431321,0.0,0.0,0.0,0.0,0.001006828422382082,0.0,0.0,0.0
