,BA.2* [Omicron (BA.2.X)],Lambda,Omicron,Other,BA.2.75* [Omicron (BA.2.75.X)],A
0.025,0.8166149500520866,0.03467615821424066,0.02776996446240508,0.011803616556180882,0.0,0.0
0.05,0.817586930535703,0.03483028025886339,0.027905679044596052,0.012442276484750934,0.0,0.0
0.25,0.8192400225555038,0.035221139896478584,0.02874089105536255,0.014717096341158784,0.0,0.0
0.5,0.8204577928068548,0.03574393532588167,0.029287722136639438,0.016174835735513975,0.0,0.0
0.75,0.8219933243044711,0.0362836391910027,0.03005923931595008,0.01802900895089151,0.0,0.0
0.95,0.8239260177602431,0.036776511949736586,0.03113656188269371,0.019688089678175567,0.0,0.0
0.975,0.8243603205603285,0.03681779097884441,0.031340663696222945,0.019927921983936926,0.0,0.001093183147696771
