,Other,Omicron,Lambda,BA.5* [Omicron (BA.5.X)],Delta,BA.2* [Omicron (BA.2.X)],Gamma,A
0.025,0.4146103219510248,0.2532207033211089,0.1863238206154813,0.0015953961661882789,0.0,0.0,0.0,0.0
0.05,0.4153937981296893,0.25334895207857816,0.18707464467038015,0.0016738416388538911,0.0,0.0,0.0,0.0
0.25,0.42076776793427645,0.2554637610103079,0.18939590349506533,0.0027838610697136935,0.0,0.001185584776332298,0.0,0.0
0.5,0.42347162150863865,0.2572387064291441,0.1910350083359419,0.003005138160599501,0.0010405844423823092,0.0015368422308077844,0.0010110839081905526,0.0
0.75,0.42631308418268105,0.2590634814805069,0.19223060494426344,0.003176409384301611,0.0012466098204612004,0.0025084767500036078,0.0011504283081773163,0.001216675553979035
0.95,0.4299849524757947,0.26132692719546124,0.19391422157929286,0.003562700338621432,0.002394826938628456,0.002895550770060322,0.001325993439969647,0.0015289364161819687
0.975,0.4324060700542791,0.26195402629817477,0.19437316274513539,0.003595326249470264,0.002509355515906514,0.0029548266321603933,0.001442234338461016,0.0018336664418666198
