,Lambda,Other,BA.2* [Omicron (BA.2.X)],A,Omicron,Delta
0.025,0.9296679591205697,0.004542315369508915,0.0011740703726747747,0.0,0.0,0.0
0.05,0.9298993590873738,0.004873193766273024,0.0011894458706212874,0.0,0.0,0.0
0.25,0.9308272252423335,0.006183542828894043,0.0012662066092491342,0.0,0.0,0.0
0.5,0.9314975867862404,0.0072851949314535255,0.0013540731576901217,0.0,0.0,0.0
0.75,0.9320886646077494,0.008697895917586872,0.0014481072643639003,0.0,0.0,0.0
0.95,0.9329278974017684,0.010729405340474786,0.002347026321171609,0.0010236063084975234,0.0010519750293364772,0.0
0.975,0.9331984883332378,0.01179309657694767,0.0024617717315125903,0.0010621478690211186,0.001118379105899537,0.0010088229187048931
