,BA.2* [Omicron (BA.2.X)],Omicron
0.025,0.9314000580423664,0.0
0.05,0.9318062390935248,0.0
0.25,0.9342534636903475,0.0
0.5,0.935699762803917,0.0010510654469253092
0.75,0.9376108565769118,0.0015379509957287544
0.95,0.9392970369682052,0.0028045739316742463
0.975,0.9399877235598058,0.002872132182405822
