,Other,Gamma,Lambda,BA.2* [Omicron (BA.2.X)],Omicron,Alpha,Delta,A,BA.5* [Omicron (BA.5.X)],Eta
0.025,0.5306754584187475,0.18427918880015562,0.07049442507324731,0.013811620787323628,0.009540302407284425,0.0,0.0,0.0,0.0,0.0
0.05,0.5312394983192853,0.1855494335469106,0.07097348134304665,0.014716233190886148,0.010286789162173519,0.0,0.0,0.0,0.0,0.0
0.25,0.5381915471610015,0.18722347801973524,0.07228872393035768,0.016752536373567765,0.011726647288618868,0.0,0.0,0.0,0.0,0.0
0.5,0.5414067216644087,0.18885126780812644,0.07331587035788054,0.01793317400264155,0.013244214283244616,0.0,0.0,0.0,0.0,0.0
0.75,0.5444152834787126,0.19070269070717455,0.07489220388173445,0.019029953971965455,0.014454705021976131,0.0010926339271747718,0.0011083999114617435,0.0,0.0,0.0
0.95,0.5482880631467519,0.19212055124614694,0.0767362788480013,0.02088966628411922,0.015633403643976702,0.0012572973671448838,0.0021632127545787726,0.0,0.0,0.0
0.975,0.5491964175659165,0.192484793980683,0.07754565399142463,0.021526608082005048,0.015984034977195173,0.0012966925619237596,0.002229747777662198,0.0,0.0010231104665624447,0.0
