,BA.4.1,B.1.97,BA.4.1.3,B.1.1.529,P.1.7.1,BA.4.1.1,BA.5.2.5,BA.4.3,B.1.564.1,B.1.444,BA.4.1.5,AA.5,AP.1,B.1.603,B.1.524,BA.2.9.1,B.1.1.338,BA.5.6.1,B.1.1.224,B.1.177.25,BA.2.2.1,B.1.618,B.1.128,B.1.188,B.1.177.10,N.10,B.1.203,W.2,B.1.629,XL,B.1.177.83,P.1.2,AA.8,AY.3.3,B.1.563,B.1.1.251,B.1.411,proposed467,B.1.1.320,B.1.640.2,B.1.177.39,XY,B.1.530,B.1.623,AM.3,B.1.177.63,V.1,B.1.348,BA.5.1.6,BG.1,B.1.627,B.1.1.388,N.7,V.2,XJ,B.58,B.1.389,A.3,BA.4.1.6,B.1.177.75,W.1,AH.1,B.1.177.87,B.1.531,BF.1.1,B.1.550,XAA,AY.75.3,B.1.594
0.025,0.8987244251463598,0.0,0.001400710343713452,0.0,0.0,0.0,0.0,0.0011383462198432611,0.0,0.0004795940057240318,0.0011209716297512409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8990241501568834,0.0,0.0014293803943363314,0.0,0.0,0.0010575019315508,0.0,0.001179732983294138,0.0,0.0010166883797121068,0.0011356171291062658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9003056819963551,0.0012672340553970818,0.0015617781870007697,0.0,0.0,0.0012675889147294342,0.001059520190197576,0.0013142741728373265,0.0,0.0011195010664334305,0.0013422344117698204,0.0,0.0,0.0,0.0010513322901335449,0.0014130629851676756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9011668897342879,0.0015601004535102474,0.0017005510300541614,0.0,0.0011980888279892223,0.0013724443749662252,0.0011378661950878326,0.0014598546772011606,0.0010854703618086068,0.001184734272788232,0.0014751712492864191,0.0,0.001025788509325282,0.0,0.0011389738899580419,0.0016096495705354458,0.0,0.0,0.0,0.0010041219314187771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9018726532035294,0.0017370419560800955,0.0018022609599024032,0.0,0.001399386146245686,0.0014809614415742388,0.0012358649932535104,0.0015634512284649757,0.0011971786460673811,0.0012670899071904765,0.0016261159149883924,0.0,0.0010925776920218126,0.0011249617649453378,0.0012186319497685166,0.0019227389112939904,0.0010615393791567093,0.0010236124907769622,0.0,0.0010801414568335185,0.001081154012818703,0.0,0.0,0.0,0.0010187562518635708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.903267986969141,0.0020407537525805363,0.0019908891360272377,0.0013658594203332063,0.001544905953696532,0.0016229487221149678,0.0014053015312001178,0.0018416538089394735,0.0013109631594426143,0.0013649828858644996,0.001770490962119875,0.0,0.0011939091501232786,0.0014064551897972422,0.001309196988389363,0.0021761733260709125,0.001231661202571689,0.001210418719531551,0.0010339948083321227,0.001198327393258859,0.0012007132091121097,5.010019926302937e-05,0.0012160218297535348,0.0010348444923117784,0.001076096465381032,0.0010175183682987739,0.0011242174890725664,0.0012220992084805847,0.001007107383997077,0.0010547451872949763,0.0,0.0,0.0013422724789952235,0.0010542743318841348,0.0,0.0,0.0,0.0,0.001018520575612302,0.0010079504613571303,0.0010128210655683978,0.0011188501784625304,0.0,0.0,0.0,0.0,0.0011112795559673943,0.0,0.0011867129069945193,0.0,0.0,0.0,0.0,5.03090414767677e-05,0.0,0.0,0.0,0.0,0.0,5.197626914237087e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.9036008596295576,0.0021262988549190878,0.0020410205172288563,0.0015134237808977602,0.0015751890612881792,0.001642792582450256,0.0014610073993448975,0.0018698015166367045,0.0013382057175948792,0.001419155201312921,0.0018326634610840932,0.0010417973035369262,0.0012317976760742265,0.0014908564879494888,0.0013271997658409792,0.0022297323537353517,0.0013306545207360675,0.001252776026687531,0.001051255096891824,0.0012100214402511807,0.0012547790918599215,0.0010188919676424376,0.0013048028541079305,0.0010745536289435869,0.0010861862063597492,0.0010477738596557317,0.0011733641816158832,0.0014115394113966106,0.0010175874805384566,0.0011193079824592567,0.0,0.0,0.001471007591668733,0.0011276480025503993,0.0010067983239386844,0.0,0.0,0.0010317686298269312,0.0011019378727050411,0.0010219125987218321,0.0010195958084197364,0.0011881067989876325,0.0010589825753370935,0.0,0.0010157751459240981,0.0,0.0012244482631598404,0.0,0.0013833681640357666,0.0010625959156935838,0.0010206257043327096,0.0,0.0010220661042146932,0.0010131014613069343,0.0,0.0006350181059665164,0.0,0.0,0.0,0.001243394115447211,0.0010175844468281305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
