,BA.2* [Omicron (BA.2.X)],Other,Omicron,Lambda,BA.5* [Omicron (BA.5.X)],BA.2.75* [Omicron (BA.2.75.X)],A
0.025,0.5779753858998151,0.2506111628297524,0.047005269324227925,0.019117462035973736,0.0014203382240748207,0.0,0.0
0.05,0.5784989314922605,0.2512614515752737,0.04749326488942475,0.019278464619222554,0.00144138393755328,0.0,0.0
0.25,0.5807989356044198,0.25478911234347806,0.04971397602375726,0.020071304817924865,0.0017691306118396853,0.0,0.0
0.5,0.5839155616340435,0.25753024508401257,0.05069363933179495,0.020610855665722135,0.0026897234394436093,0.001080179108721885,0.0
0.75,0.5860622037442836,0.2596576266170441,0.05197720730115497,0.021200144078499378,0.002857214860465648,0.001163115219573664,0.0
0.95,0.5894201933714167,0.26197173820788866,0.05390027241617296,0.021626349780971832,0.0030911344672118223,0.0012515418297998366,0.001093328420672432
0.975,0.5902692991358917,0.2625074816746003,0.05418088610638408,0.022008134811019688,0.0031449383755449206,0.0012856036053877943,0.0011497671524125749
