,Alpha,Other,A
0.025,0.9471402230267532,0.0,0.0
0.05,0.9474838184130007,0.0,0.0
0.25,0.9485876254215464,0.0,0.0
0.5,0.9492924046701653,0.0010360161932159758,0.0
0.75,0.9500682731507352,0.0011026563052500189,0.0
0.95,0.9511113372315895,0.002177316536022991,0.0010210125607679128
0.975,0.9513696419421055,0.0022996052305964037,0.0010719020511017622
