,BA.2.56,BA.2.23,C.37,BA.2,BA.3,BA.2.12,B.1.177,B.1.177.17,XZ,BA.2.68,B.1.177.72,BA.2.9.1,BA.2.52,BA.2.11,BA.2.31,BA.2.29,BA.2.59,BG.3,BA.2.9.5,BA.2.21,BA.2.71,BA.2.13.1,B.1.1.529,B.1.478,BA.2.27,B.1.187,BA.2.46,B.1.177.43,BA.2.8,AA.8,BA.2.33,W.2,B.1.177.75,B.1.1.109,BA.2.57,BA.2.34,BA.2.43,B.1.1.207,B.1.77,B.1.177.77,BA.2.2.1,BA.2.10.1,BA.2.72,BA.2.64,proposed771,BA.2.18,BA.2.25.1,B.1.1.361,BA.2.53,BA.2.24,BA.5.2.5,B.1.524,BA.2.44,BA.2.50,B.1.23,BA.2.12.2,B.1.177.10,B.1.469,B.1.70,B.1.97,B.58,BA.2.55,B.1.564.1,BA.2.5,BA.2.7,BG.1,XY,B.1.1.320,BA.2.40,A.3,Z.1,B.1.1.437,AP.1,miscBA2BA1PostSpike,B.1.1.217,BA.2.60,BA.2.63,B.1.106,B.1.1.519,BA.2.62,B.1.280,B.1.177.33,BA.2.3.7,B.1.579,BA.2.41,BA.2.16,XAE,XL,B.1.177.25,BA.2.66,BA.2.26,BA.2.79,B.1.1.251,V.2,BA.2.28,B.1.1.524,B.1.531,AA.7,BA.5.6.1,B.1.128,B.3,B.1.177.20,BA.2.61,BA.5.1_no27438
0.025,0.3245341112412734,0.14351779935122794,0.10088830725018044,0.08534230925978978,0.05150027883817632,0.04692123377448221,0.010125861229046988,0.0021759460039397953,0.0024039040445497763,0.0026131923784690936,0.0022866613325966127,0.0024198833224634356,0.0021079493182827535,0.002182887177802747,0.0019633073743649944,0.0019471268552099562,0.0020367228519890335,0.0021698551206476473,0.0018859398650039809,0.0016901445121018945,0.001500416616044926,0.0015945723304306059,0.0,0.0015820449023201315,0.001308356819339567,0.0014160651281199623,0.00128126285133733,0.0013000304706006867,0.0013422220782912007,0.0010563751727313802,0.0004768492446160638,0.0012029849079104832,0.001400728406330873,0.0011742799438104478,0.0,0.0012313328605319256,0.0011193830911039807,0.0,0.0010175061724046375,0.001196272003742895,0.0010823700073978341,0.0010326316404110562,0.0,0.0,0.0,0.0,0.0,0.0,0.0011187555037083328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.32478367322418406,0.1439467518445281,0.10112074719146798,0.08563900823504324,0.05170120201997773,0.046970244293523485,0.010722793561844912,0.00222943164524315,0.00243333668196158,0.002643919050457733,0.002326577013147718,0.0024439006855578277,0.002177478101989568,0.0021872471149851722,0.001987411350000355,0.00196474274740049,0.0020594862553683442,0.002201919187087249,0.0019462622511893302,0.001700643640540701,0.0015316118856709344,0.0017174341606440912,0.0,0.001587712792913338,0.001363014351085906,0.0014384016357616481,0.0013017813799989604,0.0013693763652668056,0.0013493232198813776,0.0010805273840286068,0.0010683684403730823,0.001236689280736398,0.0014282622912918613,0.0012017790592371612,0.0,0.0012582389940752681,0.0011396362438595353,0.0,0.0010411454370785132,0.0012215895971204166,0.0010916878087156923,0.0010418949665464596,0.0,0.0,0.0,0.0,0.0,0.0,0.0011385990414124866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.3273454935398767,0.1453166675145887,0.10170467652442747,0.08708114838137401,0.05346323317050789,0.04737309402716831,0.01226903619002871,0.002321927709260941,0.002618931789806986,0.002763759019365435,0.0025538256176252396,0.0025245117506064968,0.002355351927117169,0.002288089658681815,0.0021317735221652177,0.0020441551543158238,0.002113292051808966,0.002319585003477109,0.0020179353606062057,0.0017662329884818074,0.0017195755275629364,0.0018997530577407444,0.0,0.001640271622244249,0.0014505892954502612,0.0016082080054568239,0.0014376739836755557,0.0016362495624473669,0.0013884199252192282,0.0012131374340248761,0.0011928295471800136,0.0013431390340340704,0.0015164714824938187,0.0012720995765194607,0.0012180968243248687,0.0013334717277293543,0.001219776979480345,0.0,0.0011039122462676338,0.001276761999650224,0.0011540703720349134,0.0011775201726191113,0.0010269180789808147,0.0,0.0010453213568893086,0.0,0.0010301836673527619,0.0,0.001215510896639766,0.001095371243852594,0.0,0.0010273453979872834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010215605825691434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.3294725911596894,0.14645174542692066,0.10215357271219196,0.08864735842936419,0.05420703628098433,0.04775929006861682,0.01313455628882525,0.0024056119761081667,0.0026993464662859526,0.0028407011259276712,0.002663574969622682,0.002590509992627006,0.0024527785869070187,0.0023748122282504745,0.002263606310092678,0.002101094811458537,0.0021622141410669836,0.002429634307504959,0.0020711363024945835,0.0018378600253257985,0.0018284167859599371,0.00196256292013955,0.0012541247391760582,0.001685991979201236,0.0015415147270077029,0.0017392295170347983,0.0015194294141292045,0.0017984029765495857,0.0014181704109501795,0.0012956612125482327,0.0012737083341496885,0.0014169271863981108,0.001566603237003378,0.0013140085725985946,0.0014029741454101307,0.0013987800088669411,0.0012867470192678416,0.0010386165356065108,0.0011584232406441101,0.0013072424101336967,0.0012029222242595475,0.0012504690545221636,0.0010866012708719186,0.001005090074300318,0.0010946412240891643,0.0010478861104346354,0.0011063258748223296,0.0,0.0012635080358717097,0.0011614118612680241,0.0,0.001066926320601087,0.0,0.001042505970782356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011391515471470882,0.0,0.0010943428494579756,0.0010381315004952566,0.0,0.0,0.0,0.0,0.0,0.0010266832315656872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.33167327451325607,0.14738979618886655,0.10268369147801357,0.09008226991279332,0.05546416579553631,0.04823224095202298,0.014044466474614204,0.0025269722937764274,0.0028299071161321716,0.002890295082574935,0.002794260944115612,0.0026853197749658747,0.0025710787209389,0.0024482385767305237,0.002366898639021424,0.0021624058044929823,0.0021923274692250932,0.002504441226323944,0.002135013349515499,0.0018887586028005089,0.0019440245898903101,0.0020477122563594234,0.0016871300078705608,0.001717993909278035,0.0016426770832433744,0.0019007385662337928,0.0016231863660262998,0.0020190678698357597,0.0014485485583695169,0.001356707728489458,0.0013730638366996361,0.001487660612985336,0.0016190444106835016,0.001347592006240947,0.0016413391095142478,0.001453337374208555,0.001362687325625875,0.0011597044661502622,0.0012034274657982003,0.001344033872612396,0.0012779263428070024,0.0013223021037236076,0.001171251628894909,0.0011034164611966387,0.0011508894517015663,0.001136373867636562,0.001199935323040957,0.0,0.0013044126451035361,0.0012640740864546599,0.001041495064452903,0.0010966630414889105,0.0,0.0011174910145466432,0.001032210645035726,0.0,0.0010218359685950492,0.0,0.0011172107094173439,0.001002023983051876,0.0,0.0012330800191570253,0.0010315778517207678,0.001202751210395377,0.0011254044226784701,0.0,0.0,0.0,0.0,0.0010153854582121364,0.001138217799073991,0.0010189390229111562,0.0010092086536545915,0.002124966669731069,0.0010075490321758752,0.0010061945997967418,0.0010352828256339503,0.0,0.0,0.001045073163654838,0.001029723099209339,0.001034228304434801,0.0,0.0,0.0,0.0,0.0010093813726975778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.3343959090932478,0.14843683891457096,0.10350424845837251,0.0918944728047175,0.05719736398655022,0.04852884190187253,0.01577099094332078,0.0026766167715799576,0.0029934669663958116,0.002987196588680594,0.0029504316671259893,0.0027716962556473927,0.0027749556218348917,0.0025342813256307058,0.0024790007874518154,0.0022631818038630785,0.0022447824533228748,0.002630274269026652,0.0022408058386336445,0.0019846870571593876,0.0021118479856391554,0.002165861708277812,0.0020413272478191666,0.0017778065912152144,0.0017914410038871345,0.002106534868603538,0.001746428433472417,0.0022353303376604974,0.0014926990405539251,0.0014781586428998484,0.001498003026029547,0.0015854981233653542,0.00169953553345546,0.0013943667535369184,0.0018660093912665412,0.0015372935029236213,0.0014179763109290829,0.001310682314890062,0.001276263372657097,0.0014108459696409276,0.0013762717104007021,0.00142876684926667,0.001311325430834235,0.0012184417030402764,0.0012142113258233548,0.0013188078913842695,0.0012963239671572582,0.0010568924638169371,0.0014025295791591905,0.0013796555917310834,0.0011364030181111478,0.0011505972378235993,0.0010782260752833879,0.0012304800735646107,0.0010947311754806134,0.0010251900165584688,0.0010756573892592102,0.0011737261432168869,0.0014133304460545834,0.0011061552487488773,0.0011666378368552536,0.0014163530550935636,0.0011532859438301163,0.0013626782264269078,0.0012373393886292725,0.0010794342668558764,0.001074123363011627,0.0,0.0011355713737326474,0.0010624359860068064,0.0012583013796844161,0.0010824826366547693,0.0010892720975454867,0.003372318633034306,0.0011279354733662616,0.0010585351573948818,0.001156741879169167,0.0010058374170789502,0.0010033031039967714,0.001141980685847709,0.0011879463446398783,0.0011424844494924392,0.0010967220850208507,0.0,0.0,0.0010222740404817268,0.001152856312170677,0.0010309309092219282,0.001067638732589699,0.0010268098499622814,0.0010466684756823064,0.0,5.0394758991589575e-05,0.0010123386809324795,0.0010395774730115087,0.0010117478809942885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.33478685767046557,0.14886939082441045,0.10363531810366182,0.09219874795669925,0.05750406373288839,0.04872030502350544,0.01604007784879617,0.0027178408430937645,0.003054762358934823,0.003030380290122875,0.003031898210740248,0.002784386701753076,0.0028143801653519487,0.0025434200650698647,0.0025060764314610135,0.0022955776085197186,0.002262770426260911,0.0026616316381306545,0.0022532062717908175,0.0020056893309758905,0.002136417957361478,0.0022190864497503987,0.002130511544687139,0.0017805059458621917,0.0018113393322751032,0.002144824912956552,0.0017564608746053632,0.0023440359556505612,0.0015011405407422817,0.0015022457822142362,0.0015319945575211528,0.0015962950119873867,0.001740321654907225,0.0014207928518178143,0.002038311894213762,0.0015661727384668278,0.0014484985270551835,0.0013485372353157024,0.0013111310150654965,0.0014347607715115844,0.0014170956439532245,0.0014565321499198456,0.0013223564629353112,0.0012497505327739014,0.0012551073654358546,0.0013628941429053268,0.0013138812814419234,0.0010589170309877024,0.0014226876173268664,0.0013997181070785037,0.0011726483437948215,0.00116602568450103,0.0011313730866663232,0.0012538836790510282,0.0011024476843134554,0.0010397798263830852,0.001100577174076016,0.0011941508244745107,0.0014781350745588485,0.0011469283601395184,0.0011951711834574108,0.0014932332043127927,0.0011838904077204587,0.0013952285889586667,0.0012843157619021103,0.0010955682609878423,0.0010811345431675085,0.0,0.001183815200773503,0.0010734849588000456,0.001294291098470847,0.0011010613838369292,0.001104827349547406,0.004165271019528675,0.0011425735068395422,0.0010865080906958678,0.0011985935903592682,0.0010362684768933895,0.0010240505074273667,0.0011570527177112845,0.0013376342033751833,0.001193201323201572,0.0011019433871470958,0.0,0.0,0.0010316224837787292,0.0011889373616259609,0.0010488279418632558,0.0010748368297134247,0.0010283211019153997,0.0010663835376435189,0.0010271120272668428,0.0010249401350156818,0.0010370196130260858,0.001061092995550703,0.0010319159280855626,0.0,0.0005252759846210694,0.0,0.0010349923214051872,0.0,0.0,0.0,0.0
