,C.37,C.37.1
0.025,0.9697714924566746,0.0
0.05,0.9699969367502093,0.0
0.25,0.9708210588256703,0.0
0.5,0.9713059656858756,0.0
0.75,0.9717154167546941,0.0
0.95,0.9725505100507997,0.0011341992688878434
0.975,0.972786974038819,0.0012268182167847331
