,Other,Eta,A
0.025,0.8922755283082835,0.0,0.0
0.05,0.8929853603180182,0.0,0.0
0.25,0.896280506532414,0.0,0.0
0.5,0.8980711508962786,0.0,0.0
0.75,0.90074942248777,0.0,0.0011412627805171818
0.95,0.9041897263823668,0.0010752533713732344,0.0012847468925171837
0.975,0.904742054760119,0.0011149912156355316,0.0013139943730861583
