,Lambda,Other
0.025,0.9584075312555165,0.0
0.05,0.9585665696535556,0.0
0.25,0.9593382233338299,0.0
0.5,0.9598772702116127,0.0
0.75,0.960451837490299,0.0
0.95,0.9612396116947742,0.0
0.975,0.9615262754817994,0.000542355371140652
