,BA.2.12.1,BA.2.23,BA.2.57,C.37,BG.1,BA.2.68,XQ,BG.3,BA.2.67,BA.2.9.1,BA.2.31,BA.2.9.5,BA.2.9.3,BA.2.27,BA.2.21,BA.2.2.1,BA.2.5,BA.2.29,B.1.1.529,BA.2.28,XAA,BG.4,BA.2.8,XL,BA.2.66,BA.2.33,BA.2.79,BA.2.10.3,BA.2.53,BA.2.64,W.2,B.1.524,BA.2.60,BA.2.1,BA.2.10.1,BA.2.13.1,BA.2.3.7,BA.2.10,BA.2.59,BA.2.63,BA.2.50,AP.1,BA.2.12.2,BA.2.62,XU,C.37.1,BA.2.42,C.2.1,XY,Z.1,AM.3,BA.2.61,B.1.128,XAK,BA.2.25.1
0.025,0.6431703354252306,0.17353902784366884,0.027082872969064066,0.011499224431074862,0.005599253282527047,0.0032635622175382285,0.0023402688854862286,0.00251215081339734,0.002363489346866126,0.002167240326582258,0.0020208735974989547,0.001598189908100496,0.0015656363657561942,0.001188278266547641,0.0014148307452490282,0.0015991634345994745,0.0,0.0015308136444024084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.6438595038274266,0.17403321934273716,0.027812498890414896,0.011523555074864942,0.005660400003856446,0.0032746780132455393,0.002386870632151257,0.0025416075774894026,0.002384069278192544,0.0021802260274001147,0.002058645378131583,0.0016430494789947615,0.0016331969643178434,0.0012276906263966644,0.0014273514954173316,0.0016349698416431293,0.0,0.001556847880707433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.6470064591022047,0.1752535098574677,0.03194621347886467,0.011979639131118948,0.005861847742969861,0.003438498758456424,0.0025576529579611094,0.0026570725898684405,0.0025315099357501236,0.0023406099068797224,0.002344027440939157,0.0017677692021216065,0.0018564764960412486,0.0014290346495584231,0.001516231822567448,0.001685942943159597,0.0011838166079185413,0.001668606643838238,0.0,0.0,0.0010897925245017073,0.0010408536056131575,0.001039233332513723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.6486789128883257,0.17620068465213895,0.034623259326241676,0.012335216021053207,0.006029032814692834,0.003537647121565312,0.0027019485479454,0.002731233600327315,0.002665214404687713,0.0024617774572814723,0.002477376735107626,0.00185426900942567,0.0020321295048591603,0.0016123215868479456,0.0016396961908656544,0.0017375714594427291,0.001323761351063435,0.0017789901365486828,0.0,0.0,0.0012118814072189245,0.0010912171127885183,0.00111421953298898,0.0,0.0010150999698776554,0.0,0.0,0.001123517271868487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.6509456576125401,0.17721101980612447,0.03698697497522659,0.012619388553004053,0.006160797693884106,0.003673223616727862,0.0027988006948249525,0.0028194718752756432,0.0027668020896160113,0.002585611856584012,0.002659528735524877,0.0019368744706766807,0.002258746018114991,0.0018090247058196141,0.0016988400798779112,0.0017972335916662974,0.001471627336997136,0.0018635845072706664,0.0012288914630840754,0.0,0.0013270510858796611,0.001133849009878153,0.001175766470114898,0.0010330460690908282,0.001097590223020067,0.0,0.0010813934547096167,0.0012579642555508043,0.001098426300512238,0.0011644694048885773,0.0,0.0,0.001009595128240726,0.0010796003058724665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.6534434406886346,0.17882019399797078,0.040756147353396416,0.012931607498272032,0.006327444041238228,0.003857212341179414,0.0029850962131737144,0.0029136829896876893,0.0029539754053822397,0.0027450661815603206,0.0028990821508428416,0.002056118394942369,0.0025478785630743067,0.0020754903323378093,0.0018158379159832177,0.0019535369548622423,0.0018310140494552955,0.0019804789893326565,0.0018922570543418455,0.0011014809444866254,0.0014756034769970849,0.0011935762996708695,0.001256536043416285,0.0012133385977604301,0.0012403043069152322,0.001134900806396374,0.001278083019154271,0.0014261202514412338,0.0012278188527156991,0.0014303937121865563,0.0010083458013285516,0.0,0.0011092829618869128,0.001366079615063304,0.0011085548542574073,0.001407500827502809,0.0010049024379018743,0.0,0.0011428510496998099,0.0011222945728611045,0.0010483189231577197,0.0,0.0,0.0010385273997144545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.6549592719496726,0.17931351493792744,0.041505170519584404,0.013179160891501198,0.0063550840115999705,0.003924451090097849,0.0030164876186086196,0.0029592111786002026,0.003040363926635069,0.002792665787445621,0.003004084426719808,0.00208279227182541,0.00262874779234659,0.002243124983521141,0.0018725375109963345,0.0020038748663535485,0.001912468798918437,0.0020501140200048437,0.0020149123772407835,0.0011323137924106423,0.0015342964494810868,0.0012183816779216634,0.00127854365792655,0.0012588685309795704,0.001319621657378138,0.0011719667483389153,0.0013002867030893236,0.001511906836770017,0.0012791354311215077,0.001459487152512828,0.0010233357488918173,0.0005414330626951036,0.0011570069344896447,0.0014191118782535235,0.001149672428774048,0.001425271540825453,0.001059279913250691,0.0,0.0011944210689189363,0.0011827621073906846,0.0011101610667793671,0.0,0.0,0.0010892487757925098,0.0005538778209514776,0.0005286248562110172,0.0005318959833083202,0.001012439355714494,0.0005424932976741039,0.0,0.0,0.0,0.0,0.0,0.0
