,Lambda,Omicron,BA.2* [Omicron (BA.2.X)],Other,A
0.025,0.8827034778809417,0.008662447798555522,0.007613895213224844,0.0018709193549564247,0.0
0.05,0.8833434300089871,0.009148216611990268,0.007702342525202082,0.0023481249375515755,0.0
0.25,0.8844942436823162,0.01020572306023805,0.008440794106116213,0.0036414926826507455,0.0
0.5,0.8853686970253286,0.010970363920370478,0.009507696266399534,0.004700899619485974,0.0
0.75,0.8862395201573688,0.012068011554830504,0.010351866531190775,0.005422389894841506,0.0
0.95,0.887247599412945,0.013432179046308352,0.011365671510538102,0.007058541975566229,0.001027260875576898
0.975,0.8874308213242228,0.013975591361430735,0.012356135598029939,0.00783372564016417,0.001104833424093872
