,BA.1.1.16,BA.1.1.15,B.1.1.529,BA.1,BA.1.20,BA.1.3,BA.1.1.14,BA.1.15.1,BA.1.16.2,BA.1.10,BA.1.17.1,BA.1.17.2,BA.1.5,BA.1.8,BA.1.1.5,BA.1.1.18,BA.1.1.6,BA.1.14.2,BA.1.1.10,BA.1.21.1,BA.1.1.11,BA.1.1.4,BC.1,BA.1.1.3,P.1.7.1,proposed455,BA.1.1.7,BA.1.14.1,BA.1.12,BA.1.4,BA.1.6,BA.1.16.1,BA.1.1.13,proposed441,BA.1.7,BC.2,BA.1.19,proposed446,B.1.629,BA.1.1.17,B.1.1.224,BA.1.1.9,XR,B.1.1.519,P.3,AP.1,N.10,B.1.243.2
0.025,0.345351640208739,0.3113378559527096,0.12334719516981944,0.07073652014409425,0.03798456141096635,0.0025018167888618387,0.002511892534132349,0.0018493341014643972,0.001905815196717175,0.0015835998285400042,0.0011237848430105132,0.0013548639988531506,0.001397620541844543,0.0012948597079222087,0.0014630893788111813,0.001242908360364795,0.0010853623481950382,0.0012884154684520241,0.001273864541995476,0.0010646904055655528,0.0011830614867416607,0.00110775380160444,0.0010818658869459232,0.0012032750805154647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.34556872682525547,0.31284747147418357,0.12396675512665255,0.07125729742079484,0.03818043218721965,0.002538441271030814,0.0025572384752220786,0.0019504398785966518,0.0019242570320792075,0.0016303758477142114,0.0011780488712041127,0.0013709803684646877,0.0014331091670986827,0.0013272472414304624,0.0014993703291918826,0.0012680427525304566,0.0011152776156283775,0.0013240405633585003,0.0013231669828580668,0.0011105425518343904,0.0012154235162953296,0.0011180413923349694,0.0011095173136064014,0.0012111748304746903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.3485246178816884,0.31740734333717224,0.1270140101432216,0.07667809582713109,0.038869601471906504,0.002705615737689956,0.0027998470259281445,0.002231361486152333,0.002010417711785422,0.0018007782980897543,0.0013914525791136833,0.001553098843204815,0.0015710040993933238,0.0015176384281540712,0.0015732786610649185,0.0013735820617044596,0.0012275570484151165,0.0014502347108958818,0.0014389273509291477,0.0012224881871681712,0.0013046649246102689,0.0012284077128387329,0.001295637710142919,0.0012853162138849402,0.0011396054775823664,0.0,0.0010136786117126084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.34999767672891596,0.3203144915354893,0.1286734705363666,0.07934352411655994,0.03928024561902552,0.00283096443762061,0.002963487954494275,0.002417378390743512,0.002071613048007413,0.0019050776762399245,0.0015279018587779467,0.00166081276894438,0.0016511112998505784,0.0015808454746513846,0.0016132301999118451,0.0014771849687382553,0.0013081678246218414,0.0015418345581258,0.001521837691710147,0.0013272673303499592,0.0013996588821926794,0.0013101133521623192,0.0014399975551800054,0.001360200142128579,0.0012579985893098307,0.0,0.0011357977390718263,0.0,0.0,0.0,0.0010439312475053835,0.0010067964959814026,0.0,0.0010114284235930265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.35198957858619634,0.32244930478728906,0.13073939600573967,0.08171668396155114,0.039797289271722186,0.0029937855184067235,0.0030760540980441023,0.002617357959486891,0.0021619610807708323,0.002013315099542841,0.001643812171523762,0.0017888659880592897,0.001706768616699356,0.0016946904222820613,0.0016685806522829718,0.001585687727710706,0.0014168314548153567,0.0016152189601538745,0.001613975788843803,0.0014149057788459265,0.001481038359834617,0.0013646857346494693,0.0015459573062966733,0.001444914695692084,0.0013599897651377583,0.0010231549349696925,0.0012264889259398812,0.0010770169883165164,0.0010619042757102775,0.0,0.0010974774638167172,0.0010560884673937226,0.0,0.0010905345926438578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.35563417032155176,0.3259231635301136,0.13366656213147912,0.08441437590840961,0.04033109311884537,0.0031601918918452705,0.0033722048380740353,0.0028275204059021674,0.0022239998477788818,0.0021774840021247244,0.0018011099451452205,0.0019285739867706028,0.0018914120047897498,0.001855485436825295,0.0017719588163234267,0.0017233379753468377,0.001559261535171876,0.0017359464469142438,0.0018186301670029654,0.0015076463084919135,0.0015766775768543209,0.0014542632550129163,0.0018063976294677999,0.0015473355515991318,0.0015501080499082333,0.0011158864422387313,0.0013345475054255171,0.0011468240699702896,0.0015340497264790841,0.0010772155267241566,0.0011869914026262673,0.0011201713469497431,0.0010427106053186922,0.00126013403229895,0.0011525734202867534,0.0010868580485233219,0.00103946957716673,0.0010858918265458037,0.0010095911156645686,0.0,5.038101058525277e-05,0.001002297987791064,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.35608121706604945,0.3272021137650857,0.1347275850933071,0.08637973353884804,0.04065061911206374,0.003180739951891846,0.003384504865190569,0.0028976668310511746,0.0022546894983955434,0.00222971638801406,0.001855889412982183,0.001965626606142421,0.001954214836940126,0.0019194443369503985,0.0017947415030128058,0.0017388502647154736,0.0015834933779824115,0.0018059412210231773,0.0018484994889610283,0.001549849086129607,0.0016279032496957062,0.0014857370325906823,0.001856874844143396,0.001565353651352061,0.0015653888067645996,0.0011373793101384447,0.0013802776123705022,0.001173943789205381,0.0016097506433333255,0.0010965763360819799,0.0012064661961225871,0.001130937854635715,0.0010566943271511607,0.0012700562012031241,0.0011890920725637396,0.0011130419151142142,0.0010486867252240176,0.0011011040082312433,0.0010270568550154052,0.0010569463856786624,0.0010340511429937796,0.0010063490619305617,0.0,0.0,0.0,0.0,0.0,0.0
