	freyja/V350082740_L14_79-79_variants.tsv
summarized	[('BA.2* [Omicron (BA.2.X)]', 0.588915539244996), ('Other', 0.2576460373343819), ('Omicron', 0.05065257829021669), ('Lambda', 0.020772578000226066), ('BA.5* [Omicron (BA.5.X)]', 0.0029240689998727963), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0010762400000971254)]
lineages	BA.2.9 miscBA1BA2Pre4321 XZ BA.2.23 C.37 XAD BA.2.31 BA.2.68 BA.2 BA.2.52 BA.2.2.1 BA.2.9.1 BA.2.11 BA.2.9.5 BA.2.57 BA.2.71 BA.2.29 BA.2.8 B.1.1.529 BA.2.40 BA.2.33 BA.2.21 BA.5.6.1 BA.2.47 BG.1 BA.2.60 BA.2.13.1 BA.2.72 BA.2.66 BA.2.24 BA.2.1 BA.2.27 B.1.203 BA.2.28 BA.2.16 BA.2.25.1 BA.2.5 BA.2.63 BA.2.62 BA.2.50 BA.2.53 BA.2.45 BA.2.3.7 BA.2.59 BA.2.54 BA.2.34 BA.2.41 AP.1 BA.2.10.1 BA.2.46 BA.2.44 BA.2.18 B.1.1.353 BG.3 Z.1 B.1.524 BA.2.3.12 BA.5.2.5 BA.2.10 B.1.1.338 BA.2.51 BA.2.26 XL BA.2.3.8 BA.2.75 BA.2.9.4 BA.2.37 BA.2.64 BA.2.22 V.2 BA.2.80 BA.2.12.2 BA.2.61 AH.1 BA.2.36 BA.2.19 B.1.243.2
abundances	0.46860791 0.24719688 0.04041373 0.02876424 0.02077258 0.00440854 0.00437990 0.00384197 0.00316471 0.00315320 0.00293730 0.00277871 0.00276912 0.00259551 0.00256000 0.00241155 0.00239090 0.00194774 0.00191064 0.00189251 0.00182257 0.00180275 0.00179563 0.00171875 0.00165171 0.00164252 0.00160239 0.00158537 0.00153917 0.00148449 0.00147047 0.00145298 0.00143945 0.00141239 0.00137771 0.00137705 0.00135628 0.00135172 0.00134712 0.00133233 0.00132358 0.00132183 0.00131340 0.00130088 0.00129773 0.00128139 0.00126904 0.00125502 0.00125453 0.00125188 0.00123321 0.00121277 0.00119439 0.00118237 0.00117842 0.00117295 0.00116448 0.00112844 0.00111946 0.00111781 0.00111007 0.00110420 0.00108559 0.00108065 0.00107624 0.00107200 0.00106804 0.00106508 0.00106151 0.00106049 0.00104489 0.00103712 0.00103568 0.00102906 0.00101287 0.00100793 0.00100156
resid	20.127671512342786
coverage	100.0
