,Omicron,BA.2* [Omicron (BA.2.X)],BA.5* [Omicron (BA.5.X)],Other,Gamma,Lambda,Eta,Delta,Theta,BA.2.75* [Omicron (BA.2.75.X)],A
0.025,0.4632347083455371,0.14369624178327176,0.109906868181232,0.0723047310080658,0.02915658578148514,0.019435980991249498,0.0,0.0,0.0,0.0,0.0
0.05,0.464589475823389,0.14389282826645797,0.11141475866096805,0.07395050329427122,0.029334221685869223,0.019674775342479526,0.0,0.0,0.0,0.0,0.0
0.25,0.4682785376356983,0.14915684684622255,0.11404815827330933,0.07961383239930898,0.031008168564691754,0.020134370889542393,0.0,0.0,0.0,0.0,0.0
0.5,0.47269373193605657,0.1530708637369323,0.11658564788493453,0.08419539938649087,0.03235899046664365,0.020661981241936786,0.0,0.0,0.0,0.0,0.0
0.75,0.475296158204166,0.15650719414209002,0.11910570701375907,0.08939993560997918,0.03341274301614253,0.02115646759279683,0.0,0.0,0.0010199699921446042,0.001036477552140536,0.0010463814558051186
0.95,0.48116094768661577,0.15975014818918123,0.12204112147594469,0.0929329787391567,0.0349724889694817,0.02190571717193312,0.0011009769031174953,0.0011623741807191882,0.0011617475671186572,0.0011680216072130784,0.0011865840905209445
0.975,0.48298183156299407,0.1616228601312152,0.12351274022234864,0.09325992686593461,0.03541525724453261,0.02200027233242415,0.0011183194593455982,0.001213212927569868,0.001188847233999538,0.0012233017917519951,0.0012463161502965917
