,B.1.1.162,D.2,B.1.1.132,B.1.177,B.1.1.359,B.1.478,B.1.177.72,B.1.1.58,B.1.1.160,C.14,B.1.1.166,B.1.1.187,B.1.1.185,B.1.1.122,B.1.1.43,B.1.1.37,B.1.1.12,B.1.274,B.1.1.197,B.1.195,B.1.201,B.1.177.17,B.1.177.2,B.1.1.95,C.27,C.13,B.1.1.92,B.1.1.203,B.1.1.172,B.1.1.136,B.1.1.380,B.1.1.165,B.1.1.255,B.1.1.115,B.1.1.123,B.1.1.249,B.1.1.51,B.1.1.155,B.1.1.398,B.1.1.169,C.26,B.1.1.71,B.1.1.339,B.1.1.408,B.1.199,B.1.1.98,B.1.1.217,B.1.1.83,B.1.532,B.1.1.207,B.1.1.111,B.1.177.43,B.1.187,B.1.1.205,B.1.1.463,B.1.1.312,B.1.1.383,B.1.1.258,B.1.1.178,B.1.177.77,B.1.1.39,B.1.1.213,B.1.1.109,B.1.143,B.1.1.416,B.1.177.75,B.1.1.134,B.1.1.237,B.1.483,B.1.1.368,B.1.1.253,B.1.177.33,B.1.179,B.1.1.55,B.1.1.371,B.1.1.344,B.1.1.137,B.1.1.320,AA.8,B.1.1.180,B.1.1.361,B.1.1.154,B.1.1.88,B.1.1.177,B.1.1.363,B.1.76,B.1.1.133,B.1.1.192,B.1.1.186,B.1.1.392,B.1.1.57,B.1.70,B.1.1.135,B.1.1.315,B.1.128,B.1.1.395,B.1.177.32,B.1.1.201,AN.1,B.1.1.437,B.1.524,B.1.1.438,B.1.1.3,B.1.1.120,B.1.1.288,B.1.1.86,B.59,B.1.1.268,B.1.1.209,B.1.1.138
0.025,0.41864012083221813,0.12089717285228757,0.11385304061547791,0.05567551039677763,0.009029550003906322,0.006947147957494718,0.0038807406396544914,0.0038551370410633483,0.0023332127311669892,0.0,0.0024693470494523626,0.002485611178569145,0.0020579440733851984,0.0,0.0021690745785564554,0.0019725552259767746,0.0019065427417884163,0.0,0.0011840059892828012,0.0018071571885561394,0.000492307328123013,0.0015098492419250281,0.0017751334596786768,0.0014746254574768592,0.0,0.001768274316827795,0.0015321094362336723,0.001335332052229909,0.0011854732362439348,0.0014989790341193685,0.0014063503147400194,0.0010203268658730785,0.0,0.0013090047628845389,0.0,0.0,0.0,0.0010226190086762837,0.0,0.0011498090822961392,0.0011051224726066843,0.0,0.0012117566863775121,0.0010981624694732565,0.0,0.001114903193086381,0.0010932653789077033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010387352626055313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.41941573075448174,0.12128337667015177,0.11429467749891016,0.05680381391442686,0.009131562762046741,0.007085352676554756,0.004041070955008525,0.003889486791552066,0.0023736156295711785,0.0,0.0025798157202340396,0.002511239330873412,0.0021930104550075985,0.0,0.0022451203821422824,0.0019987265429374105,0.002017077083214573,0.0,0.001359100200096581,0.0019169628861329547,0.0011590653527881129,0.0015518305498134967,0.0018013135768667726,0.0015135781217046017,0.0,0.001857739849139032,0.0015918409612246096,0.0013863085049096852,0.0012566627255414056,0.0015711991027434183,0.0014340150510054783,0.0010601408561837925,0.0,0.001369403016725519,0.0,0.0,0.0010249357131735057,0.001066876703786689,0.0,0.0011635166068857852,0.00113482051830172,0.001040186620623458,0.0012174942617031153,0.0011456462210700767,0.0,0.0011361624930658796,0.0011008652581817595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009578383101898965,0.0,0.0,0.0,0.0010978301732883606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.4227662396180708,0.12255791575968288,0.11588357920411638,0.0576512379569309,0.009346068234657428,0.007386243587708032,0.004412183785162423,0.004109091196793808,0.002634121731158851,0.0,0.0028043610360885232,0.002714042639634989,0.0024087319614100556,0.0,0.0024599624126510856,0.002076446455834023,0.0023233174804466825,0.0,0.001536039872483231,0.0021059194088268577,0.0020255177727321032,0.0017704160396071584,0.001944549396678139,0.0018190568435799003,0.0015350919226229665,0.001968980643873422,0.0018524085842315195,0.0015751609264842126,0.0015096170773307026,0.001722786430814949,0.0015815776345076563,0.0012166337800305757,0.0010735475573719836,0.0015379066248846476,0.0010949487057651892,0.0010145309523363314,0.0011756495803105836,0.0012571067893569952,0.0007535057069101157,0.0013627874846113303,0.0012398189623077295,0.0012227181769147429,0.0013286783294771932,0.001290861910273854,0.0011544605998309505,0.0012329626417964998,0.0011586310273951396,0.0012063699137563417,0.0,0.0,0.0010556676154885325,0.00107933555884108,0.001251154983725823,0.0,0.0011476452431200244,0.0,0.0,0.0010901097582517558,0.001062145772464562,0.0,0.0,0.0012151475297810612,0.0010696139716028005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.42599159682976884,0.12373196529809088,0.11688428370634088,0.05857433419601667,0.009496070319439075,0.007543445768935012,0.0046740742807754605,0.00423143912627597,0.0028972820919935293,0.0,0.0029751114128731566,0.0028571412077780522,0.0025595592148205306,0.0,0.002678241721472113,0.002204738018983863,0.0026277364195326416,0.0,0.001814390815118095,0.0022097291277344746,0.0021730375826812445,0.0019008647690268291,0.0020169885783611766,0.001975239204061599,0.0018372706833319316,0.002059274047262718,0.002164913341571476,0.0016880280644305102,0.0016836995191193164,0.0018054643288604722,0.0016815493265021366,0.0014102262430355254,0.001192034433386141,0.0016753965765502266,0.0011839448615552591,0.0012942260055811543,0.0012870768289236709,0.0013709293786603064,0.0012290498961664825,0.0014802762004301705,0.001326068031844483,0.0014584346228564712,0.0014028179784986814,0.0014064108190968729,0.0012636723293851246,0.0013190505765141676,0.0011972052287459478,0.0013200428625684177,0.0010234168647545254,0.0,0.0011369809398586689,0.001261163063809348,0.0015056535005025515,0.0,0.0013044396346413804,0.0,0.0,0.0011823528679535183,0.0011567913754563792,0.0010396272296053412,0.0,0.0012736447221546234,0.001106809875185456,0.0021083429753413633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005016569861351696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.4297001908833892,0.12464424135974092,0.11810505893939846,0.059776583209434755,0.00967490441788169,0.007711952623894701,0.004942772652354587,0.0043284938580248344,0.003038898644266965,0.0013473365549976325,0.0031262628568349813,0.002954349626977659,0.0027124133429961917,0.0,0.002811335147919664,0.002316669893513477,0.0029349421425160904,0.002286205888784596,0.002054247426880656,0.0023533326362562995,0.002331859095829866,0.0020328247956355083,0.0020999986402069695,0.002227472957958241,0.001988619156445793,0.0021975795122844816,0.002387964305198185,0.0017974478037405743,0.0018717626729693993,0.001917286303283274,0.0017435187525819099,0.001569178109690243,0.0013154797648206244,0.0018069467572037418,0.001285708093706281,0.001459965843786896,0.001380799704701012,0.0015102960183345831,0.0015246709945296137,0.0015674170523391653,0.0014228738826025337,0.0017025772709016234,0.0015001655006851152,0.001499714541301941,0.0013460153799047046,0.0014159540373347309,0.001230376359027303,0.0014195616074987323,0.001125625390881335,0.0,0.0012105660163195928,0.0014501501317933157,0.0017761918635150157,0.0,0.0014626955434767401,0.0,0.0,0.001280873713235868,0.0012669197571708256,0.0011121212893411894,0.0010124993949091826,0.0013468545842118056,0.001173537924537383,0.004818953944451695,0.0010768918139549095,0.0010685581346888194,0.0,0.0010047679163387086,0.0,0.0,0.0,0.0,0.0,0.0010880272952595441,0.0,0.0010993639412751857,0.001020745840578752,0.0,0.0,0.0,0.0010275321921474616,0.00025144904489242056,0.0,0.0,0.0,0.0,0.0,0.0010278488894960936,0.0,0.0,0.001054020768141487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.43479775979433943,0.12572576969418303,0.11970744674413858,0.06103685878845463,0.009968743791711884,0.007880118106413684,0.0054336913126591955,0.004556331456519758,0.0032593659550571017,0.0025586096097023055,0.003430017960151812,0.0031495131831607184,0.0029682907396621095,0.0015874387998730563,0.0031152707238694594,0.002447892439724522,0.0032392087470087543,0.0026376027289626335,0.0024420728122058004,0.0025631108020128432,0.0025087658103566763,0.00225776766031061,0.0022306811684787674,0.0024193227091039602,0.002194177441831929,0.0023317461866824165,0.0027330186258203424,0.0019910473098172176,0.002163424542771669,0.0020552613342805616,0.0018341008420367593,0.001773718322314808,0.001442539399011832,0.0020579769475587745,0.0013663601790893036,0.002012101360282557,0.0015204436791938544,0.0016902948799058948,0.0017996819130118322,0.0017019083644699998,0.0015681321133571339,0.0020491637435907663,0.0015928405295830323,0.001630183349564207,0.0014766637566216098,0.001606910965729666,0.001311618409351691,0.0016667267356226586,0.0012392080177131308,0.0011194686263292343,0.0013014204457443314,0.001693670016476859,0.002079777470580648,0.0010455473685159655,0.0017422475450595322,0.0010578515919510791,0.0,0.0013495947534114586,0.0014076775377532403,0.0012123878163200024,0.0011577624787174902,0.0014492815652042935,0.0012154591820555253,0.0095416236143917,0.0014178869432774032,0.0012033253423915263,0.0011169804045221938,0.0011734624238301727,0.001068931714752756,0.0010477810043237948,0.001166279426019355,0.0010266347398180827,0.0010047028324989265,0.0012020739327823194,0.0010061322516127038,0.0011985929168800617,0.0010962740305558072,0.0010242530607622528,0.0011122378621504297,0.0010302134110069389,0.001118292340774572,0.0011304861369675295,0.0,0.0010391396076832858,0.0010310745496272245,0.001027340549036092,0.0010672701151093825,0.0011278469405584185,0.0,0.001048766150544727,0.0013220390109493093,0.0010835489558912044,0.0011111613928564369,5.158039533152147e-05,0.0,0.0010196442794471368,5.01183819671543e-05,0.001026174272073113,0.0,0.0,5.047500742567953e-05,5.051555581919066e-05,0.0,0.0010168794706384467,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.43676058519638,0.12603527483810223,0.12039783275326747,0.0614931824724728,0.00998478091101145,0.007900644082863683,0.005655346013574753,0.004582584775411796,0.0033821861417403782,0.0030299184079558457,0.003587515202409046,0.0031782045479206017,0.003031740835833118,0.0019751957332919366,0.003184181406777224,0.0024701720561766316,0.0034065048866032737,0.0026723051075733823,0.0025115982508336645,0.0026306416307917695,0.002592348159515367,0.0023410875084614877,0.002261679082443255,0.002472932205268421,0.0022734115346079897,0.002398317561587681,0.0028881298507810594,0.002031978058981897,0.0022734896876843375,0.0021187497344917292,0.001882894986455231,0.0018783562407106824,0.0014813137373241884,0.002077929514073412,0.00137571008623882,0.002085999076023808,0.0015695044178167705,0.0017858130779764114,0.0019231474104568548,0.0017317518826794247,0.0015912055845036471,0.0020847288186793787,0.0016084913942856,0.001678517775939224,0.0015289000879455579,0.0016199209674922996,0.0013325133237588977,0.0016815780294170775,0.0012773026618732167,0.0011665420400382483,0.0013538865169113417,0.0017800546216814694,0.0021627653532102905,0.001108131712783321,0.0017513806439590249,0.001083305102422989,0.0010342916607089102,0.0013642347623195078,0.0014347595510007148,0.0012814395871292258,0.001166402800438963,0.0014746359209504075,0.0012317739667346075,0.01000602981486634,0.001430927366673934,0.0012220318491459167,0.001190597961813048,0.0012170756986874087,0.0010938546226092341,0.0010948381405527206,0.0012312701740957053,0.0010410655803338397,0.001049979881562111,0.0012189665341603392,0.0010636383306804641,0.001227328215699206,0.001137015359978763,0.001041591354498142,0.0012043521747056097,0.001038234147511974,0.0011301367697715114,0.0011520085879417785,0.0,0.0010669385493422535,0.001085984649940258,0.0010725241366292045,0.0010974109253266075,0.0011674941375973674,0.0005363223614063665,0.001084488771960686,0.0013721164696055565,0.0011354776333711678,0.0011631750829023757,0.00106145695625229,0.0010164524790031064,0.0010554040045105677,0.0010506415836707744,0.0010279529385222546,0.0,0.0,0.0010188116435647368,0.0010653477553680963,0.0,0.001033283539220457,0.0,0.0,0.0,0.0,0.0010280928676206858,0.0
