,miscBA2BA1PostSpike,BA.2.56,BA.2.23,BA.2,C.37,N.6,BA.3,BA.2.11,BA.2.52,XZ,B.1.70,BA.2.31,B.1.177.72,B.1.177.17,BA.2.9.1,BA.2.57,B.1.177.43,BA.2.9.5,BA.2.59,BA.2.29,BA.2.21,BA.2.2.1,BA.2.71,BA.2.27,BA.2.68,BA.2.8,BA.2.13.1,B.1.1.207,BA.2.46,BA.2.43,BA.2.34,B.1.187,B.1.177.77,BA.2.72,BA.2.7,BA.2.24,proposed771,B.1.524,B.1.1.109,N.7,B.1.603,BA.2.25.1,BA.2.44,BA.2.33,BA.2.66,B.1.177.25,B.1.177.75,W.2,B.1.1.437,BA.5.6.1,BA.5.2.5,B.1.1.361,BA.2.18,BG.1,B.1.77,BA.2.53,BA.2.16,BA.2.5,B.1.97,N.5,XL,BA.2.63,B.1.1.217,C.2.1,BA.2.3.7,B.1.1.224,B.1.23,B.1.1.519,BA.2.10,BA.2.62,BA.2.60,BA.2.19,BA.2.28,V.2,BG.3,BA.2.40,B.1.1.338,B.1.564.1,B.1.243.2,B.1.444,XY,B.1.531,B.1.1.529,A.3,B.1.579,B.1.525,BA.2.74,AM.3,B.1.177.33,B.1.177.87,BA.2.80,B.1.629,BA.2.10.1,BA.2.55,BA.2.3.8,B.1.1.524,B.1.640.2,BA.2.22,B.1.1.251,AA.8,BA.2.64,AP.1,BA.2.42,B.1.478,B.1.131,BA.2.54,B.1.411,B.1.1.406,BA.2.50,B.1.631,C.2,BA.2.26,BA.2.48,B.1.421,BA.2.41,BA.2.37,B.1.619.1,BA.2.79,B.1.254,BA.2.12.2,B.1.93,B.1.214,B.1.1.396,B.1.203,B.1.1.147,C.26,N.10,B.1.106,B.4.8,B.1.549,B.58,B.1.400.1,AA.4,B.1.423,B.1.637.1,B.1.188
0.025,0.2221823404018873,0.1486073107064215,0.12570952737419483,0.11060150198663338,0.09217720452327398,0.03227752220580246,0.011271803888384575,0.0024943486161866234,0.002530031665062491,0.0024359133940037602,0.00206130273625616,0.0018096681488448793,0.0021308132118247934,0.002227390024525245,0.002456528662345087,0.001433736978706441,0.0,0.0020591839593224275,0.0021027985848628443,0.001844794914924512,0.0016676422238270903,0.001588405674794136,0.0014397925224877972,0.0016179823648082587,0.001463153333517155,0.001691265050662263,0.0013059238699357145,0.0,0.0011855730947412124,0.001312665772999747,0.0012434162094866637,0.0012839653047707021,0.0013879803490967615,0.0,0.0,0.001008002139216073,0.0004850086561255833,0.0010437368670949522,0.0013523767462348783,0.001218201149296314,0.0,0.0011136176543519616,0.0,0.0012531949220580825,0.0011021428891784652,0.0,0.001108307958919807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004754474842310965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.22287247859236856,0.15032347958004713,0.1260196063424727,0.11231391639952447,0.09220189290431502,0.03281947471939926,0.01166657876464401,0.002568041982993075,0.0025666869985390217,0.002498352501172155,0.0021103754625384254,0.001843165714157263,0.0021545421979996715,0.0023016818192757088,0.002517388640834137,0.0014645089568369213,0.000963312047154947,0.0020704977722763585,0.0021062396729702925,0.0018713840789592758,0.0016983443510256793,0.0016235424671142225,0.001593515949700624,0.0016559058156209048,0.001467092654543314,0.0016959331757965862,0.0013481167777137663,0.0,0.0012772237230342012,0.0013340519475047068,0.0012928028247943316,0.0013863626714121545,0.0014045902154525202,0.0,0.0,0.0010580638706235016,0.0010398741766817778,0.001073558367829635,0.0013657021904713348,0.0012369027379180327,0.0,0.001157839474878752,0.0,0.0012679824477855259,0.001135180677550593,0.0,0.0011564195078586613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010163818796770864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.224937460286457,0.15322489824107466,0.12780983098200907,0.11404414427131293,0.09312151172572526,0.03462455077453221,0.013012491540230528,0.002688991975760454,0.0027268573782028354,0.0027186744592432904,0.002294433658041402,0.0020762939402013637,0.0023378583279765283,0.0024674996255035333,0.0026826358623355524,0.0017299888939814486,0.0011700843256121128,0.0021456504787495732,0.002193241726902195,0.0020293918469076687,0.0017896270219797126,0.001708415351961379,0.001739817583186428,0.0018237651855571046,0.0015470843138093017,0.001750353757395415,0.0015571878730937828,0.0012114813309789681,0.0014235631920687985,0.0014252524168787372,0.0014529036459248927,0.0015992702031933674,0.001470546529060099,0.0010584757986305,0.0011219984775099165,0.0012128630702170056,0.0011963232895858165,0.0011380948166450594,0.001442251910872888,0.0013277111201686113,0.0,0.0012687225830995924,0.0010539336083880961,0.0013969462205090733,0.0012040372179250827,0.0010496579467348085,0.0012230829306336065,0.0010174683207960292,0.0011278341789895683,0.0,0.0,0.0,0.0,0.0010299577809657306,0.0010745897174111413,0.001087206598429223,0.0,0.0,0.0011555422448094686,0.0,0.0,0.0010721298886723087,0.0010119075981540652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011173651801421518,0.0010942324216953222,0.0,0.0,0.0007512373430597378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.22610420927552455,0.1555555136304155,0.12965592263142023,0.11528962907168747,0.09372959845147066,0.03576403434597991,0.014504391977628884,0.0027890920332012087,0.002877706571932456,0.002858698657840636,0.002512408357442492,0.0022463488129815246,0.0024321367445266696,0.002576334720018501,0.0027644399471622805,0.002002069072044992,0.0013498964941397098,0.0022112600852244356,0.002267356881792926,0.002105549959523505,0.0018600754908437555,0.0018446894979862554,0.001883732692929207,0.0019228472229996774,0.0016235813311114315,0.0017779517580168657,0.0016967791814770862,0.0013918220396158547,0.0015958063277976102,0.001519473449350665,0.0015923915936000596,0.0017833518608289284,0.0015246142744407484,0.0011642344336602294,0.0012054464972035093,0.0013227991417311836,0.0012970791369073386,0.001212435340278436,0.0014916697315844603,0.0013657935644159963,0.0,0.0013670649024089367,0.0011965104808700003,0.001479039047973031,0.00126301436760796,0.0011349258732990444,0.0012763501896568613,0.0011373224432895965,0.001194920316643647,0.0011038397983402194,0.0,0.0,0.0010147918604088088,0.00110023894815527,0.0011309877201172382,0.0011761934434247677,0.0,0.0010808763548981672,0.0012527032161763975,0.0010136395553157942,0.0010455908497574308,0.001208148589630645,0.0011176520633460127,0.0,0.0010460131367057896,0.0,0.0,0.0,0.0,0.001017731659720492,0.0,0.0,0.001153493292860118,0.0011608460332069809,0.0010155553225269605,0.0010122988561580978,0.0010847481251298704,0.0,0.0,0.0,0.001040231196489672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010198999148991802,0.0,0.0,0.0,0.0,0.0,0.0,0.0010205768429880392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.22741713301937677,0.15749267156193322,0.13052108093361697,0.1169037415719532,0.09448783344410716,0.03694753655388229,0.016031237910650833,0.0029157723746776132,0.0030297518613639253,0.0030366941503998657,0.0027057504341972552,0.0023837941718289147,0.002533402059438665,0.00268960697123731,0.0028526304896252094,0.0022519646272941398,0.0015845251228351724,0.0023007627602807286,0.002317845452425827,0.002180941352467901,0.0019437244887273403,0.0019798205270648048,0.002026470095354193,0.0020192548291944985,0.0016801815412954945,0.0018136067722658268,0.0018023414783998031,0.0015936286708974929,0.0017090243355850341,0.0016225288426743175,0.0016603124996515783,0.0020110270511133326,0.0015582807182012424,0.0012918113405272812,0.0012956550042030183,0.0014477668035460152,0.0013765647342740702,0.0012752884515325731,0.0015448201241227758,0.001402424662720516,0.0012010009343569289,0.001430386433552228,0.0013208492803072846,0.0015823284155991346,0.0013016564759129015,0.0012128727759183756,0.0013305198188135032,0.0012236316812697847,0.0012471595828275155,0.0011769387769059144,0.0010341857677578792,0.0,0.0011310947983396652,0.0011439799302672476,0.001194455953550994,0.001249059615351102,0.0,0.0012262434656228627,0.001357265646914718,0.0010533196671654223,0.0011146977907091665,0.0013414787223338313,0.001195789999022373,0.0010596570010699394,0.0011233617755691142,0.0010261207979655592,0.0010365174407076464,0.0010335836812126755,0.0010289519555675619,0.001070327680505129,0.0,0.0,0.0012146080813108075,0.0012319121588621833,0.001154401468453284,0.0012145840840400378,0.0011430260787749075,0.001054942636778232,0.0,0.0010453463872489317,0.0011332472375078016,0.0010108540127719131,0.001308597302302603,0.001092901890125814,0.0010384531897292154,0.0,0.0,0.0010068580524175603,0.0,0.0,0.00109360410908485,0.001002802390643438,0.0010512337720162798,0.0,0.0,0.0010246970457826988,0.0,0.0010639892858367401,0.0,0.0,0.0,0.0010289506420019937,0.0010254316246040755,0.0002500051544486482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010092723904723195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.2284150610461286,0.16025356883361336,0.13242475709820925,0.11927079001508699,0.09537001680098961,0.03896751687421222,0.018245440576493605,0.0030326878866877337,0.0032096141799497937,0.0032525393588932064,0.0029121404322473244,0.0025940486581618187,0.002720387918703938,0.002914719242690951,0.0029558603817910734,0.002663942672630527,0.0019117479045714597,0.0024698270063288684,0.0024084177686971883,0.002278718465295283,0.002066653136695809,0.0021420748645003818,0.0021558888903977047,0.0022065919245534854,0.0017483067592880591,0.0018733902264336823,0.001969118140254285,0.001743318217257935,0.001970219382418542,0.0017255436178248936,0.001769105278497865,0.0022871682278277853,0.0016175038635628893,0.001556918016895586,0.0014472603194671642,0.0016603116599969764,0.0015373308754548767,0.0013435680661554432,0.0016057374453473927,0.0014647422475520817,0.0013455059251628394,0.001550956437016573,0.0014726329449142664,0.0017326921054436704,0.001354073640398276,0.0013151631192145994,0.0014050790014717063,0.0013482881062344618,0.0013139703282767253,0.0012612322631059365,0.0011602011438642216,0.0,0.0012811243871466314,0.0012527719399772115,0.0012733435349850236,0.0013793222742223574,0.0011036245571399053,0.0013578849692994835,0.0014860268715567672,0.0011230777375274554,0.0012184380438501378,0.0016588477350788747,0.0013243166054246345,0.0012025493083981692,0.001323801330386465,0.0010661704190077057,0.0011111124666992927,0.001144754279016934,0.0011783242980698636,0.001205671609175963,0.0010665889942890513,0.0010177741854491536,0.0013062493830123833,0.0012955072666638037,0.0013248051685920627,0.0016471174154094113,0.001240524945283232,0.001209901161508305,0.0010436872166758148,0.0011719488195322868,0.001228631436382504,0.0010856166535799026,0.0020972314922749896,0.0012109636793969116,0.0011305777859201953,0.0010294641370067214,0.0,0.001072936328464712,0.0011265430174268094,0.0,0.001148455423917655,0.0010719885679502323,0.0011596307298916515,0.0011302710187480233,0.0010321129553647545,0.001143489580840324,0.0,0.0011334884435702814,0.0010854801613466697,0.0010663629295742032,0.0,0.0011321928951497776,0.0011072943128464497,0.0010550442083413806,0.0,0.0011209466021012116,0.0,0.0010116268253693426,0.0010446922176442872,0.0,0.0,0.0010971378251541817,0.0010763358560572354,0.0010052965435787915,0.0010203132690042,5.0069540977934607e-05,5.021473339205319e-05,0.001185785195680078,0.0,0.0,0.0010454391029229128,0.00102593150250791,0.0010097280420516294,0.0,0.0,0.0,0.0,0.0010069951661195247,0.001016991093548208,0.0,0.0,0.0,0.0,5.0003847426888606e-05,0.0,0.0
0.975,0.22898764022796073,0.161273607923482,0.13282704715441268,0.11952467768544814,0.09565526885005807,0.03908486592281603,0.019026337756399968,0.003055701173186374,0.003279227751624737,0.003296868085710896,0.003023197052961279,0.002644629447557293,0.0027675049083269463,0.002945593053203841,0.00298598061567214,0.0028611241923641724,0.001976970708102957,0.0024942213215912875,0.0024542219891098387,0.0023064834652603535,0.002080419233030048,0.00218264663677268,0.002265584590697444,0.002236949365745771,0.001799187975813218,0.001890499971633898,0.0019846834620765564,0.0017797183680712603,0.0019974338831858403,0.0017525344433330673,0.00180787332589789,0.0023760453402409264,0.0016210854809802933,0.0016017583127673383,0.001458827147196981,0.001692068996728739,0.001587248357239065,0.0014084765434626582,0.0016126753366816498,0.0014933035460026835,0.0013812714093727266,0.0015700515788230548,0.0015356638801551047,0.0017656607746264208,0.0013871326797024193,0.001327188590923304,0.0014159887952858153,0.0014089861068507163,0.0013536977777105213,0.0012916224071309798,0.0012303198051402157,0.0005380476078428176,0.0013403229411236362,0.001272685937201441,0.001301193277722703,0.0014080400774548563,0.0011701195252230184,0.001395641371213728,0.0015140011989609472,0.0011489091393010865,0.0012828824244129427,0.0017206333719971547,0.0013607113038021886,0.001254308604297203,0.0013608788873231078,0.001076899487644703,0.0011466638204074924,0.001193765346929617,0.0012730304806922146,0.0012292461773212103,0.0010943852891793589,0.0010349768503742315,0.0013484135726445298,0.0013106249542580695,0.0013606457323560106,0.0017238366961884167,0.001280660914904558,0.0012182536704434391,0.0010656595750139042,0.0011994407672269926,0.0012748403651233911,0.001126160591893813,0.0027644301249288915,0.0012293724968785418,0.0011357412987674812,0.001035586644140721,0.0005336107437636988,0.001108108060538135,0.0011577523620115928,0.0010191571475277957,0.001177511253333414,0.0010777047377567228,0.0011793705691762282,0.0012469735356006955,0.0010438974218103282,0.0011811557402175703,0.0,0.0011499243235872792,0.0011067908610154105,0.0011302037929141957,0.0010656285444040322,0.0011456291613669782,0.0011245538818534678,0.0010673119812062255,0.0,0.0011524527073493017,0.0,0.0010753736673448223,0.0010946888356544132,0.0005303391233170297,0.0,0.0011323867387658037,0.001081138651126411,0.0010203575865740911,0.0010262995743752518,0.001021097440118997,0.0010227145863438624,0.001215624139325205,0.0,0.0010072424367097872,0.0010739972482018158,0.0010838634486225163,0.0010284610362254897,0.0,0.0,0.0,0.0005300700267463204,0.0010428234307107616,0.001035309756586403,0.001023918942024417,0.0005379057184859409,0.0005292723197601356,0.0,0.0010022612610218905,0.0005382636245177591,0.0
