,BA.2.12.1,BA.2.23,BA.2.68,B.1.1.529,BA.2.57,XQ,BA.2.31,BG.3,BA.2.67,BA.2.29,BA.2.66,BA.2.9.1,BA.2.21,BA.2.27,XY,BA.2.5,BA.2.32,BG.1,BA.2.2.1,proposed467,BA.2.9.5,XAA,XL,XU,BA.2.10.1,BA.2.62,BG.4,BA.2.1,BA.2.24,BA.2.13.1,BA.2.28,BA.2.64,BA.2.8,BA.2.9.3
0.025,0.7472101959628289,0.1355037634922065,0.014479380882202712,0.009076028340650895,0.0,0.002267202741778643,0.0017338959085522894,0.0019904577824532105,0.0015539645186103607,0.001431378050587754,0.0013563599393849018,0.0013824530882068848,0.0,0.0,0.0,0.0,0.0004793579792316018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.7482302629264727,0.13606764740669583,0.014572288300771287,0.009254022876693557,0.0011092881040176469,0.002388117935315692,0.0017916992311307147,0.0020078540799106656,0.001577486594358617,0.0014450509293459307,0.001432459041651293,0.001471035624888306,0.0,0.0,0.0,0.0,0.0010288247801610645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.7516599256071136,0.13803092186713992,0.015044485408759575,0.009798627849149004,0.0029548729532808786,0.002580942900924224,0.0021034962723912335,0.002094017180331331,0.0017201794531998406,0.0015720808349694903,0.0015548858452043967,0.001692460328496767,0.0010576293180521263,0.0,0.0,0.0,0.0010952196248064225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.7539932447834582,0.13903684634700925,0.015279505741579685,0.010087413495837177,0.005546700130850875,0.002678535417907093,0.0022981130311623835,0.002169631074361779,0.0018227846192516819,0.0016687865045263471,0.0016885675943620177,0.001956790742457716,0.0011773332721497511,0.0011339085746530115,0.0,0.0011327485079967,0.0011571203295112774,0.0010536563715558005,0.001088392352145362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.7559733362508252,0.14047990924853618,0.015528466576776135,0.010503313506543885,0.008536397171342702,0.002764178927471525,0.0024782151729896697,0.002249172881728751,0.001909480438070147,0.001766475134488895,0.001787923983775152,0.0021050196128641037,0.001276097325173415,0.0012366837618328036,0.0,0.0012889553986687315,0.0012066253955835865,0.0011057150364779003,0.0011595768917463823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.7588486874678098,0.14207865427479638,0.01597439831895428,0.01104701211884142,0.011858064731010988,0.002915873289165846,0.002713491541554905,0.0023631799201023007,0.0020389741132486104,0.0018617377530245646,0.0019242992201166367,0.0022674270579786542,0.001359538270542944,0.0014628287029529734,0.0011940983462850423,0.0015718236968485383,0.0012830926399121268,0.0012001525653022004,0.0012893701158284622,0.0011511818297625985,0.001779061432314937,0.0,0.0,0.0,0.00101208170065668,0.001038886791038891,0.0010875377144430735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.7597038435890295,0.14228569430090274,0.016152231122693244,0.01166472999409508,0.013354252290296966,0.0029351242840481677,0.0029026577943407936,0.0023729708304696083,0.0020941694385716468,0.001898453415559418,0.0019687458088126575,0.002383003497619853,0.0013911998271901205,0.0015314582254495417,0.0012829716953134764,0.0017370254946195486,0.0013097220780629542,0.001217503688918864,0.0013727463729447161,0.0012335576028462492,0.0018386028973354914,0.0,0.0005503771745806057,0.0010493098370549586,0.0010454142860160233,0.0010598108147338208,0.001112812193605562,0.0010331826344565928,0.0005256307566346406,0.0,0.0,0.0010908773677899102,0.0005305417097808114,0.0006246719147470506
