,N.3,B.1.177,B.1.177.72,B.1.8,B.1.274,N.4,B.1.187,B.1.1.172,B.1.1.185,B.1.177.17,B.1.195,B.1.478,B.1.177.2,B.1.539,B.1.70,B.1.199,B.1.178,B.1.420,B.1.1.109,D.2,B.1.201,B.1.1.361,B.1.76,B.1.483,B.1.177.77,B.1.1.217,B.1.214,N.7,B.1.1.344,B.58,B.1.211,B.1.1.416,B.1.1.187,B.1.177.75,B.1.97,B.1.1.437,B.1.1.205,B.1.1.204,B.1.1.111,B.1.1.98,B.1.1.507,B.1.1.296,B.1.210,B.1.585,AA.8,N.5,B.1.177.10,B.1.106,B.1.137,B.1.128,B.1.67,B.1.177.32,B.1.117,B.1.334,B.1.609,B.1.1.123,B.1.23,B.1.639,B.3,B.1.1.175,B.1.1.338,B.1.1.203,B.1.215,B.1.157,B.1.179,B.1.1.120,B.1.1.133,B.1.444,B.1.1.320,B.1.1.3,B.1.1.130,B.1.564.1,B.1.1.500,B.1.1.312,B.1.524,B.1.1.244,B.1.1.315,B.1.400.1,B.1.1.86,B.1.1.380,B.1.1.408,B.1.69,N.1,B.1.1.363,M.3,B.1.93,B.1.531,B.1.203,AP.1,B.10,B.1.277,B.1.134,B.1.1.176,B.1.1.29,B.1.1.177,N.2,B.1.1.268,B.1.1.461,B.1.1.37,B.1.1.251,B.1.205,B.1.393,AM.3,B.1.177.33,B.1.594,B.1.1.359,B.1.1.145,B.1.182,B.1.81,B.1.37,B.1.1.256,B.1.1.207,B.1.1.163,B.1.280,B.1.421,B.1.1.288,B.1.1.519,B.1.222,B.1.220,B.1.180,B.1.1.406,B.1.318,B.1.13,Z.1,W.2,B.1.557,B.1.1.236,B.1.177.25,B.1.602,B.1.131,B.1.1.420,B.1.243.2,B.1.1.67,B.1.1.255,B.1.1.4,B.1.543,B.1.1.339,B.1.1.46,B.1.544,B.1.404,W.1,V.2,B.1.276,B.1.391
0.025,0.639466108136921,0.0867979479512116,0.0036225092058511884,0.0021431873049710727,0.00226346996204355,0.002109477174239176,0.002373840751488974,0.00128378495780583,0.0020854646949285275,0.0018618914928121477,0.002069710028011019,0.0017312731132821779,0.0017969506069040794,0.0011535957564826366,0.0010089934255147657,0.001179890541164316,0.0014306259701586889,0.0013282684169589037,0.0014244770985206942,0.0005188731919408036,0.0011899765799505146,0.001121035174033378,0.0012022541793921175,0.0,0.0013007898776837004,0.001239868496401385,0.0011373421575934337,0.0011596745006246438,0.0011335504797756483,0.0010493071483846984,0.0011285672379013308,0.0,0.0011893849265811672,0.0011338260410843914,0.00047986722469076977,0.0010849897349558873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001017926383110717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.6407772455982411,0.08698342107134518,0.0037375855058226935,0.0022618813069683577,0.0022988302451047893,0.0021268277540905695,0.0024061173449849683,0.001427791939058258,0.002133258763770249,0.0018946729720954866,0.002088316471293293,0.0017586962787178553,0.0018515595061702006,0.001169416156209605,0.0010719454590608884,0.001217916525029402,0.0014338265788850012,0.0013652438393873588,0.0014542914365024957,0.0011483726207628228,0.0012040242380904381,0.001221761299945473,0.0012290009546182673,0.0,0.0013366184099947898,0.0013023859155533364,0.0011652590364193798,0.0011930517032781723,0.0011597983300530377,0.0010802215283518056,0.0011558094479082854,0.0,0.0012290440578885905,0.0011565313197996964,0.0010248692274849923,0.0010936865842523951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010313661472923538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.6442848830244441,0.0879315890383094,0.004144032352615498,0.0024783026855722066,0.00244090878115607,0.002341929951012919,0.0025122662168861588,0.001732779079041954,0.002244910917343154,0.0020291166411591692,0.0022279839260646696,0.0018702058418610078,0.001976950289245396,0.0013467178036831394,0.0014456323580480635,0.0013239822409659313,0.0015266128319602792,0.001472059475728401,0.0015222487024662821,0.0015071138010404432,0.0013055616791405806,0.0012998687131146843,0.0013227407170609846,0.0010796642121267954,0.0014101191043842923,0.0014034039602504318,0.001265458893857685,0.0013259238091853688,0.0012106502699422313,0.001132047782956695,0.001209408966870722,0.00123982595482436,0.001347292222915111,0.0012540412663189994,0.0011324277450483092,0.0011648499823529387,0.001081740996810949,0.0,0.0,0.0010649711395642513,0.0,0.001170834627499897,0.001093278355808635,0.0010469454198630834,0.0,0.0010751130335854779,0.0,0.0,0.0010593787038869697,0.0010386770532333166,0.0,0.0010738553669836575,0.0,0.0,0.0,0.0,0.0,0.0010566459583784067,0.001026762933976806,0.0,0.0,0.0,0.0010100148054019414,0.0,0.0010470788674849948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.646690701338029,0.08867702382055234,0.004413827816328165,0.0026329586580113164,0.002552323252939634,0.0025330850460755882,0.002597683630788288,0.0019149753854503869,0.0023596176807338535,0.0021345460375555587,0.0023452464469140297,0.0019246854587722283,0.002093451698182457,0.0015238549858204483,0.0016259611980421794,0.0013952871309349966,0.001609402411723263,0.0015456470344043733,0.0015619923105667359,0.0018058462634111356,0.001373263148444638,0.0013393800463132744,0.0013756429496120273,0.0011706861758014912,0.0014690690317221522,0.0014907495797401268,0.0013418888153802675,0.001397257915973543,0.0012918226330567127,0.0011882078672703989,0.001270048187085512,0.0013903196285749279,0.0014583633688902726,0.0013220181369729082,0.0012214587652509723,0.0012208101189188905,0.0011605035814966484,0.0,0.0010657294226102138,0.0011394633605233836,0.0011172144857757185,0.001322301548767554,0.0012129076726147972,0.0011154817249009073,0.0010837466995002902,0.0011518147427297149,0.0,0.0010304877001175773,0.0011294799529636534,0.001093830308089265,0.0010882873279594767,0.0011124792499793484,0.0005006973986500276,0.0,0.0010451743988254371,0.0,0.0,0.0011276554386533614,0.001093545313505282,0.0,0.0010286166425950325,0.0,0.0010683383687839893,0.0010792375278044827,0.0011043675672071985,0.00105554400720101,0.0,0.0,0.0,0.0010354317528722787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001067224063978165,0.0,0.0010068944911072208,0.0010217563908445583,0.0,0.0,0.0,0.0005011920233157917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.6485742858918433,0.0893523174573259,0.004687097463856864,0.002817785406103033,0.0026599577642598903,0.002661934218654445,0.002670281534714499,0.002161330071319155,0.002449990762347819,0.0022253904785719033,0.0024205062052267638,0.0019874705959211404,0.002219727662739453,0.0016767276770508104,0.0017882597148525152,0.0014657910942095047,0.0017040392456078453,0.0015861871029669186,0.0016247414358519226,0.001981437471663871,0.0014700537385740574,0.0014051007219506436,0.0014320014658995015,0.001247085971738851,0.0015303317281451009,0.0015744253867866894,0.0013971985768262412,0.0014598079032492732,0.001372174413659962,0.0012670908458449382,0.001332819985302402,0.001637980675914323,0.0015572726564044384,0.0014034642454550349,0.0013092387380696817,0.0012641438887150262,0.0012530124761801471,0.0,0.0012147508511723307,0.0012159568684465523,0.0012314698013258909,0.0014807560048932923,0.0012959269581189648,0.0011638641521811597,0.0011839671880199615,0.0012198593568384765,0.001013793917621186,0.0010892798963620253,0.0011813524802928605,0.0011592780752485293,0.001281024870061979,0.0011524362176411746,0.0010849246360784374,0.0,0.0011549089320111495,0.0010822341708599584,0.0,0.0012436221535350024,0.001128209930287546,0.0,0.0010972642125838448,0.0010125694647563194,0.001177040698950994,0.0020935066952695322,0.0011545633134667685,0.0011320573259027658,0.0,0.0010235353247214345,0.001031831958997467,0.0010859017044255541,0.0010097464734221046,0.0010574430486072245,0.0010451557050010969,0.0010248098469497213,0.0010664990111730517,0.0,0.0,0.0,0.001071281576418471,0.0010506001896936222,0.001044099773145083,0.0010360784991733786,0.0010240778848249975,0.0011523448541080558,0.0,0.0010867404059932586,0.0010603446589187064,0.0,0.0,0.0,0.0010640429279403438,0.0,0.0,0.0010854276905913028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.6513967670443908,0.09038190557074209,0.005071803846233035,0.0029771380758801414,0.002853400768968534,0.0028329197696353127,0.0028020533541220313,0.0025829648898026444,0.002652259743899448,0.002431214858793251,0.0025642256518604006,0.002101179237600377,0.0023812092623891183,0.0018297907783947267,0.002031233664391,0.0015530530662142632,0.001797268848561863,0.0016705368150096845,0.0017214176449254408,0.002385199480522802,0.0016056459634375075,0.001440576026196548,0.0015124997768563662,0.0013589225624187813,0.0016027208116590292,0.001668700815198971,0.0015028823582535213,0.001539499661211271,0.0014667378981939139,0.001326660468658603,0.0014021980212892652,0.0018468847853205924,0.0016658524554104498,0.0015228541522712294,0.0014767227848180454,0.0013396896569549325,0.001395389899947956,0.0011833525537548017,0.0013126553615578685,0.0012957095076846354,0.001313107529296805,0.001608354918987355,0.0014222863473919785,0.0012621439716005015,0.001311212406558565,0.0013081543702644232,0.0010776852786957985,0.0011995920546303915,0.0012953520553899026,0.0012291416877186594,0.0016303039877791307,0.0012272971489993584,0.0011464254611693889,0.001093627621005604,0.0012837843107420973,0.0012677825502929439,0.0010614812058433473,0.0013537454121964575,0.001210672038730646,0.0010126126402259033,0.0011970013904213277,0.0011260644639985299,0.0012604389980354885,0.0022515056680143483,0.0012808195009003476,0.0012169159615253128,0.0,0.0011087374764186036,0.0011422583540994687,0.0011499282167602605,0.0011208093841094129,0.0011241653292119816,0.0011317372613181592,0.0010881508564547554,0.0011675007231477014,0.0010728717289319304,0.0011224924552253404,0.0,0.001220599842749634,0.0012706037729728423,0.0011497625490700606,0.001153499411113014,0.001092778065379571,0.0012426951836151494,0.0011181679075651784,0.0011846009330193606,0.0011404295621074137,0.0010704524694267693,0.0010390233494304677,0.0,0.0011259378118134505,0.0011088574792328695,0.0010530014405225252,0.0011887725470232538,0.0010625662899904718,0.0,0.0010455535009319488,0.0010254801413859707,0.0,0.0,0.0011046525555994675,0.0010482828783296987,0.0,0.001178080455773303,0.0010298627972313945,0.0,0.0,0.0010609092041019299,0.0,5.013877749044418e-05,0.0,0.0,0.0,0.0,0.0010052182108174156,0.0,5.0574449382812e-05,5.4605786901712664e-05,0.0,0.0010877472669580232,0.0,0.0,0.001047494288099378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.6525083782501918,0.09059654899941966,0.0051451639573938815,0.0031035468931834855,0.0028977765540814156,0.0028662004427986846,0.0028529730901980764,0.0026873267563100813,0.002698983158013903,0.0024835768227180204,0.0025770526233582568,0.0021381137707250676,0.0024050327609096223,0.0018779455913344241,0.0021443577240842625,0.001602872829647794,0.0018664225363987353,0.0017057586074807906,0.0017395244008265426,0.00247560532916475,0.0016299333919857597,0.0014566733822718588,0.001525283511568284,0.0014088632606232222,0.0016303868724092526,0.0017108829536315302,0.0015326747486223817,0.001563275225328906,0.0014855476546181542,0.001330157315473159,0.0014181078426584136,0.0018827890200881364,0.00170878482185613,0.0015755960050693153,0.001587176236970707,0.00137791024271048,0.0014313527280671297,0.0012580509838231743,0.0013346377712807737,0.0013438780776946337,0.0013256297169427164,0.0016462669226694605,0.0014341991461901062,0.0012717580697473529,0.0013527967904785254,0.001342340711065386,0.0011045039833410082,0.001230404037556937,0.0013293904801827832,0.001279701879842367,0.0019126137094861108,0.0012502999739778522,0.0011751320863212758,0.0011087754311575127,0.001297862966424542,0.0013056799134448514,0.0010794209404594178,0.0013890910720565058,0.0012342940081224948,0.0010266200526045863,0.0012501936941749173,0.001170970584083445,0.0012910557897983519,0.0022694878618418927,0.001303888639445051,0.0012499654166744768,0.0005356656450163412,0.0011195570940217112,0.0011538092909021418,0.0011827191481698146,0.001132766667739394,0.001138852273338183,0.001160921605610416,0.0011016811871133513,0.0012019203751714102,0.0010977239739998674,0.0012031383984515585,0.0010364941325669691,0.0013431834870651547,0.0013223176521295866,0.0011700508069735526,0.0011802963592416839,0.0011128424508692592,0.0012606802833669858,0.0011481967162343943,0.0012180065488064222,0.0011490578763775428,0.0011276967517982758,0.0010488055004485271,0.0,0.0011864753915338659,0.0011202071597933322,0.0011119017771676434,0.0012428945136512411,0.0010794463163123962,0.0010338716405260179,0.0010551147007020981,0.001062510972211605,0.0005653967321873448,0.0,0.0011358936167087921,0.0010937756411775468,0.0,0.0012102326669890318,0.001049741883772973,0.0,0.0010218253256674453,0.0011002273621622271,0.0010515153365964352,0.0010212544631764463,0.0,0.000567642511913698,0.0,0.0,0.00102888549025146,0.0,0.001043529134375029,0.00135724925251416,0.0,0.0011738099712366998,0.0,0.0,0.0011193834247001124,0.0010234397225970383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010612626373113173,0.0,0.0,0.0,0.0005286799955357121,0.0,0.0,0.0,0.0,0.0,0.0
