	freyja/V350082740_L14_52-52_variants.tsv
summarized	[('BA.2* [Omicron (BA.2.X)]', 0.9294561222223902), ('Omicron', 0.01611786954715226)]
lineages	BA.2.12.1 BA.2.23 BA.2.68 B.1.1.529 BA.2.57 XQ BA.2.31 BA.2.9.1 BG.3 BA.2.67 BA.2.29 BA.2.66 BA.2.32 BA.2.21 BA.2.27 BA.2.5 BA.2.2.1 BG.1
abundances	0.75430078 0.13894718 0.01528820 0.01021296 0.00562984 0.00274305 0.00235208 0.00212240 0.00211869 0.00182095 0.00167634 0.00165660 0.00117564 0.00117386 0.00113741 0.00110196 0.00107288 0.00104316
resid	19.82458295023664
coverage	100.0
