,BA.4.1,C.37,BA.4.1.1,B.1.1.529,BA.4.1.3,BA.2.2.1,BA.2.9.1,W.2,B.1.128,XY,BA.4.1.5
0.025,0.9446438124878428,0.0028397923644749874,0.0011830986157684445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.9450742788248105,0.002929903308892309,0.0012425182623415811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9461533222297183,0.003208542875902073,0.0014120421635335494,0.0,0.0010623925862264956,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9472777140934692,0.003493902232548563,0.0014889151286430792,0.001318804840265051,0.0011480868866505971,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9481236562337491,0.003716205029206484,0.001577713150345692,0.0016846838384556632,0.0012272814100070853,0.0,0.0013084843364726225,0.0,0.0,0.0,0.0
0.95,0.9491647111213719,0.004054738730593649,0.0016738851704639671,0.002170887208228572,0.0013314820713629287,0.001097854955311301,0.0017725285873475812,0.0,0.0,0.0,0.0
0.975,0.9495697840777468,0.004117980421846034,0.0017095842445187161,0.0024022447145317506,0.001382421120595878,0.001127084442067221,0.0018054364709766256,0.0,0.0,0.0005262450086384336,0.0
