,Epsilon,Other
0.025,0.9291601918186925,0.0
0.05,0.9293278766690322,0.0
0.25,0.930490462824889,0.0010606167627386152
0.5,0.9311380568983628,0.0016448293365455076
0.75,0.9317221582886814,0.0021793706607195437
0.95,0.9327784107380405,0.0032012209292402354
0.975,0.9331223999781749,0.0032626790244702593
