,C.26,B.1.1.1,B.1.177,B.1.177.72,B.1.478,B.1.274,B.1.195,C.13,B.1.177.2,B.1.8,B.1.177.17,B.1.201,B.1.76,B.1.67,B.1.187,B.1.483,B.1.177.77,B.1.97,AA.8,B.1.177.75,B.1.393,B.1.199,B.1.177.32,D.2,B.1.181,B.1.1.98,B.1.524,B.58,B.1.254,B.1.1.361,W.2,B.1.70,B.1.128,B.1.1.109,B.1.177.33,B.1.1.255,B.1.1.217,N.7,B.1.215,B.1.1.437
0.025,0.5116681116227896,0.26493360731933485,0.05877213425124556,0.003681769997012502,0.003147724799596644,0.0019118433600749743,0.0019084778771944473,0.001694707437031055,0.0018983013642216286,0.0018162336856606246,0.00162301257276092,0.0011911046324669912,0.0004809720697739738,0.0,0.0010565745300203289,0.0,0.0,0.0,0.0,0.0010442921611887777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5118423875926904,0.2653583793201283,0.05899051297395566,0.0037140720868346334,0.0032291361960127005,0.0019406510398366373,0.001952577501173434,0.0017221420101971368,0.0019047763809362012,0.001838407862179254,0.0016368151869179204,0.0012133287231315278,0.001035256419379593,0.0,0.0010937123086186744,0.0,0.0,0.0,0.0,0.0010696668298494044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5132837217476119,0.2668295980514641,0.059792244893231414,0.003984068697651685,0.003373389158902272,0.0021401135990473377,0.0020958594308645336,0.001823089651364354,0.002013737493788845,0.0019470666527428252,0.0018398302068147337,0.0013416715283452465,0.001148731314847166,0.0,0.0013664032947606234,0.0,0.001047689492080991,0.0,0.0,0.0011432868490178336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5140209790628781,0.2678042915849075,0.06046301099794801,0.004209739030414612,0.0034879554012847407,0.0022465466819973517,0.002202802406951646,0.0019042988738968312,0.0021691513151340658,0.002047831878348511,0.001983892683925339,0.001422640176503533,0.0012071956455785723,0.0010364961360122323,0.0015382641148193282,0.0010217280002480856,0.0011022667946398233,0.0,0.0,0.0012137812836736646,0.0010121351541937794,0.0010350954233553171,0.001016376835333536,0.001103817885116742,0.0,0.0010343268781907093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5149267487893009,0.26919666409255627,0.061048923344220796,0.004389071941085036,0.00359064303405493,0.002379830834310437,0.0022907452144263637,0.001968401987752298,0.002303265410199693,0.0021421445057613294,0.002098899206918055,0.0015103342673384221,0.001274039957769764,0.001247047682475888,0.0017143769337906224,0.0011026438242834151,0.0011437378841271648,0.0011367772303608591,0.0010025314130158243,0.0012939194868327186,0.0010832220415583893,0.0010854756991636482,0.0010609092615841966,0.001208441044213784,0.0,0.001141499735599004,0.0,0.0,0.0,0.0,0.0,0.0010110350081783104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.5160541614089841,0.27149443913707866,0.06204541966726505,0.00473174681881472,0.0037816788583818145,0.0025268193952849376,0.00240904535373508,0.0020828131810454397,0.0024896906506373198,0.0023556000216832947,0.0023298769647885484,0.0016574591212188713,0.0013555565917844994,0.0015676234448958116,0.001991850996043988,0.0011943315577814715,0.001202127102102197,0.0012928891211084733,0.0011311671469655833,0.0013698204395795875,0.0011985567712235337,0.001178743306466363,0.0011037181798055503,0.00133866192364511,0.0010634338278426466,0.00125356943287805,0.0,0.0010646780837912193,0.0010478682572315607,5.055833993180095e-05,0.0010334386498255046,0.0012650029027603238,0.0010884915952047143,0.0010143179682316754,0.0,0.0010169702900560671,0.0,0.0,0.0,0.0
0.975,0.5162359611722949,0.27207380981315593,0.062191782185163295,0.004821379147436009,0.003790189672689421,0.00256231608281278,0.0024349585730310186,0.0021251539018768127,0.0025606343610189877,0.0024011000303684887,0.002379621332086009,0.0016732377326219648,0.001382221813023506,0.0016236801207658502,0.002005757802997922,0.0012230507862577963,0.0012222287058278466,0.0013346173561331642,0.0011788676196695432,0.0014001393883597332,0.0012466049490552427,0.0012054711672339158,0.0011244962023924385,0.0014178608924028605,0.0010866846542714058,0.0012768448823808074,0.000534398215997224,0.0010755715217337465,0.00110075267078596,0.0010421846417437814,0.0010609667180356977,0.0013366050977607687,0.001117432980672487,0.0010200525876450945,0.0010226544722346557,0.0010270458907261693,0.0005253517595607925,0.0,0.0,0.0
