,B.1.429,B.1.429.1,B.1.585,B.1.375,B.1.579,B.1.603,B.1.338,B.1.411,B.1.330,B.1.1.420,B.1.273
0.025,0.9278440789951978,0.0010970387651261964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.9280263165071538,0.0011091339784434714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9292327440984552,0.0011933089160458428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9298388854679576,0.001262112869642746,0.0010432837361337988,0.0010056353402807597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9304661138408837,0.0013373517477864637,0.0011103889748641143,0.0010529380906133914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.9314325277759086,0.0014174941532537422,0.0011898215150232868,0.0011508229977646122,0.0010312445676716347,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.9317673477472257,0.0014360348965305832,0.0012113535097098747,0.0011642807222016988,0.0010619000202110596,0.0005313801517803529,0.0005335063078982754,0.0005268826995246984,0.0010073946832222604,0.0,0.0
