,Other,A
0.025,0.8985923742660563,0.0
0.05,0.8989641534498319,0.0
0.25,0.9014459866693691,0.0
0.5,0.9028317980408689,0.0
0.75,0.9045664823500473,0.0
0.95,0.9067798725972122,0.0011455501436491776
0.975,0.9074247333597172,0.0011983929288445934
