	freyja/V350082740_L14_83-83_variants.tsv
summarized	[('Lambda', 0.9420319939957565), ('BA.2* [Omicron (BA.2.X)]', 0.003535972583357975), ('Omicron', 0.002484931977182483), ('Other', 0.0010087999988199203)]
lineages	C.37 BG.1 BA.2.2.1 BA.2.9.1 BG.3 BA.2.60 B.1.444
abundances	0.94203199 0.00138594 0.00127763 0.00122357 0.00109899 0.00103477 0.00100880
resid	16.04742095841033
coverage	100.0
