,Lambda,Other
0.025,0.9540549817302149,0.005624190600023032
0.05,0.9545717167086851,0.00606527436041538
0.25,0.9559028014536757,0.007766485830838115
0.5,0.9567829252341915,0.008689467415918476
0.75,0.9577608650736302,0.009433996806278717
0.95,0.9595023027591222,0.010272558586789817
0.975,0.9603814764144175,0.010659354500309507
