,BA.2* [Omicron (BA.2.X)],Lambda,Omicron,Other,BA.5* [Omicron (BA.5.X)],A
0.025,0.6561094093628227,0.10088830725018044,0.058497709565915795,0.03601470776237698,0.0,0.0
0.05,0.6568508606170086,0.10112074719146798,0.05876843407492987,0.03656375970162837,0.0,0.0
0.25,0.6590010048139471,0.10170467652442747,0.06024819872927911,0.039247574171242895,0.0,0.0
0.5,0.6601700868197162,0.10215357271219196,0.06133242117361254,0.04095424720765322,0.0,0.0
0.75,0.6614298752345724,0.10268369147801357,0.06267075894801188,0.04222371344292576,0.0010422995545781894,0.0010153854582121364
0.95,0.6629621884855752,0.10350424845837251,0.0643065424528648,0.045097475596249985,0.0011364030181111478,0.0010624359860068064
0.975,0.663475542780267,0.10363531810366182,0.06527753969127305,0.04552914735676424,0.0011726483437948215,0.0010734849588000456
