,Other,A
0.025,0.8955305876934078,0.0
0.05,0.8958767755483902,0.0
0.25,0.8982534043060497,0.0
0.5,0.8996400371307136,0.001067676281814432
0.75,0.9012300895630925,0.0011055548015534314
0.95,0.9038126298694855,0.0011469846684957251
0.975,0.9042077527112947,0.0011811548654321862
