,Other,Gamma,Theta,Omicron,Eta,Delta
0.025,0.8205291958029517,0.04878886341812977,0.0,0.0,0.0,0.0
0.05,0.8223588199778705,0.0490084257250101,0.0,0.0,0.0,0.0
0.25,0.8252570307426685,0.049683791350956616,0.0,0.0,0.0,0.0
0.5,0.8280652752669211,0.05033045809982596,0.0,0.0,0.0,0.0
0.75,0.8309838291352353,0.050656309312259534,0.0010217856141394941,0.0,0.0,0.0
0.95,0.8347068319410856,0.05143905024926107,0.0011050217105242342,0.0,5.029597251963807e-05,5.1117578086276845e-05
0.975,0.8355982809049806,0.05157385670029387,0.001144046363665694,0.0,0.0010140300710976345,0.0010254833168987997
