,N.6,P.1.1,BA.2.23,P.1.7,P.1,B.1.177,BG.1,C.37,BA.3,P.1.12,miscBA1BA2Pre4321,miscBA1BA2Pre10k,B.1.177.17,P.1.10,B.1.177.32,XZ,BG.3,BA.2.71,BA.2.52,BA.2.31,XQ,BA.3.1,BA.2.57,BA.2.29,XH,BA.2.9.1,BA.2.36,BA.2.9.5,XAG,BA.2.67,P.1.14,P.1.7.1,P.1.15,B.1.187,B.1.97,BA.2.24,AA.8,P.1.17,BA.2.34,B.1.177.72,BA.2.2.1,BA.2.27,BA.2.68,B.1.177.33,P.1.9,B.1.254,B.1.564.1,XAA,BA.2.21,B.1.177.75,XY,BA.2.66,BA.2.42,B.1.1.437,BG.4,XV,B.1.203,BA.2.1,N.7,P.1.16,BA.2.73,AP.1,B.1.1.361,BA.2.12.2,B.1.1.251,BA.2.61,XE,P.1.11,C.2.1,BA.2.10.1,BA.2.79,B.1.177.25,B.1.524,BA.2.70,B.1.1.373,B.1.1.315,BA.2.37,BA.2.53,B.1.1.413,N.10,BA.2.62,Z.1,B.1.1.396,B.1.444,B.1.478,B.1.23,B.1.9.2,B.1.1.109,B.1.1.328,BA.2.64,B.1.106,B.1.423,B.1.177.83,B.1.550,B.1.1.224,B.1.126,BA.2.10.3,BA.2.2,BA.2.13.1,B.1.127,P.1.13,V.2,B.4.8,B.1.177.43,B.1.188,W.2,B.1.70,B.1.629,B.1.93,B.1.177.74,B.1.177.59,BA.5.2.5,BA.2.5,B.1.177.85,N.5,BA.2.8,BA.2.25,B.1.243.2,B.1.549,BA.2.63,BA.2.60,BA.2.28,BA.2.33,B.1.569,XR,B.1.177.63,BA.2.9.3,B.1.1.338,AM.3,B.1.177.39,C.2,B.58,B.1.618,B.1.103,BA.2.41,B.1.531,P.3,XU,XL,BA.2.72,B.1.1.388,AV.1,BA.2.74,B.1.421,B.1.1.258,B.1.77,B.1.563,B.1.623,N.2,B.1.177.23,BA.5.6.1,B.1.177.87,BA.2.25.1,B.1.579,B.1.131,B.1.1.450,B.1.631,B.1.177.4,B.1.640.2,BA.5.1_no27438,B.1.1.176,B.1.1.337,C.36.1,B.1.375,AY.3.3,B.1.1.524,AA.5,B.1.1.29,BA.2.44,B.1.1.406,BA.2.50,B.1.348,B.1.280,B.1.1.217,B.1.177.26,B.1.1.111,AH.1,BA.2.7,B.1.639,XN,B.1.474,B.1.634,AY.16.1,BA.2.3.7,C.30,B.1.619.1,B.1.543,BA.2.80,BA.2.3.4,C.5,proposed771,B.1.1.198
0.025,0.16194877013534714,0.12528012986823436,0.0628578546165425,0.046340055182808024,0.05709278089396026,0.04612834427657574,0.0474417617444397,0.03754543530431993,0.027319803684286458,0.020508856544931744,0.00531688233291724,0.012890537624568111,0.005397062933120968,0.003148464133971385,0.004308561334505034,0.0025669091379400613,0.003732749837619289,0.0,0.0,0.003000210734204584,0.0026124257846666184,0.002539599680819926,0.0024339544115727163,0.0025651186696169694,0.0,0.002835476261361145,0.0,0.0022376310073157924,0.0,0.0022235330949438694,0.0018744652101402328,0.0011493605631035311,0.000531829814357673,0.001573896306433738,0.0,0.0011125062410335658,0.0,0.0010657165755006601,0.0,0.001477110082414539,0.001038401958795638,0.0011301548031876023,0.0014473911119596335,0.0,0.0013071597333805874,0.0014404977013179425,0.001170766011266569,0.0013751030866748473,0.0014575446560982591,0.0012888736592171924,0.0,0.0010798648518938229,0.0011329590935139592,0.0010475571752660952,0.0011512085558214723,0.0,0.0,0.0,0.0005714425066215727,0.0,0.0,0.0011512914145450036,0.0,0.0,0.0,0.0,0.0,0.0004856298985596755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.16315308321070227,0.126422328174207,0.06361251546170517,0.04697207638730736,0.058236861394081976,0.047479406255400945,0.04881825884511159,0.03790861510726386,0.028741643565929804,0.020565089014452087,0.00579105036927423,0.014433769489193003,0.0055665264330538805,0.003202520234045491,0.004340941353684663,0.0026244229957899778,0.0037623344233937797,0.0,0.0,0.003175697864389712,0.00281598286483711,0.0026037335706479473,0.0027305624789149938,0.002643763222342213,0.0,0.0028914804511268512,0.0,0.0023343552516549232,0.0,0.002294945946236424,0.0019533692893151273,0.001230128529947994,0.0011318450441775592,0.0017069908052282509,0.0,0.0011781598748935322,0.0,0.0011567478079846465,0.0,0.0016292297667549797,0.0010439885447543291,0.0012684353126296015,0.0014667501913443372,0.0,0.001418288724244999,0.0015974027475075877,0.001217694527808186,0.0014766999991088767,0.001474750956619117,0.0013041918593314028,0.0,0.0010963333852077315,0.0011629956641820123,0.0010637469332684425,0.0012267637722355837,0.0,0.0,0.0,0.0012748065918916317,0.0,0.0,0.0011689567136059537,0.0,0.0,0.0,0.0,0.0,0.0010606205060578705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.1655876213781656,0.1311289554365119,0.06768257696190172,0.05002414154703462,0.062266870679487885,0.051163621404634665,0.049939980018448,0.039521636638185476,0.032056603011886134,0.021320722862034822,0.0095182544154343,0.018648078862412702,0.006279537583558984,0.0035875106282493956,0.004474303082565927,0.003079429588612869,0.0040071005044985545,0.0,0.0,0.0036785534689089197,0.003169354357732207,0.002936893053607341,0.0031403773310591156,0.0028775185298416475,0.001449250042197972,0.0031137232388856752,0.0013089477327998022,0.002535679325441776,0.0,0.002492888098416714,0.0021630392821730725,0.0016088198781980863,0.0016259569264407358,0.0019074933752521034,0.0015823829464026546,0.001518969243154907,0.0012250050428916108,0.0014372628613101646,0.0017430949787274612,0.0018442870263264547,0.0012198135159376135,0.0015421721768784763,0.001552354431452307,0.0011615367627750184,0.0016460570533313775,0.001979965712095931,0.0014041882550587673,0.001705648649686745,0.0016924009670505097,0.0014465525114815462,0.0011683508583587982,0.0012883808094251163,0.0012670357829416205,0.0012379149489965967,0.0013727648566264382,0.0013155207379722744,0.001052968374677846,0.0,0.0014712435810654086,0.0010374012144068795,0.001168442600352326,0.001255123668793343,0.0011101499048612377,0.0,0.0,0.0,0.0012446903721287897,0.001275766033520703,0.0,0.0012155723829097374,0.0,0.0010709430367675523,0.0010326782960331145,0.0011953087733713248,0.0,0.0010634527617306942,0.0,0.0012203794224403097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010162672602625023,0.001016623641667174,0.0,0.0,0.0,0.0012351437616556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010626992549157672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019248355551790813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.1673769356728375,0.13508301117403831,0.07001149360179956,0.05261156030476777,0.06488611187193538,0.053711230885809466,0.05093676919842654,0.04024973340856401,0.03430861741131556,0.02188186856635024,0.013321577621272136,0.021132505256189003,0.006778193028246209,0.003960083177165372,0.0046393946775813745,0.003359711898893252,0.004132646374591406,0.0,0.0010908781967664336,0.0040171245609973,0.0034019589454698813,0.003182934950005357,0.0036622206818123807,0.0030325627303471546,0.002515948025227167,0.0033099931932397946,0.00209668905209711,0.002720271168247643,0.0,0.0026917223297131957,0.0024230726188267915,0.001802255541639674,0.0019442685539747028,0.002046109893325764,0.001793697846054632,0.0017176895079016358,0.0016576753779719332,0.0016611368367622707,0.0020020023551104234,0.0020675514321638264,0.0014046911501646693,0.0017328148856548774,0.0016757305848985147,0.001511751904718673,0.0018214170216495358,0.002194232169035662,0.00154532480136874,0.0018761798407523206,0.0017902558397761394,0.0015897933789930775,0.0013805867751149746,0.0013673264003891974,0.00138772026210965,0.0013277288568757355,0.001493787030693138,0.001569014808462415,0.001131141964813425,0.0011256398004611786,0.0015598667799068162,0.0011495511760887174,0.0012645466729850321,0.0013461099790891998,0.001333234562884316,0.0005047065366766193,0.0010952702055196165,0.0,0.0014071306119459025,0.0014227919808078543,0.001063764547694415,0.0013530621468305372,0.0,0.0011822507550398509,0.00121738517801158,0.0012898557518659544,0.0,0.0011709592166137248,0.0,0.001460919827158208,0.0,0.0010062445020847322,0.0,0.0010582245430217955,0.0,0.001100009228839324,0.001058164258440538,0.0,0.0,0.0,0.0,0.0,0.0011726281395747357,0.0011090581908901748,0.0,0.0010546192928143777,0.0010515419019557037,0.0013962122994195135,0.001200972631990622,0.0,0.0012531347865362042,0.0010205166784948985,0.0,0.000500159199024984,0.0,0.0011242725642086377,0.0010134292323792857,0.0,0.0013067285598127158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001093835452023675,0.0,0.0010653125201197562,0.0,0.0,0.0010989083432048894,0.0,0.002778770541350127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.1689643551449332,0.13878089956545872,0.07212691202326083,0.055809430657451094,0.06755310220383877,0.05633926992725104,0.05198795286007067,0.04163361020107278,0.036394450820652735,0.022266811353832863,0.01569410545176393,0.023108008665867968,0.007289312842266346,0.004199010275392413,0.004843916408658633,0.003889339990105929,0.0042447725358546,0.0018267189618686025,0.002876218911942154,0.004348468461010726,0.0035975464065882818,0.0033582631847732724,0.004513301641386299,0.003184129707636544,0.0029937248993432315,0.0035542279860040662,0.002594936268204038,0.0029052912832000437,0.0013285773319597265,0.002827156665035802,0.0026023967142820292,0.00208494092399211,0.002271642751167619,0.002151695954896187,0.002019352140062966,0.002033600450137927,0.0019015165931670003,0.001957557016051893,0.0022103690648899344,0.0022724403875627715,0.0015751291796392486,0.0019192073538049478,0.001810371265951911,0.001650815497061876,0.001987339567967989,0.00239725752891342,0.0017132778162019533,0.0020088660405039194,0.0019179196173742768,0.0017295422098391059,0.0015643783922865136,0.0014530288977135848,0.0015614888712708725,0.0013951299812528647,0.001676627288252647,0.0017852548923316678,0.0012392776063967434,0.001390292519040499,0.0016955466342223214,0.0012393441745913985,0.0014467613114921092,0.0014516873391151235,0.0015041741291549992,0.0011462618782919504,0.0012184792418272084,0.0,0.0015033284221263351,0.0016047925574587238,0.0011963113616141065,0.0015189465311541371,0.0011916453314479477,0.0013126897425535745,0.0013346224329571148,0.0013884879576152938,0.0,0.0012732410086416187,0.0,0.0015835301491024729,0.0,0.0010717252506459065,0.0011320222912925052,0.0011769140641752353,0.0010112961338224272,0.001208527955273903,0.0011603237732244203,0.001079216640832038,0.0010288912370163775,0.0010784796952090015,0.0,0.0,0.0013204093180432823,0.0012182980921969775,0.0,0.0011604876055818275,0.0011099199888221416,0.0015754717829500036,0.001426714162255712,0.0011385148829120726,0.0015738122350229522,0.0011619349119183619,0.0010529443785601183,0.0011395105163614807,0.0,0.001523943062379251,0.001082699747639024,0.0,0.001649546404470442,0.0010385930234322097,0.0,0.0,0.0,0.0,0.0,0.0,0.001048259220323691,0.001077852787101616,0.0,0.0010027680341324289,0.0,0.0013098368896442693,0.0010869217544714448,0.001153598595756522,0.0,0.0,0.0012029691942747353,0.0,0.0034643262475814174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010200477563858856,0.0,0.0,0.0,0.0,0.0010180625526302462,0.0,0.0,0.0,0.0,0.001070189812996457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.1709507923522543,0.14462041050005836,0.07635887685649663,0.06039817321770301,0.07318061495232465,0.06047782022817327,0.053985864520124646,0.04305676358520083,0.03947190172184284,0.022956203091314603,0.01967640922747433,0.027068792156967687,0.007763284952817508,0.00457792404266783,0.005105228004543367,0.004493725830650898,0.004423697071094547,0.003385780272346954,0.003618547650201783,0.004798850572176198,0.003938247059896841,0.003674271460744896,0.005350775320021886,0.0033682832211056122,0.0035775815629314985,0.0037925479800375757,0.0032778189779754862,0.0030765529100888417,0.0028186496610247878,0.003075174899348195,0.0028996036483797125,0.002344321790525841,0.002936502292193913,0.00227884690913901,0.002373222633291999,0.002458629624930461,0.0021131605204193055,0.002296796821845387,0.002491502348211661,0.002490823885636206,0.0018947404532479646,0.002210434124913584,0.0019773548138874047,0.0017962745658313892,0.0021986471860497444,0.002726246865371722,0.0018388740279044833,0.0022705688481018177,0.002132802613625909,0.0019461458045020679,0.0019815777259200983,0.0015663320496896128,0.0017979804047308992,0.001528218416212732,0.0018789853979061285,0.0020536479166540283,0.0013913968752726877,0.0017024342883386067,0.0018007704591107509,0.0014441753046981777,0.0016342044965785884,0.0015873369564190112,0.0017331731077270783,0.0012510594289496773,0.001395120200907429,0.001310682152829389,0.0016561102139131297,0.0018766816608114774,0.001357266439578669,0.0017255767957114194,0.0014621502597586052,0.0013970221916879161,0.0015940763033204263,0.001583339550943365,5.0434542039237095e-05,0.0014496852345597634,0.0010677457847277278,0.001802710266649789,0.0010928099111429917,0.0012184146793510818,0.0013223626197182592,0.0014146213586813004,0.0011154791817239104,0.0013570654388404303,0.0012848912590120822,0.001223007332903302,0.0011188420196760957,0.001255909207617735,0.0010202188525860467,0.001149744407394973,0.0015431301948701196,0.001325953885389745,0.001141918386236467,0.0012793697041905826,0.0012297200246905607,0.0018095577213172152,0.0016583807047213946,0.001391562965786373,0.0019397328472730764,0.0012699602407284707,0.0015556176734060141,0.0012586560040712463,0.00103982870391655,0.001991912941906353,0.0012412039300102001,0.001241762223939639,0.001976270346374476,0.0012210090593794546,0.0010489716205860393,0.0010360027472048484,0.0010679246436089559,0.0013503613983667068,0.0011376880455779557,0.0012825063533439742,0.0012661533705489074,0.001155747626536927,0.0011189796202033123,0.0011139130077498065,0.0,0.0014991854224943384,0.0013521241250675625,0.0012587118061147613,0.0012579708129447451,0.0010133220699454668,0.0012919575866168122,0.0010470003056131728,0.004039731982821594,0.0010537908110376663,0.0010054929452318615,0.0,0.0014041106301513953,0.0011859672057572075,0.0,0.0,0.0011139483226806086,0.001163119729281162,0.0,0.0012846862305501833,0.0012462814513876442,0.0012031192562352586,0.0012522893052395495,0.001096882949319421,0.0010942940144898327,0.0,0.0010555476526642705,0.0013897040020564634,0.0,0.0,5.052941041071572e-05,0.0,0.0013663929561572258,0.0010476734849538972,0.001010832564727889,0.0011114756028332965,0.0,0.0010558840233029678,0.0,0.001462249462575529,0.0010530449142531618,0.0,0.0010329318396926363,0.0,0.0,0.0011371042365209021,0.0011128134815536347,0.0,0.0,5.140504917410653e-05,0.0,0.0,0.0,5.014309105139271e-05,0.0,0.001005804959377264,0.0,0.0011020927009144476,0.001004180720631996,0.0,0.0,0.0,0.0,0.0,5.0579498958025285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.1713515358710583,0.14587948965228617,0.07714514102004627,0.062070662531850423,0.0755257726263511,0.06196922012650758,0.05415940581583639,0.043456093212106896,0.040125191160265035,0.023305041893645594,0.021476537447027013,0.028130247144605113,0.007958809994586652,0.004695047118257322,0.005169421266213658,0.0045959620399387375,0.004509334267285421,0.003846797397774703,0.0037683786016536823,0.004925856798045159,0.004014316838629807,0.003746611383258216,0.005675032116752522,0.003443072361031002,0.003876267102275629,0.003862012136883955,0.0033824901355302174,0.0031442529865994173,0.0029233447101469595,0.0031008254898321013,0.0029528156065554674,0.002438295529699425,0.003279297035762594,0.0023212026833626517,0.0024420931873464476,0.002566775277590171,0.0021871371198529583,0.0023371013944245267,0.002586433975796323,0.002606513128553967,0.0019784504371023626,0.0023554514838459058,0.0020167509335284684,0.0018654553057858869,0.0022891252582466584,0.002856318913528996,0.0018622066696238693,0.00231727434304015,0.002198007053369269,0.0020905425883302633,0.0021160262972681116,0.0016118221389756363,0.0018435692044970065,0.0015586441505401486,0.0019171797410144486,0.0021539197468060348,0.0014205989368865606,0.001753891628446577,0.0018607722093916604,0.0015163778376433104,0.00171543139214429,0.001688247868198382,0.0017554294134534355,0.0013081253936112734,0.0014529555556456982,0.001371834249456023,0.001707073908412978,0.0019233662715286573,0.0013933869333817926,0.0018608628902788572,0.0015237087458621977,0.0014593753275507029,0.001663871597453727,0.0016870277935260634,0.0010478489402852048,0.0014911098090576278,0.0011204747318581888,0.0018698813861400575,0.0011060735628906694,0.0012251271733705674,0.0013356765899772225,0.001500008717182252,0.0011346935223505248,0.0013883192077475627,0.0013457759540370028,0.001261750602444727,0.0011412678045545387,0.0013507719165899489,0.001025134542173228,0.0011817047241812566,0.0016189075837121922,0.0013358738021630237,0.0012657097879839288,0.0012921161999824777,0.001246076385159423,0.0018483228292496224,0.0019905451504859486,0.0014221055057012984,0.0021593152986237583,0.0012852454162106336,0.0017324101218285086,0.0012768733091076479,0.0010802094176839523,0.0021101844003065303,0.0012896661792205816,0.0013172633690461326,0.0020000742891424896,0.0012510384978884493,0.0011255193093880288,0.0010962706641487517,0.001082425257468874,0.0014932089940691404,0.0012534019885622621,0.001348323084410041,0.0013034246174706916,0.0012534100461900211,0.001149912073904177,0.0011546243376829384,0.0010255459027503804,0.0016336253628607426,0.0014087797978691895,0.0012818812096269195,0.0013275790961981106,0.0010989469207934347,0.001298112080627794,0.0010778157006426654,0.004203571461703895,0.001096746135551905,0.001022268919002906,0.0010220644014074065,0.0015014022941490645,0.0015979899691251844,0.0,0.0005331896394532971,0.0012118719519363602,0.0012017907283116728,0.0010023939816783615,0.002280616243138853,0.001352945032816069,0.0012765063543591986,0.0013265520882858274,0.0011376001890744526,0.0011495814113963538,0.0005347593524273763,0.0010704542735585347,0.0014134690600197985,0.0010332138168796397,0.0005255502780081376,0.0010393496016957646,0.0,0.0015054655500558645,0.0011299392196425925,0.0010414683498624745,0.0011749216952083594,0.0,0.0011957226099841628,0.001012016946916873,0.0016311254590578635,0.0011387025897021145,0.0,0.0010615585727151244,0.001033338988713295,0.0005254986772191363,0.0011701481382766252,0.0011585467524977055,0.0,0.0,0.0010376250336038336,0.000529778688364648,0.001035957067258206,0.0005275031743654421,0.0010249322912665858,0.0010458699065546274,0.001077992360556013,0.0,0.0011355823521479011,0.0010265816621526829,0.0010148535576486406,0.0005302334092467578,0.0005253343036468537,0.000528623798498635,0.0,0.0010251160199842614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
