,BA.1.1.15,BA.1.1.16,B.1.1.529,BA.1.20,BA.1,BA.1.15.1,BA.1.1.11,BA.1.1.14,BA.1.3,BA.1.10,BA.1.1.12,BA.1.16.2,BA.1.5,BA.1.1.3,BA.1.12,BA.1.1.5,BA.1.8,BA.1.1.6,BA.1.1.10,BA.1.14.2,BA.1.1.4,BA.1.17.2,BA.1.17.1,BC.1,BA.1.1.18,BA.1.4,BA.1.1.7,proposed441
0.025,0.563703516948006,0.18564326269065087,0.12652223145110522,0.028092638500969352,0.021767777242000835,0.00048625329153123104,0.0005030372132535857,0.001197334768250553,0.0012612761181203067,0.0,0.0,0.0004968155243857798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.5658514086826436,0.18649120531271712,0.12749072510482468,0.028212290811478795,0.02232058857777996,0.0010283531656932199,0.0011136099327245822,0.0012921241885324255,0.0012760922255053108,0.0,0.0,0.001087805455497732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5697295132116644,0.18854801025415294,0.12861396529813646,0.0287847009886748,0.024578288817784254,0.0011785506875039912,0.0012100362611831158,0.001407779840768217,0.001429140811743767,0.0011273797701084167,0.001004142443663663,0.0012728432395406027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.572774291249311,0.19065954696670903,0.1294247207535849,0.029079651261194786,0.02568164038488444,0.0013867750072796099,0.0013326340777220468,0.001564005839830815,0.0015023691683729622,0.0012638653017655464,0.001143186767530909,0.0013693631624463174,0.0010639008890190064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5756239577462045,0.19231080053967142,0.13060237191402135,0.029463585703865723,0.027147702176961816,0.0015582389161947036,0.0014350836351132068,0.001720398445515056,0.0015933426464265952,0.0014113330042443534,0.0012369207760326746,0.001469092006774403,0.0011518004327338894,0.0002508085267636186,0.0,0.0,0.0,0.0010181311836596522,0.0,0.0,0.0,0.0,0.001009371101049079,0.0,0.0,0.0,0.0,0.0
0.95,0.5784989542695442,0.19595113947461124,0.13194404580877325,0.029898503814198917,0.029564935978525175,0.0016750732965356615,0.00160473116445405,0.0020183315000331073,0.0017348045498251478,0.0015384289301520703,0.001445000393525552,0.0015878929645426422,0.0012902527494619222,0.0010926597036305496,0.0,0.0010370283297362094,0.001115833188522319,0.0010961577669786665,0.0010783188003703874,0.0010106742682453882,0.0010020426002889824,0.0010637261608085935,0.0011828657246056571,0.0,0.0,0.0,0.0,0.0
0.975,0.5794351171515602,0.19833802576518103,0.132392903854052,0.030025890505835897,0.029937617669207474,0.0017404014804329826,0.0016833346857956376,0.002039552372465652,0.0017863041600151518,0.001577601762105068,0.0015296123264474828,0.0016121009292341974,0.0013246941211278104,0.0010958928762192918,0.0,0.0011069542859781904,0.0011452067115182072,0.0011107856332631097,0.0011129333149541081,0.0010457966146279636,0.0010350929024078332,0.00107123846295977,0.0012127727050773435,0.0010180963232000434,0.0,0.0005437233780255751,0.0,0.0
