,Gamma,Other,Alpha,Delta
0.025,0.9023592117282069,0.012340674470195486,0.0,0.0
0.05,0.9030097195581189,0.012528317962253904,0.0,0.0
0.25,0.905758360098293,0.014172301794529807,0.0,0.0
0.5,0.9072936523701172,0.015353840378534645,0.0,0.0
0.75,0.9081630972010368,0.017164282041296747,0.0,0.0
0.95,0.9097347873575785,0.01901454945749418,0.0,0.0
0.975,0.9101886762047191,0.019466907944600806,0.0010430074501530343,0.0
