,C.37,B.1.478,B.1.273,B.1.110.1,B.1.127,B.1.177.5
0.025,0.9605945699384865,0.0,0.0,0.0,0.0,0.0
0.05,0.961679027552874,0.0,0.0,0.0,0.0,0.0
0.25,0.9635384061140708,0.0,0.0010244719953038794,0.0,0.0,0.0
0.5,0.9651104580965639,0.002401606123791305,0.0012151154399132954,0.0,0.0,0.0
0.75,0.9665522536683688,0.004120099394092041,0.001373941820680241,0.0,0.0,0.0
0.95,0.9696078921369529,0.006006287892848041,0.0015905528872716377,0.0,0.0,0.0
0.975,0.9702642519884133,0.006814036287961231,0.0016751503371309404,0.0,0.0,0.0
