,Q.1,B.1.1.7,Q.4,Q.7,AP.1,B.1.629,Q.2,B.1.177.39,A.27,V.2,B.1.1.338,B.1.243.2,B.1.128
0.025,0.8378403817304836,0.10034014367377622,0.002873747877791395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8381382615515102,0.10070992600905923,0.0029722489934810143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8394383860668656,0.10220136064457883,0.003178185956762263,0.0011045317711080057,0.0,0.0,0.0007604434222004209,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8406860353385133,0.1035145114670608,0.003313607155879906,0.00123512700494385,0.0,0.0,0.001149098357218283,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8416794259633102,0.10471450709687233,0.003451080513681659,0.001348199831606868,0.0010471782213066787,0.0,0.0012959125139662643,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.8429111407949267,0.10597672739774985,0.003723462533812073,0.0014335132299734075,0.0011182363166821227,0.0010851019182101663,0.0014261465966535888,0.0,0.0010210125607679128,5.037535790604472e-05,0.0010500675460481345,0.0,0.0
0.975,0.8431260596250569,0.10678818496775291,0.003801371122961681,0.0014556039135947706,0.0011714638652575607,0.0011052487686528827,0.001435838123656403,0.0005252342089069454,0.0010719020511017622,0.0010241802620486959,0.001080636487991693,0.0005310347468797622,0.0
