,Omicron,Lambda,BA.2* [Omicron (BA.2.X)],Other
0.025,0.9480845434474379,0.0028397923644749874,0.0,0.0
0.05,0.9484494401820857,0.002929903308892309,0.0,0.0
0.25,0.9502050480798996,0.003208542875902073,0.0,0.0
0.5,0.9509796903164123,0.003493902232548563,0.0010191082155723463,0.0
0.75,0.951812558042769,0.003716205029206484,0.0014071131889854566,0.0
0.95,0.9529697140173072,0.004054738730593649,0.002117367189693606,0.0
0.975,0.9531278849222157,0.004117980421846034,0.0026012559308451946,0.0
