	freyja/V350082740_L14_68-68_variants.tsv
summarized	[('Other', 0.30634744066375075), ('Gamma', 0.29115068852361103), ('BA.2* [Omicron (BA.2.X)]', 0.12851628861055714), ('Omicron', 0.10788454306675625), ('Lambda', 0.041082821000728825)]
lineages	N.6 P.1.1 BA.2.23 P.1 P.1.7 B.1.177 BG.1 C.37 BA.3 P.1.12 miscBA1BA2Pre10k miscBA1BA2Pre4321 B.1.177.17 B.1.177.32 BA.2.31 BG.3 P.1.10 BA.2.57 XZ BA.2.52 BA.2.9.1 BA.3.1 XH XQ BA.2.29 BA.2.9.5 BA.2.67 P.1.14 B.1.254 BA.2.36 B.1.177.72 B.1.187 BA.2.34 P.1.7.1 B.1.97 P.1.15 BA.2.9.3 P.1.9 BA.2.71 BA.2.24 XAA BA.2.21 BA.2.27 BA.2.68 B.1.564.1 N.7 AA.8 XV B.1.177.33 B.1.177.75 B.1.126 P.1.17 BG.4 B.1.1.361 XE BA.2.53 BA.2.42 P.1.11 AP.1 BA.2.1 BA.2.66 BA.2.2.1 B.1.70 BA.2.10.3 BA.2.70 BA.2.10.1 B.1.177.25 BA.2.73 BA.2.13.1 B.1.1.437 B.1.524 B.1.423 B.1.106 B.1.1.315 B.1.444 P.1.16 BA.2.12.2 B.1.1.251 XY V.2 C.2.1 XR B.1.1.224 B.1.177.43 BA.2.63 B.1.188 BA.2.2 BA.2.28 B.1.478 B.1.127 B.1.203 B.1.550 BA.2.8 B.1.1.396
abundances	0.16765597 0.13474466 0.07167679 0.06495850 0.05339728 0.05255781 0.05137985 0.04108282 0.03102049 0.02181033 0.02017916 0.01170017 0.00677348 0.00463850 0.00411546 0.00409870 0.00387996 0.00384205 0.00335630 0.00323111 0.00321027 0.00314926 0.00311763 0.00310207 0.00305918 0.00270780 0.00265877 0.00243330 0.00236615 0.00225565 0.00208302 0.00205937 0.00202134 0.00195528 0.00194853 0.00194710 0.00190844 0.00190832 0.00184297 0.00181445 0.00179313 0.00176753 0.00175672 0.00173518 0.00167124 0.00165168 0.00164745 0.00163870 0.00163666 0.00160230 0.00156394 0.00153482 0.00151710 0.00149948 0.00149502 0.00147901 0.00143961 0.00143060 0.00143012 0.00139090 0.00137821 0.00136770 0.00135972 0.00134958 0.00131708 0.00131159 0.00130375 0.00127591 0.00125865 0.00123371 0.00122440 0.00122097 0.00122045 0.00117415 0.00117349 0.00115054 0.00113647 0.00111681 0.00111631 0.00111594 0.00111041 0.00109999 0.00109865 0.00109358 0.00108670 0.00106323 0.00105910 0.00105895 0.00105693 0.00104446 0.00103736 0.00103212 0.00100312 0.00100229
resid	17.12111779732989
coverage	100.0
