,N.6,B.1.478,B.1.177.72,B.1.177.17,B.1.70,B.1.177.75,B.1.187,B.1.177.77,W.2,B.1.524,B.1.177.33,B.1.1.109,AA.8,B.1.639,B.1.603,B.1.97,B.1.254,B.58,B.1.177.25
0.025,0.9122808061543822,0.003364384976628462,0.0024066402468394935,0.0014439256001480838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.9134561057460012,0.003404155699960917,0.002664124007700981,0.0015803634131135343,0.0,0.0010359500771174965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9152378932129918,0.003498161398907216,0.003025558294298375,0.0017779827510048482,0.001202939373799412,0.001275624976827817,0.0,0.0010878894520775315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9164349578230253,0.0036185526292454254,0.0034326395327565714,0.001966362153845895,0.0014695077148604266,0.001357971800061733,0.0011628061670726625,0.001216298478625652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9173574121243856,0.0036884274240143117,0.0038246351671827215,0.0021102552113996505,0.0017549746910130184,0.001514104701577222,0.0014605183050747969,0.001339740143851733,0.0,0.0,0.0,0.001000538878524789,0.0011847877958303427,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.9186902781702655,0.0038213235569295877,0.004127277804820844,0.0024447530400939364,0.002112682051068827,0.0016923605139983237,0.002045192885399568,0.0014823546471817934,0.0010429455743918,0.0010104794967597346,0.0,0.0010682120795564146,0.0013211652372057158,5.2810090186786164e-05,0.0,0.0,0.0,0.0,0.0
0.975,0.9190896028363286,0.00387578957963417,0.004278434556737979,0.002497199019560927,0.002186929872615012,0.0018296645884927347,0.0021527745810450585,0.0015662150709016037,0.0010664502465692596,0.0010249060423869756,0.0,0.0011168414045213512,0.001422282940081499,0.0010865456238696608,0.0,0.0,0.0005578951358018502,0.0,0.0
