,Gamma,Other
0.025,0.8774364912460677,0.015150806120091363
0.05,0.877801841463687,0.015505354261369089
0.25,0.8790758823204837,0.017071815363384035
0.5,0.8801104490829795,0.01829419666817854
0.75,0.8811201048161503,0.01982418587387657
0.95,0.8822248142006709,0.0221075870155011
0.975,0.8825554207786338,0.022893306653586604
