,BG.1,BA.5,BA.2.23,B.1.1.529,C.37,P.1.12,P.1.7,BA.4.1,B.1.177.72,BA.4.1.3,XQ,BA.2.9.1,B.1.187,BG.3,BA.2.68,BA.2.67,AA.8,BA.2.58,BA.2.9.5,BA.2.29,BA.2.21,BA.4.1.5,B.1.177.17,BA.2.8,BA.4.1.1,B.1.77,BA.2.13.1,BA.2.2.1,B.1.1.109,B.1.70,BA.4.3,B.1.478,B.1.603,B.1.1.207,N.7,BA.2.72,B.1.177.75,B.1.177.32,XL,BG.4,B.1.1.338,P.1.7.1,B.1.23,BA.5.6.1,BA.5.1_no27438,B.1.177.77,B.1.177.10,B.1.177.87,B.1.524,BA.5.2.5,B.58,BA.2.10.1,B.1.203,BA.2.42,B.1.1.217,B.1.1.224,C.2,B.1.1.437,P.1.16,B.3,AP.1,proposed771,B.1.188,B.1.1.519,BA.2.66,AH.1,B.1.531,B.1.415.1,B.1.128,B.1.1.420,P.1.9,N.10,BA.2.26,C.2.1,B.1.137,B.1.384,B.1.629,XY,B.1.444,BA.2.79,B.1.640.2,B.1.525,BA.2.37,W.2,BA.2.3.4,BA.2.28,BA.2.19,B.1.243.2,B.1.579,C.36.1,AA.4,XAA,N.5,BA.2.74,XR,B.1.97,B.1.177,B.1.177.43,BA.2.50,B.1.541,U.3,B.1.404,BA.2.41,BA.2.57,B.1.1.361,proposed590,B.1.1.251,BG.2,B.1.543,AY.75.3,V.2,B.1.544,B.1.627,B.1.474,B.1.318,AV.1,B.1.423,B.1.600,AM.3,B.1.1.284,P.1.15,B.1.273,P.3,BA.2.62,N.2,BA.4.1.6,BA.2.40,BA.2.12.2,BA.2.75,BA.3,B.1.469,B.1.106,B.1.177.25,B.1.1.138,BA.5.6,AS.1,B.4.8,B.1.585,B.1.177.33,B.1.254,A.3,BA.2.10.3,B.1.1.176,Z.1,B.1.564.1,BA.5.1.6,B.1.1.396,BF.1.1,BA.2.77,B.1.1.425,AA.5,B.1.1.147,B.1.131,B.1.409,B.1.1.198,BA.2.38,B.1.35,BA.2.38.1,B.1.549,BA.2.33,B.1.1.524,B.1.619.1,B.1.438.4,B.1.550,B.1.9.4,P.1.14,BA.5.1.7,B.1.177.71,B.1.571,P.6,BA.2.9.3,B.1.546,BA.2.27,B.1.194,B.1.348,AY.3.3,B.57,B.1.218,B.1.1.507,B.1.1.337,B.1.421,B.1.623,BA.2.48,B.1.127,B.1.177.20,BA.2.60,B.11,B.1.569,B.1.232,B.1.126,B.1.214,C.37.1,B.1.36.31,C.14,B.1.1.320,B.1.375,B.1.595.3,B.1.1.236,B.1.93,B.1.620,B.1.177.23,BA.2.61,B.1.631,B.1.575,B.1.618,BA.2.73,B.1.393,B.1.400.1,B.1.36.27,B.1.530,W.1,B.1.502,BA.2.3.7,B.1.1.428,B.1.1.353,B.1.389,B.1.177.74
0.025,0.35811197104004655,0.10702110889516574,0.10407782895227828,0.0655280797695646,0.01925318418732593,0.014236594585002519,0.010380466036379838,0.009368407352335833,0.004377138324685965,0.002986090702192842,0.003282346967729001,0.0033955776034326965,0.0005965462838754304,0.0026613082556906174,0.0025819406580326245,0.0021381910331766166,0.001326605732190483,0.002503695613549881,0.0019698877680265395,0.00219911286430716,0.0020908040364195166,0.0013190897352635025,0.001677280941596075,0.0014350114436951845,0.0015032883036295705,0.0012539331843003105,0.0,0.001328913243833096,0.0015594017298203608,0.0,0.0010431748426636047,0.0013554691031898963,0.0,0.0,0.0014497151493231136,0.0,0.0,0.001242674210756807,0.0,0.0014294745921913966,0.0,0.0,0.0010182894420024413,0.0,0.0,0.00124111726492399,0.0013595748312073565,0.0012586164429858168,0.00108127925914624,0.0,0.0,0.0,0.0,0.0,0.0,0.0011021981893181243,0.0,0.0,0.0,0.0,0.0,0.0011030907078229631,0.001081896047414617,0.0,0.0,0.0010273670742949432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011397514153977347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004856465500398171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.36067545337478313,0.10855375566736593,0.10696103953069108,0.06581984061586557,0.01942876411670576,0.014346363517977728,0.010696420770078605,0.009738679901116258,0.0044542283603810065,0.0031826754536244278,0.0033179146842381197,0.0034233309381658116,0.001310754164782686,0.002858541354151882,0.0026161710603739238,0.0021846952642286593,0.0013384796601421463,0.0025714545208959487,0.0021936677319606577,0.002284441552483054,0.002200569329787342,0.0013833597496699353,0.0017355177164115056,0.0014660342862318182,0.0015557047312765094,0.0013099598701124654,0.0,0.0014107613188851207,0.001583400324409882,0.0,0.0010571553856441687,0.0013832059076546944,0.0,0.0,0.0015514957053627079,0.0,0.0,0.0012533330410532332,0.000960635610366564,0.0014480823159818195,0.0,0.0,0.0010928895280942668,0.0,0.0,0.0013201474812480002,0.0013935598110312423,0.00126939411794975,0.0010986567268723424,0.0,0.0,0.0,0.0,0.0,0.0,0.0011245516963940762,0.0,0.0,0.0,0.0,0.0,0.0011401794212487371,0.0011497318478139494,0.0,0.0009783504222835742,0.0010466386666151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011517885346961924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010447720255498717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.364316013820963,0.11123860388747317,0.11036500532949967,0.06905489955769409,0.020016454848422953,0.015049378096553332,0.01245134657802474,0.010150729420252708,0.004883706340587091,0.003616778409987177,0.0037276960072020076,0.0036178125155072937,0.0018130420269191231,0.0031675129088688343,0.0028365167896158387,0.002433839262697239,0.002134927036322278,0.002862205763395761,0.00237147021628662,0.0025644671103007177,0.0024185689731714083,0.0017805135359752094,0.002037051801846275,0.0016320387068197318,0.001733047616222747,0.0014265978319803402,0.0,0.0016171788148691862,0.0018336921283908258,0.0011958678327473938,0.0013060106431548387,0.0014642869202733952,0.001059699488788331,0.0008155669760472892,0.0018109160433910903,0.0,0.0011691149318603133,0.0013929305071755545,0.001155527974852268,0.0015746734965963695,0.0011441998171889468,0.0011152475953367903,0.0012893305899891554,0.0012293250012225866,0.0011274812128638902,0.0014761932554461846,0.001473659697399556,0.0013233008513138587,0.0012321467928491172,0.0010567456115256038,0.0,0.0012269658132383235,0.0,0.0014375531445641795,0.0010386782664081483,0.001204023735750632,0.0,0.0010705629526576747,0.0010058737732939215,0.0,0.0,0.00135932146748849,0.0012485285673126988,0.0,0.0011158449177292502,0.0011924257011297662,0.0,0.0,0.0,0.0,0.0,0.0010722113319091018,0.0,0.0010126262264809006,0.0012047284158748133,0.001050452033017569,0.0011346511889870404,0.001055311288067666,0.001021944925086189,0.0,0.0010025081573391127,0.0,0.0010402525428723991,0.001265064764571771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012337373671259188,0.001624588799994115,0.0016260537170838412,0.0,0.0,0.0,0.0,0.0,0.0,0.001137398231246079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010485368827269628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.3682860504307441,0.11385447024154552,0.11295829174297314,0.0711710228371708,0.02043258339969581,0.015570627068312776,0.013791594729523704,0.010707982188532023,0.005372865695531727,0.003969705423205,0.003908884163430399,0.0039467707422564625,0.0020747757103356996,0.003389790834090277,0.003068072949785756,0.0026542800753716275,0.0024150130644582405,0.003060196272692677,0.0025842137164396083,0.0027458102542015092,0.002583559357071588,0.0020089703364582724,0.0022236864336645226,0.0017453995897344235,0.001902372648861901,0.0016003953115261513,0.0,0.0017482060955541232,0.001907816767748548,0.0015438825997087732,0.0014489878624562732,0.0015549815702519802,0.0012672575278775866,0.001463712883163056,0.0019269626326562862,0.001140861105239283,0.0013288586453704407,0.001487053503196575,0.0013602242924955624,0.001629424098119336,0.0011914161211445005,0.0014985697050903428,0.0014120685469042296,0.001449912189045087,0.001415846710123772,0.0016416890612326292,0.0015457428524514858,0.0013734827065274616,0.0013520668047840487,0.0011541958017629449,0.0011491912834005733,0.0014346267244785054,0.0,0.0017646536116738645,0.0011490536139955629,0.0012349137744500538,0.0013820473518811943,0.0012042230174591807,0.0011579616034300623,0.0,0.0010306091302909508,0.001576725262212563,0.0013915501309525046,0.001089119857103152,0.00124019509344614,0.001284293244811885,0.0010309172425252192,0.0011012633723889987,0.0,0.0,0.0,0.001197206949453587,0.0010692475447479934,0.0010659102085288931,0.0012283543198966839,0.0010833148209438161,0.001241203893918397,0.0013294540939004147,0.0011385007433742595,0.0,0.0010901729687640312,0.0,0.0011461519932914968,0.0014375465089439962,0.0,0.0011190811395025246,0.0,0.0010126930730797418,0.0,0.0,0.0,0.0,0.0,0.0011133890292794506,0.0,0.0014319336102234098,0.005317879758361283,0.0022281485382707484,0.00135834995118133,0.0,0.0012874155844250054,0.0,0.0011234698419509653,0.0011583458977243257,0.0014099423869187741,0.0,0.0010541633605656606,0.0,0.0,0.0,0.0010952271392339857,0.0,0.0,0.0,0.0,0.0,0.0,0.0011429222922975284,0.0010549218876703473,0.0,0.0,0.0,0.0,0.0,0.0010323362070742167,0.0,0.0,0.0010493085616005977,0.0,0.0010369029818113492,0.0,0.0,0.0011216151291557406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.37152580118415,0.11634960691959798,0.11564224131201287,0.07324043882771727,0.02089916320975078,0.015993114720998656,0.015150023704083198,0.011136302950235339,0.005810802094505515,0.004218089581008652,0.004049148755812235,0.004092965156445918,0.002463181343397341,0.0037354928935914274,0.0032325638049864134,0.0028238096410234427,0.002628120890767831,0.0032655718467362676,0.002758021761979624,0.002891227112242418,0.0028101622142662963,0.002214383206892479,0.0023649263381184246,0.0018931480305607571,0.002065301127013559,0.0017212826006762683,0.001328024246567384,0.001878659488363824,0.0020046791822288597,0.0018830038672603177,0.001568029103202814,0.0016218539680535626,0.0014311322325746799,0.0019331316411880044,0.0019997717309083113,0.0013073894429644363,0.0015103389006684662,0.0015549114436674125,0.0015011259326980185,0.0016992465266388276,0.0013266159077938591,0.0019922046196466253,0.0015134809650803078,0.0015850933013746226,0.0017056378020285287,0.0017685307786325744,0.0016104753194937918,0.0014366677378811294,0.0014267053137425665,0.0013291968991602802,0.0013880171779084073,0.001723396523400804,0.0010758998186073845,0.0020275789414026723,0.0013269476943245265,0.0013065112272299564,0.0017320334520775126,0.0013103063770886244,0.0013444652531986216,0.0,0.001139817031886556,0.0017628577490203252,0.0014815748253864873,0.0011988660109426444,0.001346588754366261,0.0014039159716341485,0.0011663037472858157,0.001208530995783813,0.0,0.0,0.0,0.0012698204173994814,0.0011456671453550927,0.0011458472434245255,0.001254401334232103,0.0011143833813916171,0.001353052362117813,0.0015622620787226183,0.001260756926143153,0.0011773572777117806,0.0011878470139187777,0.0,0.001212290868606278,0.001645779763317326,0.0,0.001225241024121634,0.0,0.001076242401854399,0.001061255497177766,0.0,0.0,0.0,0.0,0.0011795376348437932,0.0010361112118604798,0.0015953619558736806,0.009168284816399978,0.0028011983338831693,0.0017299716483211499,0.0010937006904620683,0.0014692245935864993,0.0010222409535113404,0.0013372572630380279,0.001450681061799729,0.0016392465123377048,0.00113960267459877,0.0011990383245450435,0.0,0.0011207886500926721,0.0,0.0012260538818463416,0.0,0.0,0.001031435541725372,0.0011216421764551556,0.001025198821346469,0.0,0.0012346130273625058,0.0011709720558671433,0.0,0.0,0.0,0.0010199699921446042,0.0010092231367470205,0.0011975111047526931,0.0,0.0,0.001255910857657009,0.001036477552140536,0.0012118392244027704,0.0,0.0010690484598050907,0.0012685828701010972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010463814558051186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001022293989120321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010146259908633448,0.0,0.0,0.001023625249025376,0.0,0.0,0.0,0.002226800777200868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.37566490327972096,0.11935676241397163,0.12000364649245283,0.07626462694214543,0.021867809614572305,0.01654390031224231,0.01721922171003709,0.012015185563812753,0.0063868278121251305,0.004518645438205433,0.004270842548293112,0.0044005059999661445,0.00299605478473243,0.004117875445973099,0.003452300173543618,0.0031979968843016725,0.0029815404579346303,0.0035474283996994906,0.003091209509243232,0.0031618336486372847,0.0030077353815455505,0.0024025914549522308,0.0027403307123391603,0.0020783354928359658,0.002298018405794827,0.0018689008575442174,0.0018389356186694673,0.002037979906137826,0.0020902747423128917,0.002561169386365053,0.0017512240692623895,0.00171097257458491,0.0016292264484012381,0.002338014202616305,0.0020754275510011444,0.0015436132894130446,0.00173153442877113,0.0017314490494662528,0.0017975345396436032,0.0017936995269343579,0.0015162492620192376,0.0022552061879796276,0.001657817728567381,0.0019163639739706926,0.002263533372691102,0.0019111832371266212,0.0016877419072482626,0.0015092819189178733,0.0015867467789735792,0.0014797654654183183,0.0017836500730765712,0.0019853149397998583,0.0012946387697626992,0.002359496781077724,0.0015956536459846014,0.0013747051240916748,0.0020819957636008203,0.0013631801403811382,0.001633535595060593,0.0,0.0013254800377848492,0.002017796643857627,0.0016102306887020841,0.0013747308074565279,0.0015228812917931218,0.0015801606541018922,0.0013438966729147205,0.0013226571248929487,0.0011773567755125381,0.0011070919128964535,0.0011560457767339233,0.0014556451154691227,0.0013078937051213013,0.001215526584594271,0.0013086338303597113,0.0011456902773211138,0.0015002663594400653,0.0017261814219552123,0.001417200303125261,0.001367552598821972,0.001310460826516072,0.0011009769031174953,0.00132209529141779,0.0018393607336666638,0.0010795966784535357,0.0013641418659288635,5.039215484422179e-05,0.0011663533750558882,0.0012266286484658585,0.0010631204715635318,0.0011008396572338385,0.0012176044666966132,0.0010296421396952444,0.0012899906728314006,0.0011663109342481726,0.001834504416281413,0.015451224960525976,0.00345734774824096,0.0023774628923418878,0.0014547121747404896,0.001526789037903128,0.0013332193983894678,0.0015130204863435467,0.0021541665229510526,0.001830005754658296,0.0013321891115192436,0.0012970613029798103,0.0010757657272275807,0.0013483809686870428,0.0,0.0014023334564679437,0.0,0.001130772007377572,0.0012017082322185503,0.0013018899777481822,0.0011143410753950652,0.0010387064881187107,0.0013813321326715145,0.0012632487389379235,0.001048716027666859,0.0011443916635683895,0.0,0.0011617475671186572,0.0011976531384853175,0.0014044033909029329,5.011626974480861e-05,0.0011027027678381302,0.0014079779174764556,0.0011680216072130784,0.0015033193872940112,0.0010779321172423365,0.0012078900289197712,0.0013881121634290738,0.0,0.0010892767405374397,0.0012036362404248635,0.0,0.0,0.0012410804420939536,0.0011175054287718067,0.0011865840905209445,0.001298294981043913,0.0011227148947139764,0.001078953432210388,0.0013309376737258266,0.0,0.0010673679175229735,0.0,0.001124004182376915,0.0010521987017406875,5.065856183922798e-05,0.0010250012296655038,0.0,0.0,0.0010201497158861714,0.0032027469806504678,0.0012103154450362585,0.001136884509394735,0.0011276702788369094,0.0,0.0010295649895010047,0.0,0.0,0.0011659960397864993,0.0010089971428290394,0.0010927513190880018,0.001135648702554154,0.0010828724648263548,0.001047799229578199,0.0011185523842693287,0.003087414668623381,0.0010171743751903608,0.0017570522783320241,0.0,0.0010058966168024987,0.0011354362819215968,0.0,0.0,0.0010314941049814513,0.001028613987752351,0.0,5.010220837338983e-05,0.001017851398935595,0.0010335988265502806,0.0,0.0,0.0,0.0,5.2905746344241125e-05,0.0,0.001092077426683719,0.001208804750064561,0.0,0.0012866239942516948,0.0,0.0010204911179676347,0.0,0.0,5.0273361439052134e-05,5.246089260339972e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.37845217579225093,0.11993977135213309,0.12121628842002767,0.07759002222763134,0.02200027233242415,0.016770724635566465,0.01745007256358499,0.012312017772278194,0.0065384418107132004,0.004638611514118625,0.004352486898277296,0.004549677803085673,0.0030901563407444653,0.004139469032796295,0.0035038824669375145,0.0033988062109164287,0.00303699426089597,0.0035800339629943564,0.0031215650499343815,0.0031983261921693226,0.0030982698565424744,0.0026292311724614597,0.00281936109583669,0.002103766260523878,0.002347547578752294,0.001911618923041897,0.0020880684250745817,0.0020839497860273087,0.002143647451724471,0.0026838698872756962,0.0018471799667644025,0.0017253653450346415,0.0017011150364106872,0.0026085158997822566,0.0021006447707666723,0.001627483695866863,0.001740110723108371,0.001748189204341891,0.0018322247955490562,0.0018010567826344669,0.001572283816240045,0.0023116120569644893,0.0017532426505076006,0.001937498959259304,0.0024090379832435635,0.0019283255181618646,0.0017241756825668393,0.0015243921265530593,0.001627388284985935,0.0015125262898722889,0.0018091087039365905,0.0020908276050019222,0.0013278871611678608,0.0024770985793315615,0.0017581310350511029,0.0014219810441311615,0.002204545016225972,0.0013782977624146365,0.0016993873409072574,0.0,0.0013363742287794448,0.0020834698504619996,0.0017073483650816943,0.001410552205266987,0.0015432644258000072,0.001595782953238012,0.0013748475338670942,0.0013831365841156748,0.0012700212467007818,0.0011737636222038034,0.0012077328039966529,0.0014919060911192305,0.001376246161440066,0.0012262718388642829,0.0013248235342262766,0.001169940347798523,0.0015318451767043913,0.0018077727553503285,0.001458711130461152,0.0015354530920514986,0.0013343389983127697,0.0011183194593455982,0.0013445407509796094,0.0019896692426178897,0.001090352709032531,0.001383100030452793,0.0010926661399667148,0.0012348910775530344,0.001303623366716546,0.001121682807408997,0.0012012517753817878,0.0013028399622544288,0.0010471586445362977,0.0013470866831348804,0.0011936718681446613,0.0018930711841951195,0.018392224532642876,0.0036263745954926985,0.002498661798545952,0.0015444438718247462,0.001539821230476831,0.00142649042810115,0.0015850038190355056,0.002180379270185806,0.001851615099367816,0.0014092817580413537,0.001310922092255903,0.0011264536654143774,0.0014121610250988474,0.0010840364228931908,0.0014471622845849956,0.001022191772592336,0.001167439627117269,0.0012278809711996751,0.0013853608479389918,0.001136484476852821,0.0010540151725431316,0.0014537277710295114,0.001291500793730296,0.0010607866014091746,0.0012029176336549783,0.0010126640602347084,0.001188847233999538,0.0012616658948480628,0.001463970299014928,0.0010811967190959915,0.0012562641376858792,0.001452545506984316,0.0012233017917519951,0.0015594326744355657,0.0011250099784043926,0.0012344120362995218,0.0014229337808349491,0.0,0.001211221439344647,0.0012288930133621137,0.0010742693129069767,0.0,0.0014685389462562603,0.0012775163666956231,0.0012463161502965917,0.0014141813324712994,0.0011469984500927432,0.0011555997621065703,0.001408733548415343,0.0011241914894935352,0.0011182624388893227,0.0005445896667316811,0.0011773325772555456,0.0010720432619280003,0.0010410497886553338,0.001060459738030222,0.0010339896306024118,0.0,0.0010740885032908074,0.0037841567359369237,0.0012630763057305998,0.0011857617545020733,0.0011414904929839356,0.0,0.0010659886690618755,0.0,0.0,0.0011897794986994643,0.0010767117580506977,0.0011284526987930454,0.0012158213455305685,0.001200561846762787,0.0011036283542284085,0.0011655596498375872,0.003266022004017004,0.0010416024950697818,0.001895106603881261,0.0005359667014617182,0.001034463770340627,0.0012027891683872674,0.0,0.0005321665091731119,0.0010847348155222766,0.001159526739723109,0.0005306156811769865,0.0010489038542176908,0.0010594610925273701,0.0010945754828285905,0.003991842024989372,0.0010578809302514193,0.0,0.0010077565128895774,0.0010967961469529413,0.0005483028714147814,0.0011524024282451256,0.001240456533072082,0.0,0.001737147577111814,0.0,0.001167000932356,0.0,0.0,0.0010099603627716162,0.0010582642768540568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005262843446469586,0.0,0.0,0.0,0.0,0.0,0.0
