	freyja/V350082740_L14_17-17_variants.tsv
summarized	[('Other', 0.823708721899143), ('Gamma', 0.05027043017344926)]
lineages	N.4 B.1.177 P.1.15 P.1.12 B.1.177.72 B.1.274 B.1.8 B.1.195 B.1.177.17 B.1.76 B.1.187 B.1.70 P.1.16 AA.8 B.1.177.77 B.1.128 B.1.1.361 B.1.201 B.1.177.75 B.1.97 B.58 B.1.1.217 B.1.483 W.2 P.7 B.1.199 N.7 B.1.177.10 B.1.215 B.1.393 B.1.524 B.1.131 B.1.1.437 B.1.478 B.1.1.224 B.1.629 B.1.444 B.1.1.251 B.1.177.32 B.1.375 B.1.188 B.1.600 B.1.234 B.1.1.86 B.1.1.120 B.1.205 B.1.1.163 B.1.277 B.1.423 N.5 B.1.23 N.1 B.1.177.4 B.1.1.176 B.1.177.33 B.1.243.2 AM.3 AH.1 B.1.177.74 AP.1 B.1.106 B.1.1.388 B.1.203
abundances	0.65533576 0.08231620 0.03573668 0.01270435 0.00339367 0.00337695 0.00316054 0.00268168 0.00262884 0.00222096 0.00209243 0.00204329 0.00182941 0.00173561 0.00171232 0.00169402 0.00166502 0.00164462 0.00163728 0.00162842 0.00154273 0.00150046 0.00149510 0.00147307 0.00144922 0.00143340 0.00141934 0.00140359 0.00140164 0.00139950 0.00138285 0.00136788 0.00136217 0.00131848 0.00128948 0.00127400 0.00125038 0.00124207 0.00121671 0.00121465 0.00121185 0.00120076 0.00119692 0.00118894 0.00117401 0.00115883 0.00114068 0.00114003 0.00111542 0.00110308 0.00110241 0.00110174 0.00108424 0.00107409 0.00106769 0.00105930 0.00104857 0.00103924 0.00103094 0.00102786 0.00102143 0.00101434 0.00100202
resid	13.787294412479739
coverage	100.0
