,BA.2.56,BA.2,BA.2.23,BA.2.68,BA.2.31,BA.2.9.1,BA.2.11,BA.2.52,BA.2.61,BA.2.57,BA.2.59,BA.2.66,BA.2.27,BA.2.71,BA.2.29,BA.2.40,BA.2.33,BA.2.13.1,BA.2.2.1,BA.2.25,BA.2.46,BA.2.34,BA.2.21,BA.2.32,BA.2.8,BA.2.9.5,BA.2.62,BA.2.55,B.1.1.529,BA.2.53,BA.2.41,BA.2.5,BA.2.44,BA.2.18,BA.2.24,XAA,BA.2.43,XY,BA.2.7,BA.2.10.1,BA.2.65,BA.2.50,BA.2.60,BA.2.28,BG.1,BA.2.1,BA.2.10,BA.2.54,BA.2.63,BA.2.3.12,BA.2.3.7,BA.2.25.1,BA.2.70
0.025,0.45480337477136706,0.256941780897011,0.15738146948087145,0.013349167314846458,0.002272248587480349,0.001956413479063859,0.0018425855808118965,0.0012003231174228931,0.0016597582842809652,0.0,0.0015015892237669444,0.0011889523228808905,0.0,0.0,0.0011403508229842106,0.0,0.0,0.0,0.0010829157294005708,0.0,0.0,0.0,0.0011676753875414587,0.001136836813457519,0.0,0.00108607781281738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.4557924062830709,0.25716496575652137,0.15746772644300952,0.013525715507955114,0.0023906320724798808,0.0020094502759765705,0.0019034563921900656,0.0012437900205218844,0.0016816714856144773,0.0,0.001506047499620513,0.0012097230373282694,0.0,0.0010458995341067687,0.001168797719594366,0.0,0.0,0.0,0.0011441522862227686,0.0,0.0,0.001008268723042151,0.0012106717074225127,0.0011807832180290587,0.0,0.0011134855970026788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.4587417857699094,0.2594721418739121,0.1592443835678404,0.013935351604986986,0.0026679612749668596,0.0021702903125144562,0.00205405310610532,0.0014398352853504692,0.0018266473942231435,0.001066477070270105,0.0016013774948226906,0.0013462331196758435,0.0010543654371979866,0.001318727505389473,0.0013144943468696919,0.0011823957683118357,0.001128349880513344,0.0,0.0012664436187313614,0.0,0.0011454029110081541,0.0012244977731782503,0.0012933194879722228,0.001263143373107296,0.001054478670663815,0.001302122050654867,0.0,0.0012145036975963264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.460869095711625,0.26113678688106845,0.1607042880411305,0.014249511490238438,0.0029305946720886737,0.00230954515802167,0.002200224387445001,0.001712170911353053,0.0019654642229815266,0.0015568844532141827,0.001687175826116774,0.0014911418394190478,0.0012322217525294675,0.0015034708423136756,0.001444596666641252,0.0014623771140479546,0.0012696584735406755,0.0010489693764830148,0.001382951136608927,0.0,0.0012817592604946553,0.0013351138102164152,0.001383615078558479,0.0013397205663806624,0.0010968584499006745,0.001418849575220689,0.0015828369256756906,0.0013712849416494342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.46335367594998245,0.26269674145574495,0.16151238621289826,0.014651473142591293,0.0032573398525919187,0.002401441154308968,0.002301376580892284,0.0019305122486735261,0.002042883679753697,0.0017503208804546615,0.0017695113125526414,0.0016373541417151645,0.0014350305426624227,0.0016347733395948435,0.0015182459118823666,0.0016843920618640495,0.001359342075445906,0.0013164523250243894,0.001473509961892567,0.0012308684341109692,0.001445720847126261,0.0014745645176753566,0.0014797857709355523,0.0014218787753227649,0.0011582961055044611,0.0014933980124623198,0.0023880032811589434,0.001510556913418268,0.001293482694654526,0.0,0.0010051042577250376,0.0011225378990442003,0.0,0.0,0.0,0.0,0.0010179058573159868,0.0,0.001129433430021595,0.0,0.0,0.0,0.0010330090815444525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.46743481708727513,0.26599059877291475,0.1634692178588453,0.015125682777825743,0.003511835260770549,0.0025417934154088866,0.002509030488276005,0.0022538451701061887,0.002205855299194145,0.002293660875641135,0.001879594191851778,0.0018034550843839664,0.001607606411320164,0.0018406083933531483,0.0016391200401715197,0.0023016140824601967,0.0014937051777203858,0.0015485523274584739,0.0016769997401677092,0.0014984581949840244,0.0016518351848405861,0.0016516403696310914,0.001640280150582852,0.0015612186129482992,0.0012114962802952677,0.0016140163123994997,0.004086349782842975,0.0018207103187587676,0.002314947283733874,0.0012104460058577403,0.001225222565635873,0.0013799631445780118,0.0012328394508791802,0.0010809571977737154,0.001009865708101881,0.0011243544727251083,0.001138837088521242,0.0010958635538899396,0.0014220671193577912,0.0011443697352827645,0.0010633585574554999,0.0011201140285466368,0.0012299914601946323,0.001052498183091424,0.0,0.0,0.0,5.050377511381683e-05,0.0,0.0,0.0,0.0,0.0
0.975,0.468717799203996,0.26660711343390825,0.16373498652520713,0.01522354524927818,0.003661922091666571,0.0026151011955108413,0.0025410200674345095,0.0022936735814997073,0.0022564638027033007,0.002437985477359634,0.0019223760108496655,0.0018393965714010468,0.0016576204759952114,0.00202995446564184,0.0016685924974051466,0.0023864312215622985,0.0015216275890491693,0.0016185325597062408,0.001732130125239267,0.0016862516799665784,0.0017529179337104146,0.0017588813451995047,0.0016773642659936026,0.0018622593388864948,0.0012317725845996691,0.0016963722646508568,0.004234154350738089,0.0018966310720318464,0.0025606756682727255,0.0012748040995397547,0.0012742526727229297,0.0014572216656537605,0.0012732014090190344,0.001093765175891806,0.0010477863246230398,0.001147797790958396,0.0012645626110862917,0.0011300031075670994,0.0014311164279372304,0.0011484350077377058,0.0011309010268093363,0.0012184530635945428,0.0012417891544834014,0.0010681833283009683,0.0,0.0,0.0,0.0010463547348552738,0.0,0.0,0.0,0.0,0.0
