,Other,Lambda,Eta,A,Delta,Omicron,Epsilon
0.025,0.8629870001197069,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8642837837219133,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8675078606511113,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8713341785622095,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8734096818778033,0.0010705800088803886,0.0010364617617185303,0.0,0.0,0.0,0.0
0.95,0.8777434688549411,0.0012548985064614992,0.0011648048872289595,0.001072107314431065,5.036481108313277e-05,0.0,0.0
0.975,0.8798410766357311,0.001318981376451262,0.0011770398280378314,0.0011266184163435642,0.00102585783388569,0.0,0.0
