,Omicron,Other
0.025,0.9597706497494566,0.0
0.05,0.9602338639560699,0.0
0.25,0.962377523998625,0.0
0.5,0.9633899932285654,0.0
0.75,0.9642389260400024,0.0010141837426081745
0.95,0.9654990063499957,0.0010974510969946048
0.975,0.9655977391990893,0.0011267084694511441
