,Lambda,Other,BA.2* [Omicron (BA.2.X)],Omicron,Gamma,A,Theta
0.025,0.9034578149453572,0.005744476825825748,0.0020699492628615873,0.0010383064215343592,0.0,0.0,0.0
0.05,0.903656154919478,0.006498367712908695,0.002565612727793059,0.0010814313475643576,0.0,0.0,0.0
0.25,0.9049486187565645,0.007652305715131284,0.0028901473994572538,0.002192852673946132,0.0,0.0,0.0
0.5,0.9058929408468464,0.008873888258040884,0.0030662913906552977,0.002502905813194542,0.0010087365063023005,0.0,0.0
0.75,0.9067230945176288,0.010888993759516604,0.0032627631847496853,0.0034791214648312017,0.0010935695019901946,0.0010184780412990158,0.0
0.95,0.9079412601459267,0.012467315531895347,0.004095705478657412,0.00382202118419927,0.002155180775614726,0.001226431739251335,0.0
0.975,0.9081527884998429,0.013481916769913066,0.00416737832551575,0.0038491230619974643,0.002206431339455551,0.0012894986654008115,0.0
