,BA.4.1,BA.4.1.1,BA.2.9.1,B.1.1.529,BA.4.1.3,BA.4.1.5,XY,B.1.128,W.2,BA.4.1.2,B.1.177.25
0.025,0.9411886486174611,0.0014870469504582188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.9419702279619563,0.0015139792826351077,0.0,0.0,0.0,0.0009656311554861903,0.0,0.0,0.0,0.0,0.0
0.25,0.9426304654094585,0.0015928769389346432,0.0,0.0010567355001656173,0.0,0.0011671983697131693,0.0,0.0,0.0,0.0,0.0
0.5,0.9432927214959927,0.0016511711016223467,0.0013120503111990573,0.0013506854790560022,0.0011006212657649166,0.0012283640647634412,0.0,0.0,0.0,0.0,0.0
0.75,0.9442140365124532,0.0017297021920629574,0.0015257858586864522,0.0017085480465182535,0.0012128951808672284,0.0013298359837722678,0.0010410141561340892,0.0,0.00025003531356538683,0.0,0.0
0.95,0.9450712196133628,0.0018159993690979983,0.001744372713546036,0.002473810964056203,0.001305883855782743,0.0014460633919093167,0.0011249699849170422,5.057889450507095e-05,0.001098103371454745,0.0,0.0
0.975,0.9451319226695638,0.0018525105254610869,0.0018097113107436893,0.002887880065294805,0.001330594197881418,0.0014616489970041328,0.0011487791683247783,0.0010227124090343076,0.0011279814325692171,0.0,0.0
