,BA.2.9,miscBA1BA2Pre4321,XAG,BA.2.9.1,BA.2.29,BA.2.9.5,BA.2.9.3,BA.2.52,BA.2.25.1,proposed467,XV,BA.2.34,BA.2.59,BA.2.28,XY,BA.2.2.1,BA.2.10.1,BA.2.8,XAA,BA.2.33,BA.2.53,XH,BA.2.18,BA.2.13.1,BA.2.44,BA.2.7,BA.2.66,BA.2.27,BA.2.31,BA.2.45,BA.2.50,BA.2.62,XG,BA.2.36,B.1.203,XL,BA.2.22,BA.2.25,BA.2.32,BA.2.51,BA.2.19,BA.2.41,B.1.1.529,XR
0.025,0.7275831596372722,0.18299561275281123,0.0025619601268210656,0.0021253583794205552,0.0,0.0015955451669555987,0.0014289515864563673,0.0011197847693491783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.7292230977144349,0.18376562112154635,0.002603970769032454,0.0021895102566850053,0.0,0.0016267427325363211,0.0015314748193209278,0.0012717662197700788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.7328847022952232,0.18549213741608275,0.0029405575891367493,0.0023220265418893707,0.0,0.0018168320678472955,0.0017096229556135267,0.0014723014914197162,0.0,0.0,0.0011652692866085171,0.0,0.0,0.0,0.0010678473083547103,0.0010057257746715583,0.0010475340965868604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.7357525959495316,0.18745235714426012,0.003133716121899741,0.002440835731505977,0.0012363562616407885,0.0019409008845736049,0.0018602056961085696,0.00171125722862646,0.0,0.0,0.0013161173557955108,0.001197769947734942,0.0,0.0,0.001214440328362459,0.0010912024371940998,0.0012111568999238018,0.0,0.001032557901769975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.7382116950489781,0.18828836683896166,0.003412583309030233,0.0025560314920513873,0.0019150616784419433,0.002037417739159035,0.0020488966771822336,0.0018555012968209245,0.0,0.0010731495651729378,0.001465566193719635,0.0013158080540050282,0.0,0.0010547577203285563,0.0013306621131546751,0.0011821736469030271,0.0012996605460549762,0.0010767107180282762,0.0011695792866712805,0.0010286556266381206,0.0,0.0,0.0,0.0,0.0011150423873297294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.7413538958333277,0.18990010420319806,0.0037181299443875223,0.002743384684692682,0.002169127189014977,0.0021762861401936587,0.0023366687525150157,0.0020719411710733433,0.0012432673889735111,0.0012674972913273837,0.0016580358885116325,0.0015175470758503266,0.001067045822076397,0.0011572656669336687,0.0015505448899468116,0.0013583604677952724,0.0014867190694099312,0.0012299094820225,0.001301530754499037,0.0012588242582422637,0.0011834256899835444,0.0,0.0,0.0013318149559230384,0.0014206954108390494,0.0,0.0,0.001209137468671147,0.0028741462862483273,0.0013377279545290183,0.0010942885557481562,0.001019773842749013,0.0,0.001012924914430451,0.0,0.0,5.013921620769917e-05,0.0,5.129179324697351e-05,0.0,0.0,0.0,0.0,0.0
0.975,0.742192019284723,0.1905641002672245,0.003932831150479579,0.0028513961726208477,0.002214034192609375,0.002278000306977019,0.0024240826070713456,0.0021790432024650147,0.0014164694800534708,0.0012873277651663242,0.001742864273726628,0.0016266089254901631,0.0010819569768944636,0.0012072061852313552,0.001651796282264825,0.0014056297220226665,0.0015764517018400377,0.0012684459493099405,0.0014681765826118018,0.001370640577936037,0.0012428784744285338,0.0,0.0,0.0013830971374773574,0.0015584977454952077,0.0,0.001009482712786165,0.0015389712002999215,0.0034418118646557714,0.001382151216701881,0.0011243264063984025,0.0010728642665744012,0.0,0.0010542022699813502,0.0,0.0,0.001028664890692995,0.0,0.0011687762897164755,0.0,0.0,0.0,0.0,0.0
